id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
34e8c68b-6146-453f-a4b9-1f6cd99a5ada,1 of Us Brewing Company,micro,8100 Washington Ave,,,Mount Pleasant,Wisconsin,53406-3920,United States,2624847553,https://www.1ofusbrewing.com,-87.88336350209435,42.72010826899558
1a1b2165-73ed-40aa-b89b-56794d140f22,1840 Brewing Company,micro,342 E Ward St,,,Milwaukee,Wisconsin,53207-1348,United States,4142364056,http://www.1840brewing.com,-87.90606942,43.00436242
a8fda9a9-026b-4b15-86b9-62b4ccb126c1,3 Sheeps Brewing Co,micro,1837 North Ave,,,Sheboygan,Wisconsin,53083-4620,United States,9209469715,http://www.3sheepsbrewing.com,-87.73006524,43.77384561
62871bbc-a963-4c09-9eff-eb36ade49fd7,608 Brewing Company,micro,83 Copeland Ave,,,La Crosse,Wisconsin,54603-3403,United States,,http://www.608brewingcompany.com,-91.24992798856552,43.82596395589804
187f0cfc-1433-4d8c-89c0-5b4151504a71,841 Brewhouse,brewpub,841 E Milwaukee St,,,Whitewater,Wisconsin,53190-2126,United States,2624738000,,-88.71427344,42.8323014
2d880e85-5b0f-447b-b1b2-5bcae8a4b130,8th Street Ale Haus,brewpub,1132 N 8th St,,,Sheboygan,Wisconsin,53081-3402,United States,9202087540,http://www.sheboyganalehaus.com,-87.71305702,43.75674392
85c7bc77-387c-449f-8091-6c694b35077c,Agonic Brewing Company LLC,planning,,,,Rice Lake,Wisconsin,54868-8786,United States,7153089283,http://www.agonicbrewing.com,-91.73228441549789,45.50218442479316
685be3dc-20b8-434d-880c-d7aabac5bfc0,Ahnapee Brewery,micro,N9153 Cherry Tree Rd Apt 4,,,Algoma,Wisconsin,54201-9501,United States,9202178527,http://www.ahnapeebrewery.com,-87.43645394436277,44.60761365888498
39e91766-af3e-4074-9d49-26ca621e45dc,Al. Ringling Brewing Co,micro,623 Broadway St,,,Baraboo,Wisconsin,53913-2513,United States,6084484013,http://www.alringlingbrewingco.com,-89.74483177323495,43.471751392446656
c812aa3f-208b-49e2-a1e6-96cae8943605,Ale Asylum,regional,2002 Pankratz St,,,Madison,Wisconsin,53704-4024,United States,6086633926,http://www.aleasylum.com,-89.35416285,43.12046815
8e69dcd6-de4f-41b5-a9be-cc35844fb273,ALT Brew / Greenview Brewing LLC,brewpub,1808 Wright St,,,Madison,Wisconsin,53704-2522,United States,6083523373,http://www.altbrew.com,-89.33026,43.12576305
9bd199ef-1796-410e-abaa-1a4c9da3a1ca,Amery Ale Works,micro,588 115th St,,,Amery,Wisconsin,54001-7801,United States,7152685226,http://www.ameryaleworks.com,-92.39679783454335,45.293806062122286
f330bf2b-e342-4265-b41f-59d8ebf8bba7,Amorphic Beer,micro,3700 N Fratney St,,,Milwaukee,Wisconsin,53212-2360,United States,4144856705,http://www.amorphicbeer.com,-87.9009785002345,43.08422407406965
64b090eb-64c7-4dc2-9799-d0420b517169,Angry Minnow Brewery,brewpub,10440 Florida Ave,,,Hayward,Wisconsin,54843-7112,United States,7159343055,http://www.angryminnow.com,-91.4887672,46.0104853
12a02dc2-b34b-48cd-8e34-eac44554c0cf,Appleton Beer Factory,brewpub,603 W College Ave,,,Appleton,Wisconsin,54911-5803,United States,9203649931,http://www.appletonbeerfactory.com,-88.4139148,44.26173602
b83daf92-6347-44b0-91df-8fec02c2a22c,Backcountry Brewing,micro,3250 Mecca Dr,,,Plover,Wisconsin,54467,United States,7155729400,https://www.backcountrybrewingco.com,-89.5413643,44.3304949
71857398-4e1c-4540-9ddb-36388193c880,Badger State Brewing Company,micro,990 Tony Canadeo Run,,,Green Bay,Wisconsin,54304-3762,United States,9205435320,http://www.badgerstatebrewing.com,-88.05136473,44.49669718
32d22f8c-1a9a-45ea-a8b0-daf3a002fb5b,Bare Bones Brewery,brewpub,4362 County Rd S,,,Oshkosh,Wisconsin,54904-9575,United States,9207448045,http://www.barebonesbrewery.us,-88.59075354,44.07856457
5e10fcfc-9724-4622-a95d-da266c8628ee,Barley Johns Brewpub,closed,1280 Madison Ave,,,New Richmond,Wisconsin,54017-2236,United States,7152464677,http://www.barleyjohnsbrewery.com,,
225795a5-5470-4864-99f9-6310f40bb4bb,Barrel 41 Brewing Co,brewpub,1132 S. Commercial St.,,,Neenah,Wisconsin,54956,United States,9205584021,https://www.barrel41.com/,-88.4642861,44.16805
e5b27570-2203-47b4-b92a-92e8eb46a4f8,Bavarian Bierhaus,brewpub,700 W Lexington Blvd,,,Glendale,Wisconsin,53217-4912,United States,4142367000,http://www.thebavarianbierhaus.com,-87.91923009,43.11415845
