id,name,brewery_type,street,address_2,address_3,city,state,county_province,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
ahnapee-brewery,Ahnapee Brewery,micro,N9153 Cherry Tree Rd Apt 4,,,Algoma,Wisconsin,,54201-9501,http://www.ahnapeebrewery.com,9202178527,2018-07-24 01:34:34,2018-08-11 21:40:30,United States,,,
modicum-brewing,Modicum Brewing,micro,3732 Spooner Ave Ste A,,,Altoona,Wisconsin,,54720-1097,http://www.modicumbrewing.com,7158958585,2018-07-24 01:34:36,2018-08-11 21:40:35,United States,,,
central-waters-brewing-co,Central Waters Brewing Co,regional,351 Allen St,,,Amherst,Wisconsin,,54406-8954,http://www.centralwaters.com,7158242739,2018-07-24 01:34:35,2018-08-24 16:42:29,United States,-89.27970182,44.4422503,
appleton-beer-factory,Appleton Beer Factory,brewpub,603 W College Ave,,,Appleton,Wisconsin,,54911-5803,http://www.appletonbeerfactory.com,9203649931,2018-07-24 01:34:35,2018-08-24 16:41:57,United States,-88.41391479999999,44.26173602,
fox-river-brewing-co-and-restaurant,Fox River Brewing Co and Restaurant,brewpub,4301 W Wisconsin Ave Ste 189,,,Appleton,Wisconsin,,54913-6530,http://www.supplerestaurantgroup.com,9209910000,2018-07-24 01:34:35,2018-08-11 21:40:33,United States,,,
mcfleshmans-public-house,McFleshman's Public House,planning,,,,Appleton,Wisconsin,,54911-5840,http://www.mcfleshmans.com,4056270167,2018-07-24 01:34:36,2018-08-11 21:40:34,United States,,,
stone-cellar-brewpub-/-stone-arch-brew-house,Stone Cellar Brewpub / Stone Arch Brew House,brewpub,1004 S Olde Oneida St Uppr,,,Appleton,Wisconsin,,54915-1753,http://www.stonecellarbrewpub.com,9207313322,2018-07-24 01:34:37,2018-08-11 21:40:37,United States,,,
lake-louie-brewing-co,Lake Louie Brewing Co,micro,7556 Pine Rd,,,Arena,Wisconsin,,53503-9236,http://www.lakelouie.com,6087532675,2018-07-24 01:34:36,2018-08-24 16:43:53,United States,-89.93226918,43.17299719,
south-shore-brewery,South Shore Brewery,micro,808 Main St W,,,Ashland,Wisconsin,,54806-1404,http://www.southshorebrewery.com,7156829199,2018-07-24 01:34:37,2018-08-24 16:45:36,United States,-90.89277984,46.58720123,
stoney-acres-farm,Stoney Acres Farm,brewpub,7002 Rangeline Rd,,,Athens,Wisconsin,,54411,http://www.stoneyacresfarm.net,7154326285,2018-07-24 01:34:37,2018-08-11 21:40:37,United States,,,
door-county-brewing-co/-hacienda-beer-co,Door County Brewing Co./ Hacienda Beer Co,micro,8099 State Highway 57 PO Box 201,,,Baileys Harbor,Wisconsin,,54202-0201,http://doorcountybrewingco.com,9204931517,2018-07-24 01:34:35,2018-08-11 21:40:32,United States,,,
hop-garden-brewing,Hop Garden Brewing,contract,N8668 County Road D,,,Belleville,Wisconsin,,53508-9626,http://www.thehopgarden.net,6085169649,2018-07-24 01:34:36,2018-08-11 21:40:34,United States,,,
furthermore-beer,Furthermore Beer,contract,320 Pierce St,,,Black River Falls,Wisconsin,,54615,http://www.furthermorebeer.com,6085883300,2018-07-24 01:34:35,2018-08-24 16:43:12,United States,-90.85115523,44.29279126,
sand-creek-brewing-co,Sand Creek Brewing Co,micro,320 Pierce St,,,Black River Falls,Wisconsin,,54615,http://www.sandcreekbrewing.com,7152847553,2018-07-24 01:34:37,2018-08-24 16:45:24,United States,-90.85115523,44.29279126,
bloomer-brewing-co,Bloomer Brewing Co,micro,1526 Martin Rd Ste A,,,Bloomer,Wisconsin,,54724-1764,,7152713967,2018-07-24 01:34:35,2018-08-11 21:40:31,United States,,,
biloba-brewing,Biloba Brewing,micro,18720 Pleasant St Stop 4,,,Brookfield,Wisconsin,,53045-3447,http://www.bilobabrewing.com,2623095820,2018-07-24 01:34:35,2018-08-11 21:40:31,United States,,,
the-fermentorium,The Fermentorium,brewpub,7481 Hwy 60,,,Cedarburg,Wisconsin,,53012-9702,,,2018-07-24 01:34:37,2018-08-11 21:40:37,United States,,,
silver-creek-brewing-co,Silver Creek Brewing Co,micro,N57 W6172 Portland Rd,,,Cedarburg,Wisconsin,,53012,http://www.silvercreekbrewing.com,2623754444,2018-07-24 01:34:37,2018-08-11 21:40:36,United States,,,
rowlands-calumet-brewery-co-#2,Rowlands Calumet Brewery Co (#2),micro,57 School St,,,Chilton,Wisconsin,,53014-,,9208492534,2018-07-24 01:34:36,2018-08-24 16:45:19,United States,-88.16401327,44.0291831,
rowlands-calumet-brewery-co,Rowlands Calumet Brewery Co,micro,25 N Madison St,,,Chilton,Wisconsin,,53014-1451,,9208492534,2018-07-24 01:34:36,2018-08-24 16:45:17,United States,-88.1632129,44.0293888,
brewster-bros-brewing-co,Brewster Bros Brewing Co,micro,402 W River St,,,Chippewa Falls,Wisconsin,,54729-2355,http://www.chippewariverdistillery.com/beer/,7158615100,2018-07-24 01:34:35,2018-08-24 16:42:20,United States,-91.39646593,44.93179462,
jacob-leinenkugel-brewing-co,Jacob Leinenkugel Brewing Co,large,1 Jefferson Ave,,,Chippewa Falls,Wisconsin,,54729-1318,http://www.leinie.com,7157235558,2018-07-24 01:34:36,2018-08-24 16:43:44,United States,-91.396442,44.944606,
sawmill-pizza-and-brew-shed,Sawmill Pizza and Brew Shed,brewpub,805 30th Ave,,,Clear Lake,Wisconsin,,54005,http://www.weddingsinechovalley.com,,2018-07-24 01:34:37,2018-08-24 16:45:27,United States,-92.29614,45.252594,
mecan-river-brewing-company,Mecan River Brewing Company,brewpub,113 East Main Street,P.O.Box 352,,Coloma,Wisconsin,,54930,https://mecanriverbrewing.com/,7152813506,2020-10-26 14:00:00,2020-10-26 14:00:00,United States,-89.5238403,44.0343194,
cercis-brewing-company,Cercis Brewing Company,micro,106 N Dickason Blvd,,,Columbus,Wisconsin,,53925-,,9203500500,2018-07-24 01:34:35,2018-08-24 16:42:30,United States,-89.01542922,43.33907788,
moonridge-brewpub,MoonRidge Brewpub,brewpub,501 Bridge St,,,Cornell,Wisconsin,,54732-8392,http://www.facebook.com/MoonRidge-Brew-Pub-1501996800095070,7152391341,2018-07-24 01:34:36,2018-08-24 16:44:24,United States,-91.1589648,45.16537520000001,
cross-plains-brewery-inc,Cross Plains Brewery Inc.,contract,2109 Hickory St,,,Cross Plains,Wisconsin,,53528-9700,http://www.essersbest.com,6087983911,2018-07-24 01:34:35,2018-08-24 16:42:44,United States,-89.65293922,43.11427765,
valkyrie-brewing,Valkyrie Brewing,micro,234 W Dallas St,,,Dallas,Wisconsin,,54733-9706,http://www.valkyriebrewery.com,7158371824,2018-07-24 01:34:37,2018-08-11 21:40:37,United States,,,
city-service-brewing,City Service Brewing,micro,404 Main St,,,Darlington,Wisconsin,,53530-1428,http://www.cityservicebrewing.wixsite.com,,2018-07-24 01:34:35,2018-08-24 16:42:35,United States,-90.11787155,42.68028418,
legends-brewhouse-and-eatery-#2,Legends Brewhouse and Eatery (#2),brewpub,875 Heritage Rd,,,de Pere,Wisconsin,,54115-3148,http://www.legendseatery.com,9203368036,2018-07-24 01:34:36,2018-08-24 16:43:59,United States,-88.06410764,44.42819213,
steel-squared-brewing-company,Steel Squared Brewing Company,contract,1597 Tiffany Ct,,,de Pere,Wisconsin,,54115-9042,,,2018-07-24 01:34:37,2018-08-11 21:40:37,United States,,,
delafield-brewhaus,Delafield Brewhaus,brewpub,3832 Hillside Dr,,,Delafield,Wisconsin,,53018-2174,http://www.delafield-brewhaus.com,2626467821,2018-07-24 01:34:35,2018-08-24 16:42:48,United States,-88.35030400000002,43.048373,
water-street-brewery-lake-county,Water Street Brewery - Lake County,brewpub,3191 Golf Rd,,,Delafield,Wisconsin,,53018-2156,http://www.waterstreetbrewery.com,2626467878,2018-07-24 01:34:37,2018-08-11 21:40:38,United States,,,
tribute-brewing-co,Tribute Brewing Co,micro,1106 N Bluebird Rd,,,Eagle River,Wisconsin,,54521-7557,http://www.tributebrewing.com,7154802337,2018-07-24 01:34:37,2018-08-24 16:46:08,United States,-89.2579185,45.92935062,
east-troy-brewery,East Troy Brewery,planning,,,,East Troy,Wisconsin,,53120-1245,http://www.etbrew.com,2624703026,2018-07-24 01:34:35,2018-08-11 21:40:32,United States,,,
lazy-monk-brewing,Lazy Monk Brewing,micro,320 Putnam St Unit 4,,,Eau Claire,Wisconsin,,54703-3896,http://www.lazymonkbrewing.com,7152710848,2018-07-24 01:34:36,2018-08-11 21:40:34,United States,,,
k-point-brewing,K Point Brewing,brewpub,507 Main St,,,Eau Claire,Wisconsin,,54701-3736,http://www.thecoffeegrounds.com/k-point-brewing/,,2018-07-24 01:34:36,2018-08-24 16:43:46,United States,-91.49634405,44.81114834,
the-brewing-projekt,The Brewing Projekt,micro,1807 N Oxford Ave,,,Eau Claire,Wisconsin,,54703-5187,http://www.thebrewingprojekt.com,7154562486,2018-07-24 01:34:37,2018-08-24 16:45:56,United States,-91.50950908,44.81894024,
shipwrecked-restaurant-and-brewery,Shipwrecked Restaurant and Brewery,brewpub,7791 Egg Harbor RoadÂ ,,,Egg Harbor,Wisconsin,,54209,http://www.shipwreckedmicrobrew.com,9208682767,2018-07-24 01:34:37,2018-08-11 21:40:36,United States,,,
switchgear-brewing-co,SwitchGear Brewing Co,micro,44 D Gottfried St,,,Elkhart Lake,Wisconsin,,53020,http://www.switchgearbrewing.com,9207815120,2018-07-24 01:34:37,2018-08-24 16:45:55,United States,-88.019601,43.834243,
ombibulous-brewing-company,Ombibulous Brewing Company,planning,,,,Fall Creek,Wisconsin,,54742-4965,,7155779151,2018-07-24 01:34:36,2018-08-11 21:40:35,United States,,,
great-dane-pub-and-brewing-co-fitchburg,Great Dane Pub and Brewing Co - Fitchburg,brewpub,2980 Cahill Main,,,Fitchburg,Wisconsin,,53711-7146,http://www.greatdanepub.com,6084429000,2018-07-24 01:34:35,2018-08-24 16:43:23,United States,-89.42370903,43.01816267,
bent-kettle-brewing-company,Bent Kettle Brewing Company,micro,1507 Montclair Pl,,,Fort Atkinson,Wisconsin,,53538-3102,http://www.bentkettle.com,9203909038,2018-07-24 01:34:35,2018-08-24 16:42:06,United States,-88.861232,42.9348495,
fountain-city-brewing-co-/-monarch-public-house,Fountain City Brewing Co / Monarch Public House,contract,19 N Main St,,,Fountain City,Wisconsin,,54629-,http://www.monarchtavern.com,6086874231,2018-07-24 01:34:35,2018-08-24 16:43:05,United States,-91.71737039,44.13124401,
sprecher-brewing-co-/-chameleon-brewing,Sprecher Brewing Co / Chameleon Brewing,micro,701 W Glendale Ave,,,Glendale,Wisconsin,,53209-6509,http://www.sprecherbrewery.com,4149647837,2018-07-24 01:34:37,2018-08-24 16:45:39,United States,-87.91969511,43.09929865,
bavarian-bierhaus,Bavarian Bierhaus,brewpub,700 W Lexington Blvd,,,Glendale,Wisconsin,,53217-4912,http://www.thebavarianbierhaus.com,4142367000,2018-07-24 01:34:35,2018-08-24 16:42:03,United States,-87.91923009,43.11415845,
milwaukee-premium-brewing-co,Milwaukee Premium Brewing Co,contract,6591 N Sidney Pl,,,Glendale,Wisconsin,,53209-3215,,4143625000,2018-07-24 01:34:36,2018-08-24 16:44:16,United States,-87.9486093,43.13845743,
water-street-brewery-grafton,Water Street Brewery - Grafton,brewpub,1251 Gateway Dr 143 & Highway 60,,,Grafton,Wisconsin,,53024-9336,http://www.waterstreetbrewery.com,2623752222,2018-07-24 01:34:37,2018-08-11 21:40:38,United States,,,
hinterland-brewery,Hinterland Brewery,micro,1001 Lombardi Ave,,,Green Bay,Wisconsin,,54304-3956,http://www.hinterlandbeer.com,9204388050,2018-07-24 01:34:36,2018-08-24 16:43:32,United States,-88.04890406,44.49896002,
legends-brewhouse-and-eatery-#1,Legends Brewhouse and Eatery (#1),brewpub,2840 Shawano Ave,,,Green Bay,Wisconsin,,54313-6725,http://www.legendseatery.com,9206621111,2018-07-24 01:34:36,2018-08-24 16:43:58,United States,-88.036448,44.521795,
badger-state-brewing-company,Badger State Brewing Company,micro,990 Tony Canadeo Run,,,Green Bay,Wisconsin,,54304-3762,http://www.badgerstatebrewing.com,9205435320,2018-07-24 01:34:35,2018-08-24 16:41:59,United States,-88.05136473,44.49669718,
copper-state-brewing-co,Copper State Brewing Co,brewpub,313 Dousman St,,,Green Bay,Wisconsin,,54303-2713,http://www.copperstate.beer,9204898575,2018-07-24 01:34:35,2018-08-24 16:42:39,United States,-88.01916054,44.51896164,
noble-roots-brewing,Noble Roots Brewing,micro,2790 University Ave,,,Green Bay,Wisconsin,,54311-5856,,,2018-07-24 01:34:36,2018-08-24 16:44:30,United States,-87.996992,44.51462,
