id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
siluria-brewing-company,Siluria Brewing Company,planning,,Alabaster,Alabama,35007-8501,http://www.siluriabrewing.com,2054827661,2018-07-24 01:32:47.74914,2018-08-23 23:20:26.994711,United States,-86.8163773,33.2442813,
cheaha-brewing-co,Cheaha Brewing Co,brewpub,1208 Walnut Ave,Anniston,Alabama,36201-4526,http://www.cheahabrewingcompany.com,2567707300,2018-07-24 01:32:47.439657,2018-08-23 23:20:08.838388,United States,-85.8337740514949,33.6601671,
avondale-brewing-co,Avondale Brewing Co,micro,201 41st St S,Birmingham,Alabama,35222-1932,http://www.avondalebrewing.com,2057775456,2018-07-24 01:32:47.255559,2018-08-23 23:19:57.82527,United States,-86.774322,33.524521,
trim-tab-brewing,Trim Tab Brewing,micro,2721 5th Ave S,Birmingham,Alabama,35233-3401,http://www.trimtabbrewing.com,2057030536,2018-07-24 01:32:47.815458,2018-08-23 23:20:31.42326,United States,-86.7914000624146,33.5128492349817,
cahaba-brewing-co,Cahaba Brewing Co,micro,4500 5th Ave S Ste C,Birmingham,Alabama,35222-2911,http://www.cahababrewing.com,2059669444,2018-07-24 01:32:47.400092,2018-08-11 21:35:43.648666,United States,,,
red-hills-brewing-co,Red Hills Brewing Co,micro,2823 Central Ave Ste 107,Birmingham,Alabama,35209-2581,http://www.redhillsbrew.com,2055822897,2018-07-24 01:32:47.675813,2018-08-11 21:35:44.279624,United States,,,
birmingham-district-brewing,Birmingham District Brewing,planning,,Birmingham,Alabama,35242-5651,,6019380486,2018-07-24 01:32:47.318299,2018-08-23 23:20:01.613359,United States,-86.8024326,33.5206824,
brewpub-in-planning-birmingham,Brewpub In Planning - Birmingham,planning,,Birmingham,Alabama,35222,,2565854531,2018-07-24 01:32:47.386249,2018-08-23 23:20:05.060812,United States,-86.8024326,33.5206824,
ghost-train-brewing-co,Ghost Train Brewing Co,micro,2616 3rd Ave S,Birmingham,Alabama,35233-2619,http://www.ghosttrainbrewing.com,2053702487,2018-07-24 01:32:47.52658,2018-08-23 23:20:14.678577,United States,-86.7940615102041,33.5141593469388,
good-people-brewing-co,Good People Brewing Co,micro,114 14th St S,Birmingham,Alabama,35233-1415,http://www.goodpeoplebrewing.com,6154984165,2018-07-24 01:32:47.552463,2018-08-23 23:20:16.50722,United States,-86.8121799456595,33.5075946077931,
