id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
king-street-brewing-co,King Street Brewing Co,micro,9050 King Street,Anchorage,Alaska,99515,http://www.kingstreetbrewing.com,9073365464,2018-07-24 01:32:48,2018-08-23 23:20:45,United States,-149.879076,61.13848935,
cynosure-brewing,Cynosure Brewing,micro,144 E Potter Dr Unit E,Anchorage,Alaska,99518-1363,https://www.cynosure.beer,9075632966,2018-07-24 01:32:48,2020-10-11 18:29:00,United States,-149.881789,61.168841,
glacier-brewhouse,Glacier Brewhouse,brewpub,737 W 5th Ave Ste 110,Anchorage,Alaska,99501-2129,http://www.glacierbrewhouse.com,9072742739,2018-07-24 01:32:48,2020-10-11 18:31:00,United States,-149.896703,61.218047,
49th-state-brewing-co-anchorage,49th State Brewing Co - Anchorage,brewpub,717 W 3rd Ave,Anchorage,Alaska,99501-2104,http://www.49statebrewing.com/,9076832739,2018-07-24 01:32:48,2018-08-23 23:20:45,United States,-149.8958196,61.2197366,
anchorage-brewing-co,Anchorage Brewing Co,micro,148 W 91st Ave,Anchorage,Alaska,99515-1901,http://www.anchoragebrewingcompany.com,9073605104,2018-07-24 01:32:48,2018-08-23 23:20:45,United States,-149.8893581,61.1385311,
broken-tooth-brewing-co,Broken Tooth Brewing Co,brewpub,2021 Spar Ave,Anchorage,Alaska,99501-1815,https://brokentoothbrewing.net,9072784999,2018-07-24 01:32:48,2020-10-11 18:32:00,United States,-149.8437638,61.2225517,
faults-brewing,Faults Brewing,planning,,Anchorage,Alaska,99509-0312,,9073019922,2018-07-24 01:32:48,2018-08-23 23:20:45,United States,-149.8948523,61.2163129,
humpys-great-alaskan-alehouse,Humpy's Great Alaskan Alehouse,contract,610 W 6th Ave,Anchorage,Alaska,99501-2225,http://www.humpysalaska.com,9072762337,2018-07-24 01:32:48,2018-08-23 23:20:45,United States,-149.8938928,61.216502,
matanuska-brewing-company-downtown-brewpub,Matanuska Brewing Company - Downtown Brewpub,brewpub,535 W 3rd Ave,Anchorage,Alaska,99501,https://matanuskabrewingcompany.com,9078656995,2020-10-11 19:32:00,2020-10-11 19:32:00,United States,-149.893012,61.219744,
matanuska-brewing-company-midtown-brewpub,Matanuska Brewing Company - Midtown Brewpub,brewpub,2830 C St,Anchorage,Alaska,99503,https://matanuskabrewingcompany.com,9076772531,2020-10-11 19:30:00,2020-10-11 19:30:00,United States,-149.888563,61.195228,
midnight-sun-brewing-co,Midnight Sun Brewing Co,micro,8111 Dimond Hook Dr,Anchorage,Alaska,99507-3144,http://www.midnightsunbrewing.com,9073441179,2018-07-24 01:32:48,2018-08-23 23:20:45,United States,-149.8445465,61.1471249,
onsite-brewing-company,Onsite Brewing Company,micro,3211 Denali St,Anchorage,Alaska,99503-4030,https://onsitebrewing.com,9073102337,2020-10-11 19:23:00,2020-10-11 19:23:00,United States,-149.876395,61.191918,
resolution-brewing-company,Resolution Brewing Company,brewpub,3024 Mountain View Dr Ste 105,Anchorage,Alaska,99501-3141,http://www.resolutionbeer.com,9073304523,2018-07-24 01:32:48,2018-08-23 23:20:45,United States,-149.823091,61.21997889,
turnagain-brewing,Turnagain Brewing,micro,7920 King St,Anchorage,Alaska,99518-3058,https://www.turnagainbrewing.com,9076462337,2018-07-24 01:32:48,2020-10-11 18:37:00,United States,-149.878675,61.14944,
