id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
8-bit-aleworks,8-Bit Aleworks,micro,1050 N Fairway Dr Bldg F Ste 10,Avondale,Arizona,85323-5206,http://www.8-bitaleworks.com,6239251650,2018-07-24 01:32:48.596868,2018-08-11 21:35:46.401513,United States,,,
old-bisbee-brewing,Old Bisbee Brewing,micro,23 Brewery Ave,Bisbee,Arizona,85603,http://www.oldbisbeebrewingcompany.com,5204322739,2018-07-24 01:32:49.639506,2018-08-23 23:22:18.838371,United States,-109.913843769231,31.4427216923077,
verde-brewing-company,Verde Brewing Company,micro,724 Industrial Dr Unit 7A,Camp Verde,Arizona,86322,http://www.verdebrewing.com,9285678626,2018-07-24 01:32:50.238231,2018-08-11 21:35:50.87738,United States,,,
bjs-restaurant-and-brewery-chandler,BJs Restaurant & Brewery - Chandler,brewpub,3155 W Chandler Blvd,Chandler,Arizona,85226-5175,http://www.bjsrestaurants.com,4809170631,2018-07-24 01:32:48.716584,2018-08-23 23:21:21.165735,United States,-111.911126,33.3053455,
santan-brewing-co,SanTan Brewing Co,regional,8 S San Marcos Pl,Chandler,Arizona,85225-7862,http://www.santanbrewing.com,4809178700,2018-07-24 01:32:49.861557,2018-08-23 23:22:33.482457,United States,-111.8423459,33.3032436,
roadrunner-abbey-brewing,Roadrunner Abbey Brewing,planning,,Chandler,Arizona,85249-4724,,4805708283,2018-07-24 01:32:49.823011,2018-08-23 23:22:30.774438,United States,-111.8408489,33.3067132,
santan-brewing-co-uptown-chandler,SanTan Brewing Co - Uptown Chandler,micro,495 E. Warner Rd.,Chandler,Arizona,85225,,4809178700,2018-07-24 01:32:49.885781,2018-08-23 23:22:34.914363,United States,-111.8384052,33.3352048,
the-perch-pub-and-brewery,The Perch Pub & Brewery,brewpub,232 S Wall St,Chandler,Arizona,85225-9528,http://www.perchpubbrewery.com,4805808044,2018-07-24 01:32:50.121131,2018-08-23 23:22:47.524328,United States,-111.8424808,33.3000878,
hop-central-brewery-and-taproom,HOP Central Brewery and Taproom,micro,5055 W Ray Rd Ste 2,Chandler,Arizona,85226-6111,http://www.hopcentraltaproom.com,6026971494,2018-07-24 01:32:49.341916,2018-08-11 21:35:48.211554,United States,,,
insurgent-brewing-co-llc,Insurgent Brewing Co. LLC,micro,990 N State Route 89 Ste B,Chino Valley,Arizona,86323-5139,http://www.insurgentbrewingco.com,9289254773,2018-07-24 01:32:49.370789,2018-08-11 21:35:48.268296,United States,,,
