id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
slate-rock-brewing-company,Slate Rock Brewing Company,micro,113 S Main St,Amity,Arkansas,71921-,http://www.slaterockbrewing.com,8703425545,2018-07-24 01:32:50.846941,2018-08-23 23:23:34.662348,United States,-93.4611304275487,34.2640692796861,
bike-rack-brewing-co,Bike Rack Brewing Co,micro,410 SW A St Ste 6,Bentonville,Arkansas,72712-5839,http://www.bikerackbrewing.com,4792686648,2018-07-24 01:32:50.340627,2018-08-11 21:35:51.150493,United States,,,
bike-rack-brewing-co-8th-street-market,Bike Rack Brewing Co - 8th Street Market,micro,801 SE 8th St,Bentonville,Arkansas,72712-6409,http://www.bikerackbrewing.com,4793196593,2018-07-24 01:32:50.352505,2018-08-23 23:23:02.926288,United States,-94.200584,36.364069,
gravity-brew-works,Gravity Brew Works,micro,11512 Hwy 14 E,Big Flat,Arkansas,72617,http://www.gravitybrewworks.com,8704482077,2018-07-24 01:32:50.59175,2018-08-11 21:35:51.874849,United States,,,
bubba-brews-brewing-company,Bubba Brew's Brewing Company,micro,8091 Airport Rd,Bonnerdale,Arkansas,71933-6648,http://www.bubbabrewsbrewingco.com,8703564001,2018-07-24 01:32:50.39925,2018-08-11 21:35:51.319875,United States,,,
gotahold-brewing-company,Gotahold Brewing Company,planning,,Eureka Springs,Arkansas,72632,,8023569163,2018-07-24 01:32:50.579824,2018-08-23 23:23:19.487925,United States,-93.7392419,36.4000796,
apple-blossom-brewing-co,Apple Blossom Brewing Co,brewpub,1550 E Zion Rd,Fayetteville,Arkansas,72703-5017,http://www.appleblossombrewing.com,4792874344,2018-07-24 01:32:50.317764,2018-08-23 23:23:00.160354,United States,-94.1372796,36.1297079,
columbus-house-brewery,Columbus House Brewery,micro,701 W North St,Fayetteville,Arkansas,72701-1865,,4799353752,2018-07-24 01:32:50.422848,2018-08-23 23:23:09.381943,United States,-94.1688685443672,36.0771652,
crisis-brewing-llc,Crisis Brewing LLC,micro,210 S Archibald Yell Blvd,Fayetteville,Arkansas,72701-4459,http://www.crisisbrew.com,4795822337,2018-07-24 01:32:50.4782,2018-08-23 23:23:12.975362,United States,-94.1608753945713,36.0595970427386,
fayetteville-brewing-company,Fayetteville Brewing Company,planning,,Fayetteville,Arkansas,72704-7402,http://www.fayettebrew.com,4792631905,2018-07-24 01:32:50.515652,2018-08-23 23:23:15.350378,United States,-94.1574328,36.0625843,
