id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
lab-brewing-co-/-twisted-oak-tavern,LAB Brewing Co / Twisted Oak Tavern,brewpub,30105 Agoura Rd,Agoura Hills,California,91301-2003,http://www.twistedoaktavern.pub,8187350091,2018-07-24 01:32:57.522984,2018-08-23 23:58:41.134127,United States,-118.779913319513,34.1451193082735,
ladyface-ale-companie,Ladyface Ale Companie,brewpub,29281 Agoura Rd,Agoura Hills,California,91301-2597,http://www.ladyfaceale.com,8184774566,2018-07-24 01:32:57.534876,2018-08-23 23:58:42.021725,United States,-118.766153587872,34.1440421589215,
alameda-island-brewing-company,Alameda Island Brewing Company,micro,1716 Park St,Alameda,California,94501-1416,http://www.alamedaislandbrewingcompany.com,5102178885,2018-07-24 01:32:51.397446,2018-08-23 23:24:05.893093,United States,-122.239450559516,37.7683363123474,
almanac-beer-company,Almanac Beer Company,micro,651B W Tower Ave,Alameda,California,94501-5047,http://almanacbeer.com,4159326531,2018-07-24 01:32:51.491145,2018-08-23 23:24:11.758283,United States,-122.306283180899,37.7834497667258,
faction-brewing-co,Faction Brewing Co,micro,2501 Monarch St Ste 200,Alameda,California,94501-5098,http://www.factionbrewing.com,5105232739,2018-07-24 01:32:55.195955,2018-08-23 23:28:09.182359,United States,-122.3097077,37.7866722,
stadium-brewing-co,Stadium Brewing Co,brewpub,26731 Aliso Creek Rd Ste C,Aliso Viejo,California,92656-4811,http://www.stadiumbrewingco.com,9494489611,2018-07-24 01:33:01.241874,2018-08-11 21:36:22.3286,United States,,,
junction-brewery-and-grill,Junction Brewery & Grill,brewpub,110 W American Canyon Rd,American Canyon,California,94503-4196,http://www.junctionbreweryandgrill.com,7076492285,2018-07-24 01:32:57.136502,2018-08-23 23:58:13.080659,United States,-122.261689,38.1658134,
back-street-brewery-and-tasting-room,Back Street Brewery & Tasting Room,micro,1884 S Santa Cruz St,Anaheim,California,92805-6726,http://www.backstreetbrew.com,6572364050,2018-07-24 01:32:51.974845,2018-08-23 23:24:45.724315,United States,-117.896089444444,33.7998367777778,
asylum-brewing,Asylum Brewing,micro,2970 E. La Palma Ave. Suite D,Anaheim,California,92806,http://Www.asylumbrewing.beer,9494495191,2018-07-24 01:32:51.890349,2018-08-11 21:35:54.956795,United States,,,
anaheim-brewery,Anaheim Brewery,micro,336 S Anaheim Blvd,Anaheim,California,92805-3830,http://www.anaheimbrew.com,7147801888,2018-07-24 01:32:51.677452,2018-08-23 23:24:24.709387,United States,-117.9125249,33.8328226,
ballast-point-brewing-company,Ballast Point Brewing Company,planning,,Anaheim,California,92802-2294,,,2018-07-24 01:32:52.074242,2018-08-23 23:24:50.617709,United States,-117.911732,33.8347516,
bottle-logic-brewing,Bottle Logic Brewing,micro,1072 N Armando St,Anaheim,California,92806-2605,http://www.bottlelogic.com,714660,2018-07-24 01:32:52.882599,2018-08-23 23:25:50.12386,United States,-117.859722637846,33.8495705,
