id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
broken-symmetry-gastro-brewery,Broken Symmetry Gastro Brewery,brewpub,5 Depot Pl,Bethel,Connecticut,06801-2507,,2037311735,2018-07-24 01:33:09.273516,2018-08-24 00:25:29.149789,United States,-73.4142477614171,41.3709733353379,
thomas-hooker-brewing-co-llc,Thomas Hooker Brewing Co LLC,micro,16 Tobey Rd,Bloomfield,Connecticut,06002-3522,http://www.hookerbeer.com,8602423111,2018-07-24 01:33:10.265174,2018-08-24 00:25:54.35276,United States,-72.7115431,41.8089235,
back-east-brewing,Back East Brewing,micro,1296 Blue Hills Ave Ste A,Bloomfield,Connecticut,06002-5312,http://www.backeastbrewing.com,8602421793,2018-07-24 01:33:09.070324,2018-08-11 21:36:45.155994,United States,,,
thimble-island-brewery,Thimble Island Brewery,micro,16 Business Park Dr,Branford,Connecticut,06405-2924,http://www.thimbleislandbrewery.com,2032082827,2018-07-24 01:33:10.244971,2018-08-24 00:25:53.876719,United States,-72.7720276806763,41.2969578585427,
duvig-brewing-co,Duvig Brewing Co,micro,59 School Ground Rd Ste 10,Branford,Connecticut,06405-2868,http://www.duvig.com,2032082213,2018-07-24 01:33:09.489019,2018-08-11 21:36:46.228491,United States,,,
stony-creek-brewery,Stony Creek Brewery,regional,5 Indian Neck Ave,Branford,Connecticut,06405-4615,http://www.stonycreekbeer.com,2034334545,2018-07-24 01:33:10.133557,2018-08-24 00:25:51.013202,United States,-72.8133036551208,41.27475355,
aspetuck-brew-lab,Aspetuck Brew Lab,micro,3389 Fairfield Avenue,Bridgeport,Connecticut,06605,http://www.aspetuckbrewlab.com,2032539423,2018-07-24 01:33:09.044235,2018-08-24 00:25:21.671247,United States,-73.2357109,41.1544649,
brewport-brewing-co,Brewport Brewing Co,brewpub,225 S Frontage Rd,Bridgeport,Connecticut,06604-5031,http://www.brewportct.com,2036124438,2018-07-24 01:33:09.227748,2018-08-24 00:25:28.136769,United States,-73.1923862727273,41.170877,
brewery-in-planning-bristol,Brewery in Planning - Bristol,planning,,Bristol,Connecticut,06010-7955,http://www.hopculturefarms.com,8603059556,2018-07-24 01:33:09.18522,2018-08-11 21:36:45.456847,United States,,,
firefly-hollow-brewing-co,Firefly Hollow Brewing Co.,micro,139 Center St Ste 5005,Bristol,Connecticut,06010-5086,http://www.fireflyhollowbrewing.com,8608458977,2018-07-24 01:33:09.566212,2018-08-11 21:36:46.413843,United States,,,
great-falls-brewing-company,Great Falls Brewing Company,planning,,Canaan,Connecticut,06018,http://GreatFallsBrews.com,8609217843,2018-07-24 01:33:09.632288,2018-08-11 21:36:46.584905,United States,,,
little-house-brewing-company,Little House Brewing Company,planning,,Chester,Connecticut,06412-1342,http://www.littlehousebrewing.com,6128105315,2018-07-24 01:33:09.819178,2018-08-11 21:36:46.95171,United States,,,
coles-road-brewing,Coles Road Brewing,planning,,Cromwell,Connecticut,06416-1113,http://ColesRoadBrewing.com,,2018-07-24 01:33:09.403372,2018-08-11 21:36:46.076408,United States,,,
charter-oak-brewing-company-llc,Charter Oak Brewing Company LLC,contract,39B Shelter Rock Rd,Danbury,Connecticut,06810-7043,http://www.charteroakbrewing.com,2036165268,2018-07-24 01:33:09.337139,2018-08-24 00:25:30.749973,United States,-73.4042171054818,41.3961903023823,
black-pond-brews,Black Pond Brews,micro,21A Furnace St,Danielson,Connecticut,06239-3040,http://www.blackpondbrews.com,8602075295,2018-07-24 01:33:09.133989,2018-08-24 00:25:24.980232,United States,-71.8839447345293,41.8047008489267,
badsons-beer-co,BADSONS Beer Co,micro,251 Roosevelt Dr,Derby,Connecticut,06418-1665,http://www.badsoons.com,2033082654,2018-07-24 01:33:09.082802,2018-08-24 00:25:22.766513,United States,-73.1322771,41.3513647,
fat-orange-cat-brew-co,Fat Orange Cat Brew Co,micro,,East Hampton,Connecticut,06424-1636,http://www.fatorangecatbrewco.com,8608818045,2018-07-24 01:33:09.540158,2018-08-11 21:36:46.350609,United States,,,
olde-burnside-brewing-co,Olde Burnside Brewing Co.,micro,776 Tolland St,East Hartford,Connecticut,06108-2727,http://www.oldeburnsidebrewing.com,8605282200,2018-07-24 01:33:09.949026,2018-08-24 00:25:46.409309,United States,-72.6002223820893,41.7850567012493,
armada-brewing,Armada Brewing,contract,250 Bradley Street,East Haven,Connecticut,06512,http://www.armadabeer.com,4754413759,2018-07-24 01:33:09.032401,2018-08-24 00:25:21.160808,United States,-72.8739756331215,41.2900430077911,
overshores-brewing-co,Overshores Brewing Co,micro,250 Bradley St,East Haven,Connecticut,06512-,http://www.overshores.com,2039096224,2018-07-24 01:33:09.97642,2018-08-24 00:25:47.511908,United States,-72.8739756331215,41.2900430077911,
cold-creek-brewery,Cold Creek Brewery,micro,6 Industrial Dr,Ellington,Connecticut,06029-2632,http://coldcreekbrewery.com,8608581900,2018-07-24 01:33:09.390018,2018-08-24 00:25:32.355319,United States,-72.456028,41.9209531,
powder-hollow-brewery,Powder Hollow Brewery,micro,504 Hazard Ave,Enfield,Connecticut,06082-,http://www.powderhollowbrewery.com,8602050942,2018-07-24 01:33:10.038422,2018-08-24 00:25:48.040962,United States,-72.5778709,41.9896523,
cambridge-house-brew-pub-granby,Cambridge House Brew Pub - Granby,brewpub,357 Salmon Brook St,Granby,Connecticut,06035-0438,http://www.cbh.beer,8606532739,2018-07-24 01:33:09.312694,2018-08-24 00:25:30.201358,United States,-72.7925953940791,41.9663141364589,
outer-light-brewing-company,Outer Light Brewing Company,micro,266 Bridge St Ste 1,Groton,Connecticut,06340-3739,http://www.outerlightbrewing.com,4752019972,2018-07-24 01:33:09.962381,2018-08-11 21:36:47.270247,United States,,,
steady-habit-brewing-company,Steady Habit Brewing Company,micro,95 Bridge Rd,Haddam,Connecticut,06438-1354,,8607775041,2018-07-24 01:33:10.094367,2018-08-11 21:36:47.468527,United States,,,
counterweight-brewing-company,Counterweight Brewing Company,micro,23 Raccio Park Rd,Hamden,Connecticut,06514-1331,http://www.Counterweightbrewing.com,2038217333,2018-07-24 01:33:09.446594,2018-08-24 00:25:33.898051,United States,-72.9195534130741,41.3932116686678,
no-worries-brewing-company,No Worries Brewing Company,micro,2520 State St,Hamden,Connecticut,06517-3004,http://www.noworriesbeer.com,2036916662,2018-07-24 01:33:09.908997,2018-08-11 21:36:47.163661,United States,,,
hrg-management-llc,"HRG Management, LLC",planning,,Hartford,Connecticut,06109,,,2018-07-24 01:33:09.721186,2018-08-11 21:36:46.75363,United States,,,
hanging-hills-brewing-company,Hanging Hills Brewing Company,micro,150 Ledyard St,Hartford,Connecticut,06114-1403,http://www.hanginghillsbrewery.com,8602637033,2018-07-24 01:33:09.683325,2018-08-24 00:25:40.048668,United States,-72.6701173267628,41.7448124315195,
hog-river-brewing-co,Hog River Brewing Co,micro,1429 Park St,Hartford,Connecticut,06106-2236,http://www.hogriverbrewing.com,8602062119,2018-07-24 01:33:09.696495,2018-08-24 00:25:40.708271,United States,-72.7018274498041,41.7579985579,
city-steam-brewery,City Steam Brewery,brewpub,942 Main St Lbby 3,Hartford,Connecticut,06103-1215,http://www.citysteam.biz,8605251600,2018-07-24 01:33:09.362882,2018-08-11 21:36:45.967378,United States,,,
lost-viking-brewing-company,Lost Viking Brewing Company,planning,,Harwinton,Connecticut,06013,http://www.lostvikingbrew.com,2035256196,2018-07-24 01:33:09.871385,2018-08-11 21:36:47.082018,United States,,,
kent-falls-brewing-company,Kent Falls Brewing Company,micro,,Kent,Connecticut,06757,,8603989645,2018-07-24 01:33:09.763193,2018-08-11 21:36:46.836532,United States,,,
labyrinth-brewing-company,Labyrinth Brewing Company,planning,,Manchester,Connecticut,06040-5906,http://www.LBC.Beer,,2018-07-24 01:33:09.793755,2018-08-11 21:36:46.894976,United States,,,
