id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
stewarts-brewing-co,Stewart's Brewing Co,brewpub,219 Governors Pl,Bear,Delaware,19701-3026,http://www.stewartsbrewingcompany.com,3028362739,2018-07-24 01:33:10.709909,2018-08-11 21:36:48.91129,United States,,,
3rd-wave-brewing-co,3rd Wave Brewing Co,micro,501 N Bi State Blvd,Delmar,Delaware,19940-1106,http://www.3rdwavebrewingco.com,3029070423,2018-07-24 01:33:10.41997,2018-08-11 21:36:48.05326,United States,,,
dewey-beer-co,Dewey Beer Co.,brewpub,2100 Coastal Hwy,Dewey Beach,Delaware,19971-2317,http://www.deweybeerco.com,3022271182,2018-07-24 01:33:10.525507,2018-08-24 00:26:02.659721,United States,-75.07497503008,38.6961465,
fordham-and-old-dominion-brewing-company,Fordham and Old Dominion Brewing Company,large,1284 McD Dr,Dover,Delaware,19901-4639,http://www.fordhamanddominion.com,3026784810,2018-07-24 01:33:10.590521,2018-08-11 21:36:48.572101,United States,,,
16-mile-brewing-co,16 Mile Brewing Co,micro,413 S Bedford St,Georgetown,Delaware,19947-1849,http://www.16milebrewery.com,3022538816,2018-07-24 01:33:10.394818,2018-08-24 00:25:57.579819,United States,-75.3781643624989,38.6788938,
pizza-by-elizabeths,Pizza By Elizabeths,brewpub,3801 Kennett Pike,Greenville,Delaware,19807-2321,http://www.pizzabyelizabeths.com,3026544478,2018-07-24 01:33:10.682376,2018-08-24 00:26:08.041396,United States,-75.5956684811067,39.7756024886891,
crooked-hammock-brewery,Crooked Hammock Brewery,brewpub,36707 Crooked Hammock Way,Lewes,Delaware,19958-4877,,,2018-07-24 01:33:10.499927,2018-08-11 21:36:48.282546,United States,,,
first-state-brewing-company,First State Brewing Company,planning,,Middletown,Delaware,19709-1482,http://www.firststatebrewing.com,3022859535,2018-07-24 01:33:10.577252,2018-08-11 21:36:48.522217,United States,,,
volunteer-brewing-company,Volunteer Brewing Company,micro,120 W Main St,Middletown,Delaware,19709-1040,http://www.VolunteerBrewing.com,3024640822,2018-07-24 01:33:10.748278,2018-08-24 00:26:10.682837,United States,-75.7195916061529,39.4494278585822,
mispillion-river-brewing,Mispillion River Brewing,micro,255 Mullet Run St,Milford,Delaware,19963,http://www.mispillionriverbrewing.com,3024916623,2018-07-24 01:33:10.668842,2018-08-24 00:26:07.476341,United States,-75.450838711807,38.9307888466891,
dogfish-head-craft-brewery,Dogfish Head Craft Brewery,regional,6 Cannery Village Ctr,Milton,Delaware,19968-1308,http://www.dogfish.com,3026841000,2018-07-24 01:33:10.552989,2018-08-24 00:26:03.880786,United States,-75.3115820590213,38.76691205,
iron-hill-brewery-and-restaurant-newark,Iron Hill Brewery & Restaurant - Newark,brewpub,147 East Main St,Newark,Delaware,19711-7313,http://www.ironhillbrewery.com,3022669000,2018-07-24 01:33:10.602932,2018-08-24 00:26:04.959642,United States,-75.7468068,39.6834128,
argilla-brewing-co-pietros-pizza,Argilla Brewing Co @ Pietro's Pizza,brewpub,2667 Kirkwood Hwy,Newark,Delaware,19711-7242,http://www.argillabrewing.com,3027318200,2018-07-24 01:33:10.432322,2018-08-11 21:36:48.081487,United States,,,
midnight-oil-brewing,Midnight Oil Brewing,micro,674 Pencader Dr,Newark,Delaware,19702,,3022867641,2018-07-24 01:33:10.64293,2018-08-11 21:36:48.725692,United States,,,
midnight-oil-brewing-company,Midnight Oil Brewing Company,micro,674 Pencader Dr,Newark,Delaware,19702-3348,http://www.midnightoilbrewing.com,3022867641,2018-07-24 01:33:10.655695,2018-08-11 21:36:48.75863,United States,,,
brewery-in-planning-rehoboth,Brewery in Planning - REHOBOTH,planning,,Rehoboth Beach,Delaware,19971-0049,http://www.sodelconcepts.com,3525625449,2018-07-24 01:33:10.474114,2018-08-11 21:36:48.21764,United States,,,
38a°-75a°-brewing,38Â°-75Â° Brewing,brewpub,2000 Coastal Highway STE 105,Rehoboth Beach,Delaware,19971,,3022278519,2018-07-24 01:33:10.407115,2018-08-24 00:25:58.195611,United States,-75.090191,38.7074994,
dogfish-head-brewings-and-eats,Dogfish Head Brewings & Eats,brewpub,320 Rehoboth Ave,Rehoboth Beach,Delaware,19971-3108,http://www.dogfish.com,3022262739,2018-07-24 01:33:10.539544,2018-08-24 00:26:03.158548,United States,-75.08731545,38.7151767,
fins-big-oyster-brewery,Fins Big Oyster Brewery,brewpub,19269 Coastal Hwy,Rehoboth Beach,Delaware,19971-6113,http://bigoysterbrewery.com,3022902410,2018-07-24 01:33:10.565555,2018-08-24 00:26:04.410365,United States,-75.090191,38.7074994,
iron-hill-brewery-and-restaurant-rehoboth-beach,Iron Hill Brewery & Restaurant - Rehoboth Beach,brewpub,19815 Coastal Hwy,Rehoboth Beach,Delaware,19971,http://www.ironhillbrewery.com,3022608000,2018-07-24 01:33:10.615489,2018-08-24 00:26:05.51445,United States,-75.090191,38.7074994,
revelation-craft-brewing-co,Revelation Craft Brewing Co,micro,19841 Central Ave,Rehoboth Beach,Delaware,19971-1112,http://Www.revbeer.com,3022125674,2018-07-24 01:33:10.695253,2018-08-11 21:36:48.882387,United States,,,
blue-earl-brewing-company,Blue Earl Brewing Company,micro,210 Artisan Dr,Smyrna,Delaware,19977-3715,http://www.blueearlbrewing.com,,2018-07-24 01:33:10.460836,2018-08-24 00:26:00.268012,United States,-75.6241805555556,39.2809684444444,
brick-works-brewing-and-eats,Brick Works Brewing and Eats,brewpub,230 S Dupont Blvd,Smyrna,Delaware,19977-1573,http://www.brickworksde.com,3025082523,2018-07-24 01:33:10.486996,2018-08-24 00:26:00.909394,United States,-75.6008012376838,39.298259951947,
bellefonte-brewing-co,Bellefonte Brewing Co,micro,3605 Old Capitol Trl Unit C7/C8,Wilmington,Delaware,19808-6043,http://www.bellefontebrewingco.com,3025401055,2018-07-24 01:33:10.445003,2018-08-11 21:36:48.126226,United States,,,
iron-hill-brewery-and-restaurant-wilmington,Iron Hill Brewery & Restaurant - Wilmington,brewpub,620 Justison St,Wilmington,Delaware,19801-5141,http://www.ironhillbrewery.com,3026588200,2018-07-24 01:33:10.629368,2018-08-11 21:36:48.692158,United States,,,
twin-lakes-brewing-co,Twin Lakes Brewing Co,micro,405 Marsh Ln Ste 7,Wilmington,Delaware,19804-2445,http://www.twinlakesbrewingcompany.com,3029952337,2018-07-24 01:33:10.735815,2018-08-11 21:36:48.984238,United States,,,
wilmington-brew-works,Wilmington Brew Works,planning,,Wilmington,Delaware,19802-2542,http://www.wilmingtonbrewworks.com,3027574971,2018-07-24 01:33:10.761339,2018-08-11 21:36:49.079237,United States,,,
stitch-house-brewery,Stitch House Brewery,brewpub,829 North Market Street,Wilmington,Delaware,19801,http://www.stitchhousebrewery.com,3022504280,2018-07-24 01:33:10.723314,2018-08-24 00:26:09.597224,United States,-75.5490871634984,39.7438473029416,
dew-point-brewing,Dew Point Brewing,brewpub,2878 Creek Rd,Yorklyn,Delaware,19736-,http://www.dewpointbrewing.com,3025183636,2018-07-24 01:33:10.513211,2018-08-24 00:26:01.984443,United States,-75.6729188,39.8100606,
