id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
bardo-brewpub,Bardo Brewpub,micro,25 Potomac Ave SE,Washington,District of Columbia,20003-3670,http://www.bardo.beer,7622337070,2018-07-24 01:33:10.841368,2018-08-24 00:26:13.767224,United States,-77.0065830204082,38.8716537346939,
3-stars-brewing-co,3 Stars Brewing Co,micro,6400 Chillum Pl NW Ste B,Washington,District of Columbia,20012-2111,http://www.3starsbrewing.com,2026700333,2018-07-24 01:33:10.778372,2018-08-11 21:36:49.110356,United States,,,
brewery-in-planning-washington,Brewery in Planning - Washington,planning,,Washington,District of Columbia,20009-2408,,,2018-07-24 01:33:10.866224,2018-08-11 21:36:49.281687,United States,,,
city-state-brewing-company,City-State Brewing Company,planning,,Washington,District of Columbia,20017-2518,http://citystatebrewing.com,2025310481,2018-07-24 01:33:10.892367,2018-08-11 21:36:49.338914,United States,,,
dc-brau-brewing-company,DC Brau Brewing Company,regional,3178 Bladensburg Rd NE Ste B,Washington,District of Columbia,20018-2214,http://www.dcbrau.com,2026218890,2018-07-24 01:33:10.905203,2018-08-11 21:36:49.382516,United States,,,
red-bear-brewing-co,Red Bear Brewing Co,planning,,Washington,District of Columbia,20002-3406,http://www.redbear.beer,2062997485,2018-07-24 01:33:10.989614,2018-08-11 21:36:49.556189,United States,,,
admerk-corp-inc,AdMerk Corp. Inc.,contract,20 F St NW,Washington,District of Columbia,20001-6700,http://www.paugustin.com,6172028069,2018-07-24 01:33:10.80217,2018-08-24 00:26:11.878689,United States,-77.0094205,38.89742205,
bluejacket,Bluejacket,brewpub,300 Tingey St SE,Washington,District of Columbia,20003-4625,http://www.bluejacketdc.com,,2018-07-24 01:33:10.854163,2018-08-24 00:26:14.349417,United States,-77.0006981,38.8750965,
district-chophouse-and-brewery,District ChopHouse and Brewery,brewpub,509 7th St NW,Washington,District of Columbia,20004-1600,http://www.districtchophouse.com,2023473434,2018-07-24 01:33:10.917216,2018-08-24 00:26:16.106675,United States,-77.0216694,38.8965132,
gordon-biersch-brewery-restaurant-washington,Gordon Biersch Brewery Restaurant - Washington,brewpub,900 F St NW,Washington,District of Columbia,20004-1404,http://www.gordonbiersch.com/locations/washington-dc?action=view,2027835454,2018-07-24 01:33:10.94157,2018-08-24 00:26:17.179698,United States,-77.0243479,38.8971375,
hellbender-brewing-company,Hellbender Brewing Company,micro,5788 2nd St NE,Washington,District of Columbia,20011-2524,http://www.hellbenderbeer.com,2022301030,2018-07-24 01:33:10.965718,2018-08-24 00:26:17.715279,United States,-77.0053314,38.9603005,
right-proper-brewing-company,Right Proper Brewing Company,micro,920 Girard St NE,Washington,District of Columbia,20017-3424,http://www.rightproperbrewing.com,2026072337,2018-07-24 01:33:11.00162,2018-08-24 00:26:18.318568,United States,-76.9930707764239,38.9267988,
right-proper-brewing-company,Right Proper Brewing Company,brewpub,624 T St NW,Washington,District of Columbia,20001-5119,http://www.rightproperbrewery.com,2026072337,2018-07-24 01:33:11.013934,2018-08-24 00:26:18.877434,United States,-77.0213751,38.9154119,
the-public-option,The Public Option,brewpub,1601 Rhode Island Ave NE,Washington,District of Columbia,20018-1841,http://www.thepublicoptiondc.com,2023975129,2018-07-24 01:33:11.027609,2018-08-24 00:26:19.535747,United States,-76.9817377,38.926148,
atlas-brew-works,Atlas Brew Works,micro,2052 W Virginia Ave NE Ste 102,Washington,District of Columbia,20002-1832,http://www.atlasbrewworks.com,2028320420,2018-07-24 01:33:10.828891,2018-08-11 21:36:49.182161,United States,,,
capitol-city-brewing-co,Capitol City Brewing Co,contract,2 Massachusetts Ave NE,Washington,District of Columbia,20002-4945,http://www.capcitybrew.com,2028422337,2018-07-24 01:33:10.879014,2018-08-24 00:26:14.93694,United States,-77.0082686,38.8979293,
gordon-biersch-brewery-restaurant-navy-yard,Gordon Biersch Brewery Restaurant - Navy  Yard,brewpub,100 M St SE,Washington,District of Columbia,20003-3519,http://www.gordonbiersch.com/locations/navy-yard?action=view,2024842739,2018-07-24 01:33:10.929673,2018-08-24 00:26:16.619724,United States,-77.0052971,38.8766834,
