id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
oyster-city-brewing-company,Oyster City Brewing Company,micro,17 Avenue D,Apalachicola,Florida,32320-1801,http://www.oystercitybrewingco.com,,2018-07-24 01:33:14.060471,2018-08-24 00:28:06.415539,United States,-84.9850438892128,29.7259561983391,
four-stacks-brewing,Four Stacks Brewing,micro,5469 N US Highway 41,Apollo Beach,Florida,33572-3505,http://fourstacksbrewing.com,8136412036,2018-07-24 01:33:12.87089,2018-08-11 21:36:54.45454,United States,,,
atlantic-beach-brewing-company,Atlantic Beach Brewing Company,micro,725 Atlantic Blvd Suite 3,Atlantic Beach,Florida,32233-3946,http://www.atlanticbeachbrewingcompany.com,9048948426,2018-07-24 01:33:11.380064,2018-08-11 21:36:50.884257,United States,,,
ragtime-tavern-seafood-and-grill,Ragtime Tavern Seafood and Grill,brewpub,207 Atlantic Blvd,Atlantic Beach,Florida,32233-5273,http://www.ragtimetavern.com,9042417877,2018-07-24 01:33:14.291088,2018-08-24 00:28:15.871519,United States,-81.3964898,30.3247964,
brewpop-brewery,Brewpop Brewery,brewpub,2122 US Highway 92 W,Auburndale,Florida,33823-3962,http://www.brewpop.com,8636623864,2018-07-24 01:33:11.925391,2018-08-11 21:36:52.217347,United States,,,
the-florida-brewery,The Florida Brewery,regional,202 Gandy Rd,Auburndale,Florida,33823-2726,http://www.floridabrewery.com,8639651825,2018-07-24 01:33:14.857499,2018-08-11 21:36:59.363755,United States,,,
barrel-of-monks-brewing,Barrel of Monks Brewing,micro,1141 S Rogers Cir Ste 5,Boca Raton,Florida,33487-2789,http://www.barrelofmonks.com,5615101253,2018-07-24 01:33:11.419226,2018-08-11 21:36:51.019181,United States,,,
funky-buddha-lounge-and-brewery,Funky Buddha Lounge & Brewery,large,2621 N Federal Hwy,Boca Raton,Florida,33431-7785,http://www.thefunkybuddha.com,5613684643,2018-07-24 01:33:12.896148,2018-08-24 00:27:19.084902,United States,-80.0805397,26.3640441,
momentum-brewhouse,Momentum Brewhouse,micro,9786 Bonita Beach Rd SE Ste 1,Bonita Springs,Florida,34135-4666,http://www.momentumbrewhouse.com,2399499945,2018-07-24 01:33:13.758641,2018-08-11 21:36:56.64329,United States,,,
copperpoint-brewing-company,Copperpoint Brewing Company,micro,151 Commerce Rd,Boynton Beach,Florida,33426-9365,,,2018-07-24 01:33:12.280836,2018-08-24 00:26:55.08197,United States,-80.073376,26.5590774285714,
devour-brewing-co,Devour Brewing Co,micro,1500 SW 30th Ave Ste 4,Boynton Beach,Florida,33426-9044,http://www.devourbrewing.com,5618066011,2018-07-24 01:33:12.594534,2018-08-11 21:36:53.685683,United States,,,
due-south-brewing-co,Due South Brewing Co,micro,2900 High Ridge Rd Ste 3,Boynton Beach,Florida,33426-8708,http://www.duesouthales.com,5614632337,2018-07-24 01:33:12.653575,2018-08-11 21:36:53.848164,United States,,,
nobo-brewing-company,NOBO Brewing Company,micro,2901 Commerce Park Dr,Boynton Beach,Florida,33426-8728,http://www.nobobrewing.com,5613201522,2018-07-24 01:33:13.885854,2018-08-11 21:36:56.928572,United States,,,
motorworks-brewing,Motorworks Brewing,micro,1014 9th St W,Bradenton,Florida,34205-7331,http://www.motorworksbrewing.com,9415676218,2018-07-24 01:33:13.772258,2018-08-24 00:27:53.817465,United States,-82.57129,27.4908762853266,
3-keys-brewing-company-llc,"3 Keys Brewing Company, LLC",brewpub,2505 Manatee Ave E,Bradenton,Florida,34208-2421,http://www.3keysbrewing.com,9412180396,2018-07-24 01:33:11.116708,2018-08-24 00:26:21.54571,United States,-82.5339350162344,27.4964502551051,
darwin-brewing-co,Darwin Brewing Co,micro,803 17th Ave W,Bradenton,Florida,34205-7608,http://www.darwinbrewingco.com,9417471970,2018-07-24 01:33:12.471949,2018-08-24 00:27:01.484565,United States,-82.5704045764443,27.4843298838169,
good-liquid-brewing-company,Good Liquid Brewing Company,micro,4824 14th St W,Bradenton,Florida,34207-2017,http://www.thegoodliquidbrewing.com,9418966381,2018-07-24 01:33:12.921896,2018-08-24 00:27:20.213194,United States,-82.575274,27.470805,
little-giant-brewery,Little Giant Brewery,planning,,Bradenton,Florida,34208-1139,,9419626650,2018-07-24 01:33:13.584084,2018-08-11 21:36:56.104684,United States,,,
naughty-monk-brewery-llc,Naughty Monk Brewery L.L.C.,micro,2507 Lakewood Ranch Blvd,Bradenton,Florida,34211-4949,http://www.naughtymonkbrewery.com,9417082966,2018-07-24 01:33:13.835201,2018-08-24 00:27:56.495545,United States,-82.4324118,27.4519957,
marker-48-brewing-llc,Marker 48 Brewing LLC,micro,12147 Cortez Blvd,Brooksville,Florida,34613-5551,http://www.marker48.com,3526062509,2018-07-24 01:33:13.645579,2018-08-24 00:27:48.960773,United States,-82.4012824,28.5396995,
florida-beer-co,Florida Beer Co,regional,200 Imperial Blvd,Cape Canaveral,Florida,32920-4245,http://www.floridabeer.com,3217284114,2018-07-24 01:33:12.807826,2018-08-24 00:27:15.369036,United States,-80.611259,28.398461,
big-storm-brewing,Big Storm Brewing,micro,839 Miramar St,Cape Coral,Florida,33904-9046,,,2018-07-24 01:33:11.550108,2018-08-24 00:26:34.847576,United States,-81.9557454,26.5609342,
scottys-bierwerks,Scotty's Bierwerks,micro,901 E Industrial Cir Unit 1-3,Cape Coral,Florida,33909-7446,http://www.facebook.com/scottysbierwerks,2398885482,2018-07-24 01:33:14.495962,2018-08-11 21:36:58.501437,United States,,,
big-blue-brewing,Big Blue Brewing,brewpub,4721 SE 10th Pl,Cape Coral,Florida,33904-9168,http://www.bigbluebrewing.com,9737693294,2018-07-24 01:33:11.525566,2018-08-24 00:26:33.547353,United States,-81.952426390216,26.56445894862,
bowigens-beer-company,Bowigens Beer Company,micro,1014 State Road 436,Casselberry,Florida,32707-5722,http://www.bowigens.com,4079607816,2018-07-24 01:33:11.709335,2018-08-11 21:36:51.709649,United States,,,
big-storm-brewing-co,Big Storm Brewing Co.,micro,12707 49th St N,Clearwater,Florida,33762-4604,http://www.bigstormbrewery.com,7274970666,2018-07-24 01:33:11.575248,2018-08-11 21:36:51.400212,United States,,,
brewery-in-planning-clearwater-fl,"Brewery in Planning - Clearwater, FL",planning,,Clearwater,Florida,33760,,3175196121,2018-07-24 01:33:11.810433,2018-08-11 21:36:51.933037,United States,,,
pair-o-dice-brewing-company,Pair O' Dice Brewing Company,micro,4400 118th Ave N Ste 208,Clearwater,Florida,33762-4433,http://www.pairodicebrewing.com,7277553423,2018-07-24 01:33:14.073465,2018-08-11 21:36:57.481824,United States,,,
sea-dog-brewing-co-clearwater,Sea Dog Brewing Co - Clearwater,micro,26200 US Highway 19 N,Clearwater,Florida,33761-3580,http://www.seadogbrewing.com,7274664916,2018-07-24 01:33:14.507929,2018-08-11 21:36:58.528761,United States,,,
southern-lights-brewing,Southern Lights Brewing,micro,2045 Gulf To Bay Blvd Ste D,Clearwater,Florida,33765-3752,http://www.southernlightsbrewing.com,7276149919,2018-07-24 01:33:14.629906,2018-08-11 21:36:58.830132,United States,,,
grindhaus-brew-lab,Grindhaus Brew Lab,micro,1650 N Hercules Ave Ste I,Clearwater,Florida,33765-1969,http://www.grindhausbrewlab.com,7272400804,2018-07-24 01:33:13.031876,2018-08-11 21:36:54.81538,United States,,,
clermont-brewing-company,Clermont Brewing Company,planning,,Clermont,Florida,34711-2108,,,2018-07-24 01:33:12.213854,2018-08-11 21:36:52.809447,United States,,,
suncreek-brewery,Suncreek Brewery,planning,,Clermont,Florida,34711-2135,http://www.suncreekbrewery.com,4078508810,2018-07-24 01:33:14.689903,2018-08-11 21:36:58.972436,United States,,,
cocoa-beach-brewing-co,Cocoa Beach Brewing Co,brewpub,150 N Atlantic Ave,Cocoa Beach,Florida,32931-2960,http://www.cocoabeachbrewingcompany.com,3216132941,2018-07-24 01:33:12.243103,2018-08-24 00:26:53.216579,United States,-80.6090792,28.3213572,
dirty-oar-beer-company,Dirty Oar Beer Company,micro,329 W King St,Cocoa,Florida,32922-4607,http://dirtyoarbeercompany.com/,,2018-07-24 01:33:12.605947,2018-08-24 00:27:07.360383,United States,-80.7473064,28.355795,
big-bear-brewing-co,Big Bear Brewing Co,brewpub,1800 N University Dr,Coral Springs,Florida,33071-6031,http://www.bigbearbrewingco.com,9543415545,2018-07-24 01:33:11.512954,2018-08-24 00:26:32.864533,United States,-80.2505088,26.2992083,
copp-brewery-and-winery,Copp Brewery & Winery,micro,11 NE 4th Ave,Crystal River,Florida,34429-4246,http://www.coppbrewery.com,3525649463,2018-07-24 01:33:12.268839,2018-08-24 00:26:54.453466,United States,-82.5873807162491,28.8947262591425,
nature-coast-brewing-company,Nature Coast Brewing Company,micro,564 N Citrus Ave,Crystal River,Florida,34428-4017,http://www.naturecoastbrewingco.com,3527950956,2018-07-24 01:33:13.823057,2018-08-24 00:27:55.993579,United States,-82.5931783969222,28.8991795698048,
3-sons-brewing-co,3 Sons Brewing Co.,proprietor,236 N Federal Hwy,Dania,Florida,33004-2870,http://www.3sonsbrewingco.com,9546013833,2018-07-24 01:33:11.128936,2018-08-24 00:26:22.191595,United States,-80.1436102851501,26.0480023822368,
the-mack-house-brewpub,The Mack House Brewpub,brewpub,9118 W State Road 84,Davie,Florida,33324-4416,http://www.themackhouse.com,9544745040,2018-07-24 01:33:14.88165,2018-08-11 21:36:59.416242,United States,,,
rock-bottom-brewery,Rock Bottom Brewery,brewpub,1864 Victory Cir Bldg K,Daytona Beach,Florida,32114,,3865168322,2018-07-24 01:33:14.37445,2018-08-11 21:36:58.229515,United States,,,
daytona-beach-brewing-company,Daytona Beach Brewing Company,micro,482 Fentress Blvd Ste N,Daytona Beach,Florida,32114-1298,http://www.daytonabeachbrewingcompany.com,3866792337,2018-07-24 01:33:12.484441,2018-08-11 21:36:53.417264,United States,,,
central-28-beer-company,Central 28 Beer Company,micro,290 Springview Commerce Dr Ste 1,Debary,Florida,32713-4848,http://www.central28beer.com,3866682811,2018-07-24 01:33:12.106371,2018-08-11 21:36:52.605629,United States,,,
persimmon-hollow-brewing,Persimmon Hollow Brewing,micro,111 W Georgia Ave,Deland,Florida,32720-5406,http://www.persimmonhollowbrewing.com,3868737350,2018-07-24 01:33:14.151698,2018-08-24 00:28:10.11662,United States,-81.3037205782236,29.0272682190265,
saltwater-brewery,Saltwater Brewery,micro,1701 W Atlantic Ave,Delray Beach,Florida,33444-1566,http://www.saltwaterbrewery.com,6092808464,2018-07-24 01:33:14.458886,2018-08-24 00:28:23.012091,United States,-80.0913747,26.4619509,
destin-brewery,Destin Brewery,micro,505 Mountain Dr Ste N,Destin,Florida,32541-7334,http://www.destinbrewery.com,,2018-07-24 01:33:12.570671,2018-08-11 21:36:53.619739,United States,,,
mcguires-irish-pub-and-brewery-destin,McGuire's Irish Pub and Brewery - Destin,brewpub,33 Highway 98 E,Destin,Florida,32541-2309,http://www.mcguiresirishpub.com,8506540567,2018-07-24 01:33:13.696907,2018-08-11 21:36:56.47463,United States,,,
mia-beer-co,M.I.A. Beer Co,micro,10400 NW 33rd St Ste 150,Doral,Florida,33172-5902,http://www.mia.beer,3055675550,2018-07-24 01:33:13.608408,2018-08-11 21:36:56.163867,United States,,,
caledonia-brewing,Caledonia Brewing,micro,587 Main St,Dunedin,Florida,34698-4998,http://www.caledoniabrewing.com,7273515105,2018-07-24 01:33:12.056586,2018-08-24 00:26:49.312913,United States,-82.7840735,28.01394225,
7venth-sun-brewery,7venth Sun Brewery,micro,1012 Broadway,Dunedin,Florida,34698-5762,http://www.7venthsun.com,7277333013,2018-07-24 01:33:11.154853,2018-08-11 21:36:49.876439,United States,,,
cueni-brewing-co,Cueni Brewing Co.,micro,945 Huntley Ave,Dunedin,Florida,34698-5722,http://www.cuenibrewing.com,7272664102,2018-07-24 01:33:12.374917,2018-08-24 00:26:58.5309,United States,-82.7892842320147,28.0144036833562,
dunedin-brewery-production-facility,Dunedin Brewery Production Facility,planning,,Dunedin,Florida,34698-5061,,,2018-07-24 01:33:12.682587,2018-08-11 21:36:53.909961,United States,,,
dunedin-brewery-and-public-house,Dunedin Brewery & Public House,brewpub,937 Douglas Ave,Dunedin,Florida,34698-4945,http://www.dunedinbrewery.com,7277360606,2018-07-24 01:33:12.6674,2018-08-24 00:27:10.240684,United States,-82.7878256086413,28.0141823132337,
soggy-bottom-brewing-co,Soggy Bottom Brewing Co.,micro,660 Main St,Dunedin,Florida,34698,http://www.soggybottombrewery.com,7276011698,2018-07-24 01:33:14.592919,2018-08-24 00:28:28.462371,United States,-82.7827198075155,28.0152064022556,
woodwright-brewing-company,Woodwright Brewing Company,micro,985 Douglas Ave,Dunedin,Florida,34698-4945,,7272388717,2018-07-24 01:33:15.217344,2018-08-24 00:28:51.988513,United States,-82.787809750721,28.0153997211397,
