id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
millercoors-brewing-co-albany,MillerCoors Brewing Co - Albany,large,405 Cordele Rd,Albany,Georgia,31705-2109,,,2018-07-24 01:33:15.988112,2018-08-24 00:29:13.337065,United States,-84.0820312571752,31.5854934285396,
pretoria-fields-collective,Pretoria Fields Collective,micro,120 Pine Ave,Albany,Georgia,31701-2529,http://www.pretoriafields.com,2295181770,2018-07-24 01:33:16.20317,2018-08-24 00:29:21.824512,United States,-84.1495930042213,31.5785829366279,
currahee-brewing-company,Currahee Brewing Company,micro,25 S Main St,Alpharetta,Georgia,30009,,,2018-07-24 01:33:15.618382,2018-08-24 00:29:02.040773,United States,-84.2967826,34.0711104,
jekyll-brewing,Jekyll Brewing,micro,2855 Marconi Dr Ste 350,Alpharetta,Georgia,30005-2051,http://www.jekyllbrewing.com,7705968788,2018-07-24 01:33:15.884802,2018-08-24 00:29:09.789612,United States,-84.2536638,34.0816562,
southern-brewing-company,Southern Brewing Company,micro,231 Collins Industrial Blvd,Athens,Georgia,30601-1517,http://www.sobrewco.com,7065487183,2018-07-24 01:33:16.426119,2018-08-24 00:29:29.429091,United States,-83.3500228701351,33.9811401213053,
akademia-brewing-company,Akademia Brewing Company,brewpub,150 Crane Dr,Athens,Georgia,30606-0600,http://www.AkademiaBC.com,7064613208,2018-07-24 01:33:15.384296,2018-08-24 00:28:57.600712,United States,-83.4715375370739,33.9427028863025,
creature-comforts-production-facility-at-southern-mill,Creature Comforts Production Facility At Southern Mill,regional,355 Oneta St Bldg A100,Athens,Georgia,30601,,,2018-07-24 01:33:15.606098,2018-08-11 21:37:01.484882,United States,,,
creature-comforts-brewing-co,Creature Comforts Brewing Co.,regional,271 W Hancock Ave,Athens,Georgia,30601-2727,http://www.creaturecomfortsbeer.com,7064101043,2018-07-24 01:33:15.593582,2018-08-24 00:29:00.88581,United States,-83.380087,33.9591987142857,
terrapin-beer-co,Terrapin Beer Co,large,265 Newton Bridge Rd,Athens,Georgia,30607-1145,http://www.terrapinbeer.com,7065493377,2018-07-24 01:33:16.514806,2018-08-24 00:29:33.470263,United States,-83.3977928447205,33.9885289006211,
max-lagers-wood-fired-grill-and-brewery,Max Lager's Wood Fired Grill & Brewery,brewpub,320 Peachtree St NE,Atlanta,Georgia,30308-3210,http://www.maxlagers.com,4045254400,2018-07-24 01:33:15.962456,2018-08-24 00:29:12.766776,United States,-84.3870607355802,33.76333225,
sweetwater-brewing-co,SweetWater Brewing Co,regional,195 Ottley Dr NE,Atlanta,Georgia,30324-3924,http://www.sweetwaterbrew.com,4046912537,2018-07-24 01:33:16.488114,2018-08-24 00:29:32.873246,United States,-84.3810721937623,33.80802235,
monday-night-brewing-garage,Monday Night Brewing - Garage,micro,933 Lee St SW,Atlanta,Georgia,30310,,,2018-07-24 01:33:16.01386,2018-08-24 00:29:14.426354,United States,-84.4161772352941,33.7290642941176,
eurobevs,EuroBevs,contract,2255 Cumberland Pkwy SE,Atlanta,Georgia,30339-4515,http://www.eurobevs.com,7704371285,2018-07-24 01:33:15.667164,2018-08-11 21:37:01.655959,United States,,,
new-realm-brewing,New Realm Brewing,brewpub,550 Somerset Ter NE Unit 101,Atlanta,Georgia,30306-4317,http://www.newrealmbrewing.com,4049682778,2018-07-24 01:33:16.051405,2018-08-11 21:37:02.75996,United States,,,
odempseys-brewing-co,O'Dempsey's Brewing Co,contract,"205 Grosvenor Place, Nw",Atlanta,Georgia,30328,http://www.odempseys.com,4048450059,2018-07-24 01:33:16.09065,2018-08-11 21:37:02.882991,United States,,,
eventide-brewing-co,Eventide Brewing Co,micro,1015 Grant St SE,Atlanta,Georgia,30315-2014,http://www.eventidebrewing.com,4049074543,2018-07-24 01:33:15.680861,2018-08-24 00:29:04.352122,United States,-84.3770629097993,33.72670205,
monday-night-brewing,Monday Night Brewing,micro,670 Trabert Ave NW,Atlanta,Georgia,30318-4230,http://www.mondaynightbrewing.com,4043527703,2018-07-24 01:33:16.001447,2018-08-24 00:29:13.856727,United States,-84.4098921239911,33.79480405,
orpheus-brewing,Orpheus Brewing,micro,1440 Dutch Valley Pl NE Ste 2001,Atlanta,Georgia,30324-5366,http://www.orpheusbrewing.com,4043471777,2018-07-24 01:33:16.117014,2018-08-24 00:29:18.35058,United States,-84.3685805104894,33.79314935,
park-tavern-brewery,Park Tavern Brewery,brewpub,500 10th St NE,Atlanta,Georgia,30309-4272,http://www.parktavern.com,4042490001,2018-07-24 01:33:16.129353,2018-08-24 00:29:19.023828,United States,-84.377744,33.781867,
perfect-fool-brewing-company,Perfect Fool Brewing Company,planning,,Atlanta,Georgia,30319,,,2018-07-24 01:33:16.141604,2018-08-11 21:37:03.021113,United States,,,
sabbath-brewing,Sabbath Brewing,planning,,Atlanta,Georgia,30316,,,2018-07-24 01:33:16.321033,2018-08-11 21:37:03.436455,United States,,,
scofflaw-brewing-co,Scofflaw Brewing Co,micro,1738 Macarthur Blvd NW,Atlanta,Georgia,30318-2022,http://www.scofflawbeer.com,4049153392,2018-07-24 01:33:16.357049,2018-08-11 21:37:03.541831,United States,,,
the-lost-druid,The Lost Druid,planning,,Atlanta,Georgia,30307-2758,,,2018-07-24 01:33:16.526829,2018-08-11 21:37:03.918501,United States,,,
the-woodlands-at-sweetwater,The Woodlands At SweetWater,micro,215 Ottley Dr,Atlanta,Georgia,30324-3924,,4046912537,2018-07-24 01:33:16.563879,2018-08-11 21:37:04.020444,United States,,,
red-brick-brewing-co-/-atlanta-brewing-co,Red Brick Brewing Co / Atlanta Brewing Co,micro,2323 Defoor Hills Rd NW,Atlanta,Georgia,30318-2207,http://www.atlantabrewing.com,4043555558,2018-07-24 01:33:16.231242,2018-08-24 00:29:22.92276,United States,-84.4345413838986,33.81830375,
second-self-brewing,Second Self Brewing,micro,1311 Logan Cir NW,Atlanta,Georgia,30318-2858,http://secondselfbeer.com,6789168035,2018-07-24 01:33:16.369183,2018-08-24 00:29:27.234053,United States,-84.4300619376943,33.8055922,
stats-brewpub,Stats Brewpub,brewpub,300 Marietta St NW,Atlanta,Georgia,30313-1632,http://StatsATL.com,7705700160,2018-07-24 01:33:16.450382,2018-08-24 00:29:30.527771,United States,-84.3964736,33.7615549,
the-wrecking-bar-brewpub,The Wrecking Bar Brewpub,brewpub,292 Moreland Ave NE,Atlanta,Georgia,30307-1953,http://www.wreckingbarbrewpub.com,4042212600,2018-07-24 01:33:16.577269,2018-08-24 00:29:34.972766,United States,-84.3496422,33.762309,
torched-hop-brewing-company,Torched Hop Brewing Company,brewpub,249 Ponce de Leon Ave NE,Atlanta,Georgia,30308-1937,http://www.Torchedhopbrewing.com,4048352040,2018-07-24 01:33:16.608911,2018-08-24 00:29:36.17277,United States,-84.3792977599729,33.77232605,
5-seasons-brewing-co-westside,5 Seasons Brewing Co - Westside,brewpub,1000 Marietta St NW Ste 204,Atlanta,Georgia,30318-0683,http://www.5seasonsbrewing.com,4048753232,2018-07-24 01:33:15.34686,2018-08-11 21:37:00.787492,United States,,,
gordon-biersch-brewery-restaurant-atlanta,Gordon Biersch Brewery Restaurant - Atlanta,brewpub,3242 Peachtree Rd NE,Atlanta,Georgia,30305-2425,http://www.craftworksrestaurants.com,4042640253,2018-07-24 01:33:15.782117,2018-08-24 00:29:07.009128,United States,-84.3620936,33.8503143,
riverwatch-brewery,Riverwatch Brewery,micro,1150 5th St Bldg 61,Augusta,Georgia,30901-5861,http://www.riverwatchbrewery.com,7064217177,2018-07-24 01:33:16.295665,2018-08-11 21:37:03.365231,United States,,,
savannah-river-brewing-company,Savannah River Brewing Company,micro,813 5th St,Augusta,Georgia,30901-2414,http://www.savannahriverbrew.com,7064268212,2018-07-24 01:33:16.345409,2018-08-24 00:29:26.129101,United States,-81.9628808233695,33.4653453607462,
buck-bald-brewing-corporation,Buck Bald Brewing Corporation,planning,,Blue Ridge,Georgia,30513,http://www.buckbaldbrewing.com,7703169971,2018-07-24 01:33:15.518076,2018-08-11 21:37:01.258802,United States,,,
fannin-brewing,Fannin Brewing,micro,3758 E First St,Blue Ridge,Georgia,30513-4514,http://www.fanninbrewingcompany.com,7062582762,2018-07-24 01:33:15.69398,2018-08-24 00:29:04.845927,United States,-84.3170747740377,34.8714261335704,
grumpy-old-men-brewing,Grumpy Old Men Brewing,micro,1315 E Main St,Blue Ridge,Georgia,30513-8506,http://www.grumpyoldmenbrewing.com,7703318870,2018-07-24 01:33:15.806744,2018-08-24 00:29:07.640356,United States,-84.3305083215193,34.8574713620201,
braselton-brewing-company,Braselton Brewing Company,planning,,Braselton,Georgia,30517,,7068701458,2018-07-24 01:33:15.4327,2018-08-11 21:37:01.050129,United States,,,
hop-soul-brewery,Hop Soul Brewery,planning,,Brunswick,Georgia,31520,http://www.hopsoulbrewery.com,,2018-07-24 01:33:15.819094,2018-08-11 21:37:02.116906,United States,,,
brewery-in-planning-buford,Brewery in Planning - Buford,planning,,Buford,Georgia,30515-0568,,,2018-07-24 01:33:15.444806,2018-08-11 21:37:01.091561,United States,,,
the-split-batch-brewery,The Split Batch Brewery,planning,,Buford,Georgia,30519-2236,http://www.splitbatchbrewery.com,4049834303,2018-07-24 01:33:16.538883,2018-08-11 21:37:03.951611,United States,,,
printers-ale-manufacturing-co,Printer's Ale Manufacturing Co.,micro,940 Columbia Dr,Carrollton,Georgia,30117-8780,http://www.printers-ale.com,7708364253,2018-07-24 01:33:16.216401,2018-08-24 00:29:22.41065,United States,-85.1024965714286,33.6113894489796,
anheuser-busch-inc-a-cartersville,Anheuser-Busch Inc â Cartersville,large,100 Busch Dr NE,Cartersville,Georgia,30121-7217,,7703862000,2018-07-24 01:33:15.396147,2018-08-11 21:37:00.919537,United States,,,
grits-brewing,GRITS Brewing,planning,,Chamblee,Georgia,30341-2024,,,2018-07-24 01:33:15.794109,2018-08-11 21:37:02.043168,United States,,,
hopstix,Hopstix,brewpub,3404 Pierce Dr NE,Chamblee,Georgia,30341-2444,http://www.hopstix.com,6788882306,2018-07-24 01:33:15.831521,2018-08-11 21:37:02.153859,United States,,,
tantrum-brewing-company,Tantrum Brewing Company,planning,,Cleveland,Georgia,30528-7804,http://www.tantrumbeer.com,7068090808,2018-07-24 01:33:16.500633,2018-08-11 21:37:03.858256,United States,,,
cannon-brewpub,Cannon Brewpub,brewpub,1041 Broadway,Columbus,Georgia,31901-5256,,7066532337,2018-07-24 01:33:15.541834,2018-08-11 21:37:01.334777,United States,,,
