id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
hawaii-nui-brewing,Hawaii Nui Brewing,closed,275 E Kawili St,Hilo,Hawaii,96720-5074,http://www.hawaiinuibrewing.com,8089348211,2018-07-24 01:33:16.830675,2018-08-24 00:29:42.298411,United States,-155.069788476413,19.7058759551431,
hilo-brewing-co,Hilo Brewing Co,micro,275 E Kawili St,Hilo,Hawaii,96720-5074,https://hilobrewingco.com,8089348211,2020-10-11 20:12:11,2020-10-11 20:12:11,United States,-155.069788476413,19.7058759551431,
beer-lab-hi,Beer Lab HI,micro,1010 University Ave Ste B1,Honolulu,Hawaii,96826-1537,http://www.beerlabhi.com,8088880913,2018-07-24 01:33:16.739352,2018-08-24 00:29:40.482139,United States,-157.821878401556,21.2921440645306,
home-of-the-brave-brewing-company,Home of the Brave Brewing Company,closed,909 Waimanu St,Honolulu,Hawaii,96814-3309,http://www.hotbbc.com,8083968112,2018-07-24 01:33:16.84281,2020-10-11 18:14:11,United States,-157.853596637989,21.2987568898793,
gordon-biersch-brewery-restaurant-honolulu,Gordon Biersch Brewery Restaurant - Honolulu,closed,1 Aloha Tower Dr Ste 1123,Honolulu,Hawaii,96813-4815,http://www.gordonbiersch.com/restaurant,8085994877,2018-07-24 01:33:16.817681,2020-10-11 20:16:30,United States,-157.866220,21.306704,
honolulu-beerworks,Honolulu BeerWorks,brewpub,328 Cooke St,Honolulu,Hawaii,96813-5531,http://www.honolulubeerworks.com,8085892337,2018-07-24 01:33:16.855501,2018-08-24 00:29:43.508456,United States,-157.860634014391,21.296906034391,
maui-brewing-co-waikiki,Maui Brewing Co - Waikiki,brewpub,2300 Kalakua Ave,Honolulu,Hawaii,96815,https://www.mauibrewingco.com,8088432739,2020-10-11 18:36:12,2020-10-11 18:36:12,United States,-157.826624,21.278349,
stewbum,Stewbum,brewpub,96 N King St,Honolulu,Hawaii,96817-5109,http://www.stewbumandstonewall.com,8086646684,2018-07-24 01:33:16.982777,2018-08-24 00:29:49.433349,United States,-157.8634762,21.3117151333333,
waikiki-brewing-company,Waikiki Brewing Company,brewpub,1945 Kalakaua Ave,Honolulu,Hawaii,96815-1851,http://www.waikikibrewing.com,,2018-07-24 01:33:17.006812,2018-08-24 00:29:50.49679,United States,-157.8334964,21.2858755,
waikiki-brewing-company-kakaako,"Waikiki Brewing Company, Kaka'ako",micro,831 Queen St,Honolulu,Hawaii,96813-5203,,,2018-07-24 01:33:17.018806,2018-08-24 00:29:51.101823,United States,-157.8559270982,21.299644317727,
aloha-beer-co,Aloha Beer Co,brewpub,700 Queen St,Honolulu,Hawaii,96813-5110,http://www.alohabeer.com,8085455959,2018-07-24 01:33:16.726778,2018-08-24 00:29:39.918896,United States,-157.857248,21.301249,
ola-brew-co,Ola Brew Co.,micro,74-5598 Luhia St Ste A,Kailua Kona,Hawaii,96740-3151,http://www.olabrewco.com,8083393565,2018-07-24 01:33:16.970298,2018-08-11 21:37:04.876341,United States,-155.998060,19.646861,
kona-brewing-co,Kona Brewing Co,regional,74-5612 Pawai Pl,Kailua Kona,Hawaii,96740-1617,http://www.konabrewingco.com,8083341133,2018-07-24 01:33:16.918662,2018-08-24 00:29:46.663772,United States,-155.997661,19.643069,
brewery-in-planning-honolulu-hi,Brewery In Planning - Honolulu HI,planning,,Kailua,Hawaii,96734-4059,,,2018-07-24 01:33:16.76795,2018-08-11 21:37:04.457994,United States,,,
lanikai-brewing-co,Lanikai Brewing Co,micro,175-C Hamakua Dr,Kailua,Hawaii,96734,https://www.lanikaibrewing.com,,2018-07-24 01:33:16.931421,2020-10-11 20:25:12,United States,-157.740326634477,21.3904428646501,
big-island-brewhaus,Big Island Brewhaus,brewpub,64-1066 Mamalahoa Hwy Unit 5,Kamuela,Hawaii,96743-7309,http://www.bigislandbrewhaus.com,8088871717,2018-07-24 01:33:16.755608,2018-08-11 21:37:04.422685,United States,-155.661471,20.025552,
inu-island-ales,Inu Island Ales,micro,46-147 Kahuhipa St STE E,Kaneohe,Hawaii,96744,http://www.inuislandales.com,4088888586,2018-07-24 01:33:16.868228,2020-10-11 20:58:04,United States,-157.805414,21.416279,
maui-brewing-co-kihei,Maui Brewing Co - Kihei,brewpub,605 Lipoa Pkwy,Kihei,Hawaii,96753-6947,http://www.mauibrewingco.com,8082133002,2018-07-24 01:33:16.943545,2018-08-24 00:29:47.907688,United States,-156.4402410984,20.7496156609264,
brewery-in-planning-kunia-hi,"Brewery in Planning - Kunia, HI",planning,,Kunia,Hawaii,96759,,8082225728,2018-07-24 01:33:16.793482,2018-08-11 21:37:04.485447,United States,,,
