id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
scorched-earth-brewing-co,Scorched Earth Brewing Co.,micro,203 Berg St,Algonquin,Illinois,60102-3537,http://scorchedearthbrewing.com,2242098472,2018-07-24 01:33:20.570001,2018-08-24 00:32:04.495073,United States,-88.303969703463,42.1709109360582,
village-vintner-winery-and-brewery,Village Vintner Winery & Brewery,brewpub,2380 Esplanade Dr Ste 100,Algonquin,Illinois,60102-5450,http://www.thevillagevintner.com,8476584900,2018-07-24 01:33:21.023432,2018-08-24 00:32:19.429689,United States,-88.3383809759029,42.1440894812469,
von-jakob-winery,Von Jakob Winery,brewpub,230 Illinois Hwy 127,Alto Pass,Illinois,62905,http://www.vonjakob.com,6188934600,2018-07-24 01:33:21.035903,2018-08-11 21:37:16.910587,United States,,,
the-old-bakery-beer-company,The Old Bakery Beer Company,brewpub,400 Landmarks Blvd,Alton,Illinois,62002-2405,,6184631470,2018-07-24 01:33:20.867577,2018-08-11 21:37:16.289848,United States,,,
1905-brewing-company,1905 Brewing Company,micro,1301 S Chestnut St,Assumption,Illinois,62510-8504,http://1905BrewingCompany.com,2172549374,2018-07-24 01:33:17.83435,2018-08-24 00:30:21.69246,United States,-89.0503635,39.5172564,
wonky-brew-factory,Wonky Brew Factory,planning,,Aurora,Illinois,60506-5749,,,2018-07-24 01:33:21.139389,2018-08-11 21:37:17.16517,United States,,,
hopvine-brewing-company,Hopvine Brewing Company,brewpub,4030 Fox Valley Center Dr,Aurora,Illinois,60504-4109,http://www.hopvinebrewingcompany.com,6302296030,2018-07-24 01:33:19.325648,2018-08-24 00:31:16.408905,United States,-88.2136400185474,41.7608229153453,
scratch-brewing-company,Scratch Brewing Company,brewpub,264 Thompson Rd,Ava,Illinois,62907-2658,http://www.scratchbeer.com,6184261415,2018-07-24 01:33:20.583467,2018-08-11 21:37:15.481283,United States,,,
flesk-brewing,Flesk Brewing,micro,200 Applebee St Ste E,Barrington,Illinois,60010-3063,http://www.fleskbrewing.com,2246557291,2018-07-24 01:33:18.8765,2018-08-11 21:37:10.673208,United States,,,
4204-main-street-brewing-co,4204 Main Street Brewing Co,brewpub,4204 W Main St,Belleville,Illinois,62226,,6184167261,2018-07-24 01:33:17.858361,2018-08-24 00:30:23.024367,United States,-90.020533433254,38.5379612158748,
hofbrauhaus-st-louis-belleville,Hofbrauhaus St. Louis-Belleville,brewpub,123 Saint Eugene Dr,Belleville,Illinois,62223-1154,http://www.hofbrauhausstlouis.com,6188002337,2018-07-24 01:33:19.277498,2018-08-11 21:37:12.235526,United States,,,
mainstreet-brewing-company,Mainstreet Brewing Company,micro,4204 W Main St,Belleville,Illinois,62226,http://www.mainstreetbrewingco.com,6184167261,2018-07-24 01:33:19.712679,2018-08-24 00:31:30.733125,United States,-90.020533433254,38.5379612158748,
flapjack-brewery,Flapjack Brewery,brewpub,6833 Stanley Ave,Berwyn,Illinois,60402-5289,http://www.flapjackbrewery.com,,2018-07-24 01:33:18.863393,2018-08-24 00:30:58.113792,United States,-87.7943628097043,41.8334248420287,
keg-grove-brewing-company,Keg Grove Brewing Company,micro,712 E Empire St Ste 2,Bloomington,Illinois,61701-3252,http://keggrovebrewing.com,,2018-07-24 01:33:19.466033,2018-08-11 21:37:12.905981,United States,,,
lil-beaver-brewery,Lil Beaver Brewery,micro,16 Currency Dr Unit B,Bloomington,Illinois,61704-9632,http://www.lilbeaverbrewery.com,3098082590,2018-07-24 01:33:19.612071,2018-08-11 21:37:13.294037,United States,,,
blue-island-beer-co,Blue Island Beer Co,micro,13357 Olde Western Ave,Blue Island,Illinois,60406-2969,http://www.blueislandbeerco.com,7089548085,2018-07-24 01:33:18.277419,2018-08-11 21:37:08.325291,United States,,,
gordon-biersch-brewery-restaurant-bolingbrook,Gordon Biersch Brewery Restaurant - Bolingbrook,brewpub,639 E Boughton Rd Ste 100,Bolingbrook,Illinois,60440-3126,http://www.craftworksrestaurants.com,6307396036,2018-07-24 01:33:19.017244,2018-08-24 00:31:05.016971,United States,-88.042356,41.721179,
brickstone-brewery,BrickStone Brewery,micro,572 Brewery Ln,Bourbonnais,Illinois,60914-2196,,8159369277,2018-07-24 01:33:18.396486,2018-08-11 21:37:08.634832,United States,,,
brickstone-brewery-brewpub,BrickStone Brewery Brewpub,brewpub,557 William Latham Dr,Bourbonnais,Illinois,60914-2319,http://www.brickstonebrewery.com,8159369277,2018-07-24 01:33:18.40851,2018-08-24 00:30:39.126703,United States,-87.881654,41.162675,
excel-brewing-co,Excel Brewing Co,micro,488 S Broadway,Breese,Illinois,62230-1805,http://www.excelbottling.com,6185267159,2018-07-24 01:33:18.825307,2018-08-24 00:30:56.520937,United States,-89.5300767274115,38.6066593297428,
prairie-krafts-brewing-company,Prairie Krafts Brewing Company,micro,1310 Busch Pkwy,Buffalo Grove,Illinois,60089-4505,http://www.prairiekrafts.com,2244342189,2018-07-24 01:33:20.27593,2018-08-11 21:37:14.814257,United States,,,
hairy-cow-brewing-co-llc,"Hairy Cow Brewing Co, LLC",planning,,Byron,Illinois,61010,http://www.hairycowbrewing.com,8152432866,2018-07-24 01:33:19.171039,2018-08-11 21:37:11.885895,United States,,,
rolling-meadows-farm-brewery,Rolling Meadows Farm Brewery,micro,3954 Central Point Rd,Cantrall,Illinois,62625-8803,http://www.rollingmeadowsbrewery.com,2177252492,2018-07-24 01:33:20.533648,2018-08-11 21:37:15.374624,United States,,,
brewery-in-planning-carbondale,Brewery in Planning - Carbondale,planning,,Carbondale,Illinois,62901,http://www.fermentation.siu.edu,6184537508,2018-07-24 01:33:18.31259,2018-08-11 21:37:08.430537,United States,,,
cary-ale-house,Cary Ale House,brewpub,208 W Main St Lowr 1,Cary,Illinois,60013-2786,http://caryalehousebrewing.com,8476397244,2018-07-24 01:33:18.521304,2018-08-11 21:37:08.952696,United States,,,
destihl-champaign,DESTIHL - Champaign,brewpub,301 N Neil St,Champaign,Illinois,61820-3163,http://www.destihl.com,2173560301,2018-07-24 01:33:18.615776,2018-08-24 00:30:46.915001,United States,-88.2437783,40.1184918,
blind-pig-brewery,Blind Pig Brewery,brewpub,120 N Neil St,Champaign,Illinois,61820-4023,http://www.blindpigbrewery.com,2173985133,2018-07-24 01:33:18.253048,2018-08-24 00:30:35.897563,United States,-88.2434108181818,40.1171460909091,
river-hawk-brewing,River Hawk Brewing,micro,24735 W Eames St,Channahon,Illinois,60410-8705,http://www.riverhawkbrewing.com,8152552202,2018-07-24 01:33:20.437234,2018-08-24 00:32:00.25491,United States,-88.2173202524447,41.4354253920254,
one-allegiance-brewing,One Allegiance Brewing,planning,,Chicago Ridge,Illinois,60415-1347,http://www.OneAllegiance.com,,2018-07-24 01:33:20.098539,2018-08-11 21:37:14.420206,United States,,,
horse-thief-hollow-brewery,Horse Thief Hollow Brewery,brewpub,10426 S Western Ave,Chicago,Illinois,60643-2508,http://www.horsethiefbrewing.com,7737792739,2018-07-24 01:33:19.338214,2018-08-24 00:31:16.933116,United States,-87.6819511632652,41.70388555,
