id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
creatures-of-habit-brewing-co,Creatures Of Habit Brewing Co,planning,,Anderson,Indiana,46016-1749,http://facebook.com/CreaturesBrew/,7654000116,2018-07-24 01:33:21.782804,2018-08-11 21:37:18.65323,United States,,,
chapmans-brewing-company,Chapman's Brewing Company,brewpub,300 Industrial Dr,Angola,Indiana,46703-1053,http://www.chapmansbrewing.com,2603195495,2018-07-24 01:33:21.735207,2018-08-24 00:32:42.926823,United States,-85.0016478242249,41.6483625562721,
auburn-brewing-company,Auburn Brewing Company,planning,,"Auburn ",Indiana,46706,,2609081074,2018-07-24 01:33:21.258501,2018-08-11 21:37:17.381698,United States,,,
great-crescent-brewery,Great Crescent Brewery,micro,315 Importing St,Aurora,Indiana,47001-1415,http://www.gcbeer.com,8126559079,2018-07-24 01:33:22.150555,2018-08-24 00:32:57.743275,United States,-84.9005125714286,39.0576022857143,
taxman-brewing-co,Taxman Brewing Co,micro,13 S Baldwin St,Bargersville,Indiana,46106-9089,http://www.taxmanbrewing.com,,2018-07-24 01:33:22.926826,2018-08-24 00:33:26.773104,United States,-86.1671619863068,39.5214854792612,
lil-charlies-restaurant-and-brewery,Lil' Charlie's Restaurant & Brewery,contract,504 E Pearl St,Batesville,Indiana,47006-1585,http://www.lilcharlies.com,8129346392,2018-07-24 01:33:22.339654,2018-08-24 00:33:04.529419,United States,-85.2161451812081,39.295641966443,
salt-creek-brewery,Salt Creek Brewery,brewpub,466 Old State Road 37 N,Bedford,Indiana,47421-8068,http://www.saltcreeekbrewery.beer,8122778277,2018-07-24 01:33:22.756772,2018-08-11 21:37:21.249493,United States,,,
feed-store-beer-co,Feed Store Beer Co,planning,,Bloomfield,Indiana,47424-1137,http://www.feedstorebeer.com,8123814343,2018-07-24 01:33:21.922561,2018-08-11 21:37:18.996837,United States,,,
upland-brewing-co-bloomington-brewpub,Upland Brewing Co - Bloomington Brewpub,regional,350 W 11th St,Bloomington,Indiana,47404-3720,http://www.uplandbeer.com,8123362337,2018-07-24 01:33:23.175347,2018-08-24 00:33:37.761726,United States,-86.5374792673344,39.173423,
bloomington-brewing-co-production-facility,Bloomington Brewing Co - Production Facility,micro,2234 West Industrial Drive,Bloomington,Indiana,47404,http://www.bbcbloomington.com,8126992005,2018-07-24 01:33:21.466759,2018-08-11 21:37:17.906925,United States,,,
