id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
albia-brewing-co,Albia Brewing Co,brewpub,11 Benton Ave E,Albia,Iowa,52531-2032,http://www.albiabrewingcompany.blogspot.com,6419324085,2018-07-24 01:33:23.354695,2018-08-24 00:33:44.626483,United States,-92.8073711031576,41.0271890321554,
millstream-brewing-co,Millstream Brewing Co,brewpub,835 48th Ave,Amana,Iowa,52203-8122,http://www.millstreambrewing.com,3196223672,2018-07-24 01:33:24.060977,2018-08-24 00:38:04.116007,United States,-91.8652726515593,41.794931800583,
alluvial-brewing-company,Alluvial Brewing Company,micro,3715 W 190th St,Ames,Iowa,50014-9316,http://www.alluvialbrewing.com,515337118,2018-07-24 01:33:23.366879,2018-08-11 21:37:22.756025,United States,,,
olde-main-brewing-co-and-restaurant,Olde Main Brewing Co & Restaurant,brewpub,316 Main St,Ames,Iowa,50010,http://www.oldemainbrewing.com/,5152320553,2018-07-24 01:33:24.205978,2018-08-24 00:38:06.454019,United States,-93.6141004285714,42.0250322653061,
torrent-brewing-co,Torrent Brewing Co,micro,504 Burnett Ave,Ames,Iowa,50010-6178,http://www.torrentbrewingco.com,5152333155,2018-07-24 01:33:24.465257,2018-08-24 00:38:16.481894,United States,-93.6152661632653,42.0260534081633,
mistress-brewing-company,Mistress Brewing Company,micro,1460 NE 69th Pl Ste 66,Ankeny,Iowa,50021-8934,http://www.mistressbrewing.com,5157712133,2018-07-24 01:33:24.074569,2018-08-11 21:37:24.412245,United States,,,
new-american-brewing-company,New American Brewing Company,micro,1631 SW Main St Ste 105,Ankeny,Iowa,50023-7254,http://www.newamericanbeer.com,5152505648,2018-07-24 01:33:24.166035,2018-08-11 21:37:24.446453,United States,,,
firetrucker-brewery,Firetrucker Brewery,micro,716 SW 3rd St,Ankeny,Iowa,50023-2615,http://www.firetrucker.com,5159641284,2018-07-24 01:33:23.720898,2018-08-24 00:37:52.258484,United States,-93.6098436917965,41.7299268,
river-ridge-brewing,River Ridge Brewing,micro,118 N Riverview St,Bellevue,Iowa,52031-1248,http://www.riverridgebrewing.com,5632310299,2018-07-24 01:33:24.323507,2018-08-11 21:37:24.806755,United States,,,
crawford-brew-works,Crawford Brew Works,micro,3659 Devils Glen Rd,Bettendorf,Iowa,52722,,,2018-07-24 01:33:23.593928,2018-08-24 00:33:55.965161,United States,-90.483443779661,41.5592441864407,
five-cities-brewing,Five Cities Brewing,micro,2255 Falcon Ave,Bettendorf,Iowa,52722,http://www.fivecitiesbrewing.com,5632326105,2018-07-24 01:33:23.736863,2018-08-24 00:37:52.805799,United States,-90.5012637754947,41.5743051839499,
reclaimed-rails-brewing-company,Reclaimed Rails Brewing Company,micro,101 Main St. SE,Bondurant,Iowa,50035-7722,http://www.reclaimedrailsbrewing.com,,2018-07-24 01:33:24.297281,2018-08-24 00:38:10.280267,United States,-93.461872,41.699717,
boone-valley-brewing-co,Boone Valley Brewing Co,micro,816 7th St,Boone,Iowa,50036-2818,http://www.boonevalleybrewing.com,5154321232,2018-07-24 01:33:23.478205,2018-08-24 00:33:50.095616,United States,-93.8809626530612,42.062643,
bent-river-brewing-co,Bent River Brewing Co,brewpub,500 Jefferson St,Burlington,Iowa,52601,http://www.burlingtonbentriver.com,3192092773,2018-07-24 01:33:23.418705,2018-08-24 00:33:47.217358,United States,-91.1052085,40.8106128,
parkside-brewing-company,Parkside Brewing Company,brewpub,2601 Madison Ave,Burlington,Iowa,52601-6622,http://www.parksidebrewing.com,3192092739,2018-07-24 01:33:24.231782,2018-08-24 00:38:07.484881,United States,-91.10791750082,40.7790539068929,
pivo-brewery,PIVO Brewery,micro,101 Huber Dr,Calmar,Iowa,52132,http://www.pivoblepta.com,5635621053,2018-07-24 01:33:24.258214,2018-08-11 21:37:24.657385,United States,,,
backroad-brewery,BackRoad Brewery,micro,90 School St,Carlisle,Iowa,50047,http://www.backroadbeer.com,5152102096,2018-07-24 01:33:23.392487,2018-08-24 00:33:46.19053,United States,-93.4853176666667,41.498501,
carroll-brewing-co,Carroll Brewing Co.,micro,226 E 5th St,Carroll,Iowa,51401-2743,http://www.carrollbrewing.com,5157090030,2018-07-24 01:33:23.514637,2018-08-24 00:33:52.0455,United States,-94.8653400750047,42.0638586825848,
second-state-brewing-company,Second State Brewing Company,micro,203 State St,Cedar Falls,Iowa,50613-3360,,3192400692,2018-07-24 01:33:24.348877,2018-08-24 00:38:12.387035,United States,-92.4442681020408,42.536744244898,
lion-bridge-brewing-company,Lion Bridge Brewing Company,brewpub,59 16th Ave SW,Cedar Rapids,Iowa,52404-5948,http://www.lionbridgebrewing.com,3192004460,2018-07-24 01:33:24.007407,2018-08-24 00:38:02.185034,United States,-91.66095280967,41.9647894789684,
quarter-barrel-arcade,Quarter Barrel Arcade,brewpub,616 2nd Ave SE,Cedar Rapids,Iowa,52401-1306,http://www.thequarterbarrel.com,3196211836,2018-07-24 01:33:24.283892,2018-08-24 00:38:09.776206,United States,-91.6631809387755,41.9806253265306,
clock-house-brewing,Clock House Brewing,micro,600 1st St SE,Cedar Rapids,Iowa,52401,http://www.clockhousebrewing.com,3192004099,2018-07-24 01:33:23.543583,2018-08-24 00:33:53.37047,United States,-91.665354,41.973813,
granite-city-food-and-brewery-#5,Granite City Food & Brewery (#5),brewpub,4755 1st Ave SE,Cedar Rapids,Iowa,52402-3211,http://www.gcfb.net,3193957500,2018-07-24 01:33:23.821119,2018-08-11 21:37:23.822291,United States,,,
iowa-brewing,Iowa Brewing,micro,708 3rd St SE,Cedar Rapids,Iowa,52401-2012,http://www.iowabrewing.beer,3193662337,2018-07-24 01:33:23.886051,2018-08-24 00:37:57.896985,United States,-91.6621246326531,41.9742173877551,
thew-brewing-company,Thew Brewing Company,micro,301 2nd Ave,Cedar Rapids,Iowa,52404,http://www.thewbrew.com,3193438439,2018-07-24 01:33:24.413355,2018-08-24 00:38:14.456187,United States,-91.67294,42.035746,
third-base-brewery,Third Base Brewery,brewpub,500 Blairs Ferry Rd NE Ste 2,Cedar Rapids,Iowa,52402-1466,http://www.Thirdbasebrew.com,3193789090,2018-07-24 01:33:24.426509,2018-08-11 21:37:25.023735,United States,,,
timbukbru,Timbukbru,micro,215 6th St SW,Clarion,Iowa,50525,http://www.timbukbru.com,5155320015,2018-07-24 01:33:24.439388,2018-08-24 00:38:15.511445,United States,-93.740532,42.731535,
lake-time-brewery,Lake Time Brewery,micro,801 Main Ave Ste C,Clear Lake,Iowa,50428-1919,http://www.laketimebrewery.com,6413572040,2018-07-24 01:33:23.964833,2018-08-11 21:37:24.167234,United States,,,
515-brewing-co,515 Brewing Co,micro,7700 University Ave,Clive,Iowa,50325-1271,http://www.515brewing.com,5156614615,2018-07-24 01:33:23.330244,2018-08-24 00:33:43.585221,United States,-93.7228408,41.599992,
granite-city-food-and-brewery-#4,Granite City Food & Brewery (#4),brewpub,12801 University Ave,Clive,Iowa,50325-8219,http://www.gcfb.net,5152241300,2018-07-24 01:33:23.807394,2018-08-24 00:37:55.618086,United States,-93.795293,41.600494,
backpocket-brewing-co,Backpocket Brewing Co,micro,903 Quarry Rd,Coralville,Iowa,52241-2208,http://www.backpocketbrewing.com,3194493700,2018-07-24 01:33:23.380021,2018-08-24 00:33:45.669162,United States,-91.5598133684211,41.6813948421053,
boot-n-flute-brewery-/-guild-wurst-tavern,Boot N Flute Brewery / Guild Wurst Tavern,brewpub,53 2nd St,Coralville,Iowa,52241,http://www.guildwursttavern.com,3193331740,2018-07-24 01:33:23.490032,2018-08-24 00:33:50.720774,United States,-91.5627174423354,41.6678846837987,
reunion-brewery,ReUnion Brewery,brewpub,516 2nd St,Coralville,Iowa,52241-2614,http://www.reunionbrewery.com,3193373000,2018-07-24 01:33:24.310361,2018-08-24 00:38:10.77472,United States,-91.5749860709225,41.6717143146739,
front-street-brewery-ia,Front Street Brewery - IA,brewpub,208 E River Dr,Davenport,Iowa,52801-1609,http://www.frontstreetbrew.com,5633221569,2018-07-24 01:33:23.79438,2018-08-24 00:37:55.114576,United States,-90.572491,41.520329,
granite-city-food-and-brewery-#6,Granite City Food & Brewery (#6),brewpub,5270 Utica Ridge Rd,Davenport,Iowa,52807-3872,http://www.gcfb.net,5633449700,2018-07-24 01:33:23.834497,2018-08-24 00:37:56.492258,United States,-90.5135797543194,41.5745721094442,
great-river-brewery,Great River Brewery,micro,332 E 2nd St,Davenport,Iowa,52801-1702,http://www.greatriverbrewery.com,3195415160,2018-07-24 01:33:23.859903,2018-08-24 00:37:57.397744,United States,-90.5706393674667,41.5213880458938,
pulpit-rock-brewing-co,Pulpit Rock Brewing Co.,micro,207 College Dr,Decorah,Iowa,52101-1304,http://www.pulpitrockbrewing.net,5633803610,2018-07-24 01:33:24.271118,2018-08-24 00:38:09.224263,United States,-91.7962545003461,43.3065402420925,
toppling-goliath-brewing-co,Toppling Goliath Brewing Co,micro,1600 Prosperity Rd,Decorah,Iowa,52101,http://www.tgbrews.com,5633826198,2018-07-24 01:33:24.452649,2018-08-24 00:38:15.99046,United States,-91.7250841,43.2727293,
confluence-brewing-co,Confluence Brewing Co,micro,1235 Thomas Beck Rd Ste A,Des Moines,Iowa,50315-1055,http://www.confluencebrewing.com,5152859005,2018-07-24 01:33:23.55632,2018-08-11 21:37:23.225904,United States,,,
court-avenue-brewing-co,Court Avenue Brewing Co,brewpub,309 Court Ave Ste 100,Des Moines,Iowa,50309-2230,http://www.courtavebrew.com,5152822739,2018-07-24 01:33:23.581385,2018-08-11 21:37:23.294961,United States,,,
flix-brewhouse,Flix Brewhouse,brewpub,3800 Merle Hay Rd,Des Moines,Iowa,50310-1305,,5122442739,2018-07-24 01:33:23.750857,2018-08-24 00:37:53.597737,United States,-93.6997831,41.6306427,
madhouse-brewing-co,Madhouse Brewing Co,micro,501 Scott Ave,Des Moines,Iowa,50309-5047,http://www.madhousebeer.com,9165017014,2018-07-24 01:33:24.035031,2018-08-24 00:38:03.135665,United States,-93.6076690652753,41.58113315,
exile-brewing,Exile Brewing,micro,1514 Walnut St,Des Moines,Iowa,50309-3420,http://www.exilebrewing.com,5158832337,2018-07-24 01:33:23.668831,2018-08-24 00:37:50.711454,United States,-93.6370215944771,41.5830167,
7-hills-brewing-company,7 Hills Brewing Company,brewpub,1085 Washington St,Dubuque,Iowa,52001-4932,http://www.7hillsbrew.com,5635878306,2018-07-24 01:33:23.342382,2018-08-24 00:33:44.096581,United States,-90.6635263,42.5045556,
catfish-charlies-/-catfish-creek-brew-pub,Catfish Charlies / Catfish Creek Brew Pub,brewpub,1630 E 16th St,Dubuque,Iowa,52001-2306,http://www.catfishcharliesdubuque.com,5635828600,2018-07-24 01:33:23.526898,2018-08-24 00:33:52.70743,United States,-90.6537288580055,42.5122589787176,
dimensional-brewing-co,Dimensional Brewing Co.,planning,,Dubuque,Iowa,52001,http://www.dimensionalbrewing.com,,2018-07-24 01:33:23.632073,2018-08-11 21:37:23.415618,United States,,,
jubeck-new-world-brewing,Jubeck New World Brewing,micro,115 W 11th St,Dubuque,Iowa,52001-4802,http://www.jubeckbrewing.com,7753755692,2018-07-24 01:33:23.923072,2018-08-24 00:37:59.334464,United States,-90.6677040399112,42.5036239260055,
debs-brewtopia,Deb's Brewtopia,micro,106 Cedar St,Elkader,Iowa,52043,http://www.debsbrewtopia.com,5632453737,2018-07-24 01:33:23.606936,2018-08-24 00:33:56.5006,United States,-91.4060835272074,42.8548668119706,
granite-city-food-and-wort-house,Granite City Food & Wort House,micro,1722 Detroit St,Ellsworth,Iowa,50075,http://www.gcfb.net,5158364060,2018-07-24 01:33:23.847099,2018-08-24 00:37:56.936021,United States,-93.5747379776529,42.3133091901518,
shiny-top-brewing,Shiny Top Brewing,micro,520 Central Ave,Fort Dodge,Iowa,50501-3810,http://www.shinytopbrewing.com,5153028055,2018-07-24 01:33:24.361879,2018-08-24 00:38:12.927955,United States,-94.1905789591837,42.5047420408163,
lost-duck-brewing-co,Lost Duck Brewing Co.,brewpub,723 Avenue H # 725,Fort Madison,Iowa,52627-2935,http://www.duckbrewing.com,3193728255,2018-07-24 01:33:24.020412,2018-08-24 00:38:02.675163,United States,-91.3102600901203,40.6300701726018,
keg-creek-brewing-company,Keg Creek Brewing Company,micro,111 Sharp St,Glenwood,Iowa,51534-1755,http://www.kegcreekbrewing.com,7125209029,2018-07-24 01:33:23.950875,2018-08-24 00:38:00.245242,United States,-95.7356912,41.0473453,
