id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
beaver-brewery-at-mos-place,Beaver Brewery At Mo's Place,brewpub,1908 Elm St,Beaver,Kansas,67525-9231,http://www.mosbrewpub.com,6205872350,2018-07-24 01:33:24.592912,2018-08-24 00:38:21.182243,United States,-98.667933,38.639049,
brewery-in-planning-burlington,Brewery in Planning - Burlington,planning,,Burlington,Kansas,66839-9200,,7856332062,2018-07-24 01:33:24.66175,2018-08-11 21:37:25.593668,United States,,,
hank-is-wiser-brewery,Hank Is Wiser Brewery,brewpub,213 N Main St,Cheney,Kansas,67025-9730,http://www.hankiswiserbrewery.com,3165420113,2018-07-24 01:33:24.810649,2018-08-24 00:38:27.844296,United States,-97.7812688979592,37.628209244898,
dodge-city-brewing,Dodge City Brewing,brewpub,701 3rd Ave,Dodge City,Kansas,67801-4336,http://www.dodgecitybrewing.com,6203713999,2018-07-24 01:33:24.710305,2018-08-24 00:38:24.216815,United States,-100.020307,37.754632,
walnut-river-brewing-company,Walnut River Brewing Company,micro,111 W Locust Ave,El Dorado,Kansas,67042-3513,http://www.walnutriverbrewing.com,3163518086,2018-07-24 01:33:25.13327,2018-08-24 00:38:36.53539,United States,-96.8500486938776,37.8136754897959,
radius-brewing-company,Radius Brewing Company,micro,610 Merchant St,Emporia,Kansas,66801-2859,http://radiusbrewing@yahoo.com,6202084677,2018-07-24 01:33:24.954265,2018-08-24 00:38:32.80248,United States,-96.1813070612245,38.4052199591837,
the-boiler-room-brewhaus-llc,The Boiler Room Brewhaus LLC,micro,10 S National Ave,Fort Scott,Kansas,66701-1311,http://www.Boileroombrewhaus.com,6202232702,2018-07-24 01:33:25.059113,2018-08-24 00:38:35.137894,United States,-94.70741825,37.8410384166667,
defiance-brewing-co,Defiance Brewing Co.,micro,2050 E US Highway 40,Hays,Kansas,67601-9310,http://www.defiancebeer.com,7853012337,2018-07-24 01:33:24.698466,2018-08-11 21:37:25.682865,United States,,,
gellas-diner-and-liquid-bread-brewing-co,Gella's Diner & Liquid Bread Brewing Co,brewpub,117 E 11th St,Hays,Kansas,67601-3603,http://www.lbbrewing.com,7856212739,2018-07-24 01:33:24.761373,2018-08-24 00:38:25.819507,United States,-99.3290903265306,38.8717449183673,
willcott-brewing-company,Willcott Brewing Company,planning,,Holton,Kansas,66436-1703,http://www.willcottbrewing.com,7853381611,2018-07-24 01:33:25.199106,2018-08-11 21:37:26.818241,United States,,,
union-works-brewery-llc,Union Works Brewery LLC,planning,,Humboldt,Kansas,66748-1050,,,2018-07-24 01:33:25.121622,2018-08-11 21:37:26.668891,United States,,,
salt-city-brewing,Salt City Brewing,micro,514 N Main Street,Hutchinson,Kansas,67501,,6209606210,2018-07-24 01:33:24.989617,2018-08-24 00:38:33.791146,United States,-97.9317530573845,38.0586914288921,
granite-city-food-and-brewery-#12,Granite City Food & Brewery (#12),brewpub,1701 Village West Pkwy,Kansas City,Kansas,66111-1879,http://www.gcfb.net,9133342255,2018-07-24 01:33:24.773672,2018-08-24 00:38:26.318717,United States,-94.8239539,39.1233376,
free-state-brewing-co,Free State Brewing Co,brewpub,636 Massachusetts St,Lawrence,Kansas,66044-2236,http://www.freestatebrewing.com,7858434555,2018-07-24 01:33:24.734412,2018-08-24 00:38:24.761939,United States,-95.2358091579129,38.9724346875125,
23rd-street-brewery,23rd Street Brewery,brewpub,3512 Clinton Pkwy,Lawrence,Kansas,66047-2145,http://www.brew23.com,7858562337,2018-07-24 01:33:24.550504,2018-08-24 00:38:19.427771,United States,-95.280933528393,38.9429674,
free-state-brewing-co-production,Free State Brewing Co - Production,micro,1923 Moodie Rd,Lawrence,Kansas,66046-3167,,,2018-07-24 01:33:24.746131,2018-08-24 00:38:25.293846,United States,-95.2258626448196,38.9496728381604,
lawrence-beer-company,Lawrence Beer Company,brewpub,826 Pennsylvania St,Lawrence,Kansas,66044-2754,http://www.lawrencebeerco.com,7858560453,2018-07-24 01:33:24.875615,2018-08-24 00:38:30.436497,United States,-95.2285539,38.9683511,
yankee-tank-brewing-company,Yankee Tank Brewing Company,micro,807 E 23rd St Ste J,Lawrence,Kansas,66046-4952,http://yankeetankbrewing.com,7852339333,2018-07-24 01:33:25.212761,2018-08-11 21:37:26.852105,United States,,,
grinderas-high-noon-brewery,Grinderâs High Noon Brewery,brewpub,206 Choctaw St,Leavenworth,Kansas,66048-2821,http://info@grindershighnoon.com,9136511000,2018-07-24 01:33:24.798626,2018-08-24 00:38:27.354499,United States,-94.9105246530612,39.3168365102041,
limitless-brewing,Limitless Brewing,planning,,Lenexa,Kansas,66215-1260,http://www.limitlessbrewing.com,,2018-07-24 01:33:24.90133,2018-08-11 21:37:26.179834,United States,,,
little-apple-brewing-co,Little Apple Brewing Co,micro,1110 Westloop Pl,Manhattan,Kansas,66502-2838,http://www.littleapplebrewery.com,7855395500,2018-07-24 01:33:24.9147,2018-08-24 00:38:31.349637,United States,-96.6083689,39.1915231,
tallgrass-brewing-co,Tallgrass Brewing Co,regional,5960 Dry Hop Cir,Manhattan,Kansas,66503-9815,http://www.tallgrassbeer.com,7855371131,2018-07-24 01:33:25.03339,2018-08-24 00:38:34.213544,United States,-96.6792762,39.1428736,
tallgrass-taphouse-co,Tallgrass Taphouse Co,brewpub,320 Poyntz Ave,Manhattan,Kansas,66502-6038,http://www.tallgrasstaphouse.com,7853202933,2018-07-24 01:33:25.046852,2018-08-24 00:38:34.656841,United States,-96.561291,39.1795046,
three-rings-brewery,Three Rings Brewery,micro,536 South Old Highway 81,McPherson,Kansas,67401-6026,,6205045022,2018-07-24 01:33:25.097525,2018-08-11 21:37:26.599147,United States,,,
fields-and-ivy-brewery,Fields & Ivy Brewery,planning,,Olathe,Kansas,66061-7464,,9136710349,2018-07-24 01:33:24.721968,2018-08-11 21:37:25.745242,United States,,,
kansas-city-breweries-company,Kansas City Breweries Company,proprietor,12650 S Pflumm Rd Ste 202,Olathe,Kansas,66062-3895,http://www.KCLite.com,8163016313,2018-07-24 01:33:24.849083,2018-08-11 21:37:26.054772,United States,,,
granite-city-food-and-brewery-#13,Granite City Food & Brewery (#13),brewpub,15085 W 119th St,Olathe,Kansas,66062-9628,http://www.gcfb.net,9138296060,2018-07-24 01:33:24.785828,2018-08-24 00:38:26.822341,United States,-94.7599529591056,38.9126838867867,
red-crow-brewing-company,Red Crow Brewing Company,micro,,Olathe,Kansas,66062,http://www.redcrowbrew.com,9132473641,2018-07-24 01:33:24.966206,2018-08-11 21:37:26.364433,United States,,,
brew-lab,Brew Lab,brewpub,7925 Marty St,Overland Park,Kansas,66204-3727,http://www.brewlabkc.com,9134002343,2018-07-24 01:33:24.649931,2018-08-24 00:38:22.692578,United States,-94.6699392655762,38.9856874847753,
the-jolly-fox-brewery,The Jolly Fox Brewery,planning,,Pittsburg,Kansas,66762,http://Www.thejollyfoxbrrewery.com,,2018-07-24 01:33:25.070567,2018-08-11 21:37:26.54036,United States,,,
center-pivot,Center Pivot,planning,,Quinter,Kansas,67752,,7857548344,2018-07-24 01:33:24.673361,2018-08-11 21:37:25.625033,United States,,,
blue-skye-brewery,Blue Skye Brewery,brewpub,116 N Santa Fe Ave,Salina,Kansas,67401-2614,http://blueskyebrewery.com,7854521234,2018-07-24 01:33:24.637584,2018-08-24 00:38:22.138615,United States,-97.608998,38.8410029597126,
transport-brewery,Transport Brewery,planning,,Shawnee,Kansas,66203-2749,http://www.transportbrewery.com,,2018-07-24 01:33:25.109708,2018-08-11 21:37:26.638848,United States,,,
norsemen-brewing-co,Norsemen Brewing Co.,micro,830 N Kansas Ave,Topeka,Kansas,66608-1211,http://www.norsemenbrewingco.com,7856085065,2018-07-24 01:33:24.928953,2018-08-24 00:38:31.829744,United States,-95.6663741987798,39.06706165,
blind-tiger-brewery-and-restaurant,Blind Tiger Brewery & Restaurant,brewpub,417 SW 37th St,Topeka,Kansas,66611-2354,http://www.blindtiger.com,7852672739,2018-07-24 01:33:24.624657,2018-08-24 00:38:21.655616,United States,-95.6846745,39.0002602,
happy-basset-brewing-company,Happy Basset Brewing Company,micro,6044 SW 29th St,Topeka,Kansas,66614-4268,http://www.happybassetbrewingco.com,7857833688,2018-07-24 01:33:24.823959,2018-08-24 00:38:28.366484,United States,-95.7637047017646,39.0146636085526,
kansas-territory-brewing,Kansas Territory Brewing,micro,310 C St,Washington,Kansas,66968-1909,,7853253300,2018-07-24 01:33:24.862188,2018-08-24 00:38:29.982624,United States,-97.0511837959184,39.8165541836735,
limestone-beer-co,Limestone Beer Co,brewpub,707 N Waco Ave Ste 105,Wichita,Kansas,67203-3944,http://www.limestonebeerco.com,3167296200,2018-07-24 01:33:24.888258,2018-08-11 21:37:26.148408,United States,,,
aero-plains-brewing,Aero Plains Brewing,micro,117 N Handley St,Wichita,Kansas,67203-6114,http://www.aeroplainsbrewing.com,3164482811,2018-07-24 01:33:24.566785,2018-08-24 00:38:19.927732,United States,-97.3507113076923,37.6845505384615,
