id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
alexandria-brewing-company,Alexandria Brewing Company,micro,7926 Alexandria Pike Ste 1,Alexandria,Kentucky,41001-1454,http://www.alexandriabrewingcompany.com,8596946999,2018-07-24 01:33:25.312109,2018-08-11 21:37:27.116474,United States,,,
uncrafted-territory-brewing-company,Uncrafted Territory Brewing Company,planning,,Beaver Dam,Kentucky,42320-1915,,2707753131,2018-07-24 01:33:25.966487,2018-08-11 21:37:28.524106,United States,,,
braxton-labs,Braxton Labs,micro,95 Riviera Dr,Bellevue,Kentucky,41073-1337,,859615600,2018-07-24 01:33:25.417805,2018-08-24 00:38:45.970222,United States,-84.4872671044111,39.100609405334,
darkness-brewing,Darkness Brewing,micro,224 Fairfield Ave,Bellevue,Kentucky,41073-1041,,,2018-07-24 01:33:25.497194,2018-08-24 00:38:48.792256,United States,-84.4846807248532,39.1050099056733,
white-squirrel-brewery,White Squirrel Brewery,brewpub,871 Broadway Ave,Bowling Green,Kentucky,42101-2571,http://www.whitesquirrelbrewery.com,2709041573,2018-07-24 01:33:26.0091,2018-08-24 00:39:07.772862,United States,-86.4407388,36.9844713,
st-arnulf-alery,St Arnulf Alery,micro,3152 Kings Chapel Rd,Cadiz,Kentucky,42211-0000,,5023094703,2018-07-24 01:33:25.914105,2018-08-11 21:37:28.413644,United States,,,
braxton-brewing-company,Braxton Brewing Company,micro,27 W 7th St,Covington,Kentucky,41011-2301,http://www.braxtonbrewing.com,859615600,2018-07-24 01:33:25.40458,2018-08-24 00:38:45.411924,United States,-84.510807612036,39.08292505,
maiden-city-brewing-company-llc,"Maiden City Brewing Company, LLC",micro,123 E Pike St,Cynthiana,Kentucky,41031-1527,http://www.maidencitybrewing.com,8599545151,2018-07-24 01:33:25.769774,2018-08-24 00:38:59.598462,United States,-84.288072,38.388396,
beer-engine,Beer Engine,micro,107 Larrimore Ln,Danville,Kentucky,40422-1674,http://www.kybeerengine.com,5024035680,2018-07-24 01:33:25.348699,2018-08-24 00:38:43.030053,United States,-84.771328,37.6481,
flywheel-brewing-company,Flywheel Brewing Company,micro,218 S Mulberry St Ste 103,Elizabethtown,Kentucky,42701-1431,http://www.flywheelbrewing.com,,2018-07-24 01:33:25.584926,2018-08-11 21:37:27.739846,United States,,,
mash-cult-brewing,Mash Cult Brewing,micro,6823 Burlington Pike,Florence,Kentucky,41042-1616,,8593714466,2018-07-24 01:33:25.782594,2018-08-24 00:39:00.115414,United States,-84.6436665,39.0008541,
country-boy-brewing-georgetown,Country Boy Brewing - Georgetown,micro,108 Corporate Dr,Georgetown,Kentucky,40324-0000,,8595882118,2018-07-24 01:33:25.470721,2018-08-11 21:37:27.494935,United States,,,
lemons-mill-brewery,Lemons Mill Brewery,micro,166 Marimon Ave,Harrodsburg,Kentucky,40330-1311,http://www.lemonsmillbrewery.com,8592650872,2018-07-24 01:33:25.743372,2018-08-24 00:38:58.486049,United States,-84.8386262396979,37.7608082035243,
henderson-brewing-company,Henderson Brewing Company,planning,,Henderson,Kentucky,42420-3226,,2702004314,2018-07-24 01:33:25.667377,2018-08-11 21:37:27.922995,United States,,,
hopkinsville-brewing-company,Hopkinsville Brewing Company,micro,102 E 5th St,Hopkinsville,Kentucky,42240-3306,http://www.hopkinsvillebrewingcompany.com,2703483927,2018-07-24 01:33:25.718018,2018-08-24 00:38:57.5149,United States,-87.487357448585,36.8674943639151,
rock-house-brewing,Rock House Brewing,micro,119 Luigart Ct,Lexington,Kentucky,40508-1686,http://www.rockhousebrewing.com,8593687064,2018-07-24 01:33:25.882008,2018-08-24 00:39:03.899837,United States,-84.4822984081633,38.0565233673469,
alltechs-lexington-brewing,Alltech's Lexington Brewing,regional,475 Angliana Ave,Lexington,Kentucky,40508-3134,http://www.Kentuckyale.com,8592552337,2018-07-24 01:33:25.324585,2018-08-24 00:38:42.052227,United States,-84.5159964457831,38.0495065060241,
country-boy-brewing,Country Boy Brewing,micro,436 Chair Ave,Lexington,Kentucky,40508-3106,http://www.countryboybrewing.com,,2018-07-24 01:33:25.457148,2018-08-24 00:38:47.168088,United States,-84.5092526703915,38.0439487,
ethereal-brewing,Ethereal Brewing,micro,1224 Manchester St,Lexington,Kentucky,40504-1129,http://www.etherealbrew.com,8593091254,2018-07-24 01:33:25.556511,2018-08-24 00:38:50.958895,United States,-84.5200035,38.056562,
west-sixth-brewing-co,West Sixth Brewing Co,micro,501 W Sixth St,Lexington,Kentucky,40508-1341,http://www.westsixth.com,8597050915,2018-07-24 01:33:25.979577,2018-08-11 21:37:28.551186,United States,,,
life-brewpub,Life Brewpub,brewpub,2628 Richmond Rd,Lexington,Kentucky,40509-1501,http://www.LifeBrewpub.com,8592665433,2018-07-24 01:33:25.756802,2018-08-24 00:38:59.049304,United States,-84.43443,37.991255,
mirror-twin-brewing,Mirror Twin Brewing,brewpub,725 National Ave,Lexington,Kentucky,40502-1431,http://www.mirrortwinbrewing.com,8594478146,2018-07-24 01:33:25.811708,2018-08-24 00:39:01.393309,United States,-84.4784656,38.04042235,
pivot-brewing-company,Pivot Brewing Company,micro,1400 Delaware Ave,Lexington,Kentucky,40505,http://www.pivotbrewingcompany.com,8592856778,2018-07-24 01:33:25.868143,2018-08-24 00:39:03.450218,United States,-84.470627,38.038574,
town-branch-distillery,Town Branch Distillery,micro,401 Cross St,Lexington,Kentucky,40508,,8592552337,2018-07-24 01:33:25.953328,2018-08-24 00:39:06.289547,United States,-84.508892125,38.0499736875,
west-sixth-greenroom,West Sixth Greenroom,micro,109 W Main St,Lexington,Kentucky,40507,,8597050915,2018-07-24 01:33:25.992073,2018-08-24 00:39:07.322712,United States,-84.4971282380952,38.0465831428571,
blue-stallion-brewing-company,Blue Stallion Brewing Company,micro,610 W Third St,Lexington,Kentucky,40508-1243,http://www.bluestallionbrewing.com,8596088490,2018-07-24 01:33:25.379512,2018-08-24 00:38:44.183936,United States,-84.5013623362983,38.05710985,
chase-brewing-company-/-chase-tap-room,Chase Brewing Company / Chase Tap Room,brewpub,266 Jefferson St,Lexington,Kentucky,40508-1217,http://www.chasebrewing.com,8597973113,2018-07-24 01:33:25.444401,2018-08-24 00:38:46.63002,United States,-84.4986682,38.0546834,
bluegrass-brewing-co-brewpub,Bluegrass Brewing Co - Brewpub,brewpub,300 W Main St,Louisville,Kentucky,40202-2945,http://www.bbcbrew.com,5028997070,2018-07-24 01:33:25.391842,2018-08-24 00:38:44.908946,United States,-85.7550889765356,38.25620645,
gordon-biersch-brewery-restaurant-louisville,Gordon Biersch Brewery Restaurant - Louisville,brewpub,400 S 4th St,Louisville,Kentucky,40202-3418,http://www.gordonbiersch.com/restaurant,5025898935,2018-07-24 01:33:25.614151,2018-08-24 00:38:54.096414,United States,-85.7574044,38.2528789,
sterling-beer-co,Sterling Beer Co.,contract,3214 Preston Hwy,Louisville,Kentucky,40213-1330,http://www.sterlingbeer.com,5022338485,2018-07-24 01:33:25.92714,2018-08-24 00:39:05.334381,United States,-85.7347014047845,38.2019083,
against-the-grain-beer-garden,Against the Grain Beer Garden,planning,,Louisville,Kentucky,40217,,,2018-07-24 01:33:25.261279,2018-08-11 21:37:26.972799,United States,,,
akasha-brewing-company,Akasha Brewing Company,micro,909 E Market St Ste 700,Louisville,Kentucky,40206-1688,http://www.akashabrewing.com,5027427770,2018-07-24 01:33:25.299639,2018-08-11 21:37:27.078585,United States,,,
brewery-in-planning-louisville,Brewery in Planning - Louisville,planning,,Louisville,Kentucky,40204-1913,,,2018-07-24 01:33:25.431188,2018-08-11 21:37:27.407654,United States,,,
3rd-turn-brewing,3rd Turn Brewing,micro,10408 Watterson Trl,Louisville,Kentucky,40299-3702,http://www.3rdturnbrewing.com,,2018-07-24 01:33:25.247954,2018-08-24 00:38:39.447147,United States,-85.5665607773209,38.19322725,
against-the-grain-brewery,Against the Grain Brewery,micro,401 E Main St,Louisville,Kentucky,40202-1110,http://atgbrewery.com,5025150174,2018-07-24 01:33:25.273953,2018-08-24 00:38:40.050255,United States,-85.7440377,38.2554568,
against-the-grain-production-facility,Against the Grain Production Facility,micro,1800 Northwestern Pkwy,Louisville,Kentucky,40203,,,2018-07-24 01:33:25.287216,2018-08-24 00:38:40.517936,United States,-85.7767241,38.2658758,
apocalypse-brew-works,Apocalypse Brew Works,micro,1612 Mellwood Ave,Louisville,Kentucky,40206-1752,http://www.apocalypsebrewworks.com,5025894843,2018-07-24 01:33:25.336366,2018-08-24 00:38:42.549709,United States,-85.7203144349527,38.2566442,
cumberland-brewery,Cumberland Brewery,brewpub,1576 Bardstown Rd,Louisville,Kentucky,40205-1154,,5024594706,2018-07-24 01:33:25.484258,2018-08-24 00:38:48.22506,United States,-85.7055317191127,38.23084195,
falls-city-brewing-company,Falls City Brewing Company,micro,901 E Liberty St,Louisville,Kentucky,40204,http://www.fallscitybeer.com,5022577284,2018-07-24 01:33:25.570789,2018-08-24 00:38:51.480391,United States,-85.7362561823237,38.25036895,
goodwood-brewing-co,Goodwood Brewing Co,micro,636 E Main St,Louisville,Kentucky,40202-1004,http://www.goodwood.beer,5025842739,2018-07-24 01:33:25.599573,2018-08-24 00:38:53.0763,United States,-85.7400684,38.254635,
