id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
huckleberry-brewing-company,Huckleberry Brewing Company,micro,4724 Sterkx Rd,Alexandria,Louisiana,71301,http://www.huckleberrybrewingco.com,3187046833,2018-07-24 01:33:26.365571,2018-08-24 00:39:17.276732,United States,-92.4533225718182,31.2647766567273,
chappapeela-farms-brewery,Chappapeela Farms Brewery,micro,57542 Hillcrest School Rd,Amite,Louisiana,70422-4922,http://www.chapbrewery.com,2252819474,2018-07-24 01:33:26.1896,2018-08-11 21:37:28.905489,United States,,,
bayou-teche-brewing,Bayou Teche Brewing,micro,1094 Bushville Hwy,Arnaudville,Louisiana,70512-3526,http://www.bayoutechebrewing.com,3373038117,2018-07-24 01:33:26.067693,2018-08-11 21:37:28.684822,United States,,,
brewery-in-planning-baton-rouge,Brewery In Planning - Baton Rouge,planning,,Baton Rouge,Louisiana,70808-2273,,,2018-07-24 01:33:26.096675,2018-08-11 21:37:28.737326,United States,,,
pub-craught,Pub Craught,planning,,Baton Rouge,Louisiana,70809-2228,,,2018-07-24 01:33:26.478724,2018-08-11 21:37:29.555303,United States,,,
southern-craft-brewing-company,Southern Craft Brewing Company,micro,14141 Airline Hwy Ste 4J,Baton Rouge,Louisiana,70817-6259,http://www.socraftbeer.com,2256638119,2018-07-24 01:33:26.550034,2018-08-11 21:37:29.694302,United States,,,
tin-roof-brewing-co,Tin Roof Brewing Co,micro,1624 Wyoming St,Baton Rouge,Louisiana,70802-8514,http://www.tinroofbeer.com,2253777022,2018-07-24 01:33:26.603472,2018-08-24 00:39:27.166275,United States,-91.1884332,30.419556,
flying-heart-brewing,Flying Heart Brewing,micro,700 Barksdale Blvd,Bossier City,Louisiana,71111-4502,http://www.flyingheartbrewing.com,3183448775,2018-07-24 01:33:26.26961,2018-08-24 00:39:14.456498,United States,-93.732075,32.515706,
the-seventh-tap-brewing-project,The Seventh Tap Brewing Project,planning,,Bossier City,Louisiana,71112,http://www.theseventhtap.com,3184025188,2018-07-24 01:33:26.590815,2018-08-11 21:37:29.790566,United States,,,
parish-brewing-company,Parish Brewing Company,micro,229 Jared Dr,Broussard,Louisiana,70518-4362,http://www.parishbeer.com,3373308601,2018-07-24 01:33:26.443589,2018-08-24 00:39:20.784165,United States,-91.9485237,30.1592466,
abita-brewing-co,Abita Brewing Co,regional,166 Barbee Rd,Covington,Louisiana,70433-8651,http://www.abita.com,9858933143,2018-07-24 01:33:26.053511,2018-08-11 21:37:28.656422,United States,,,
covington-brewhouse,Covington Brewhouse,micro,226 E Lockwood St,Covington,Louisiana,70433-2828,http://www.covingtonbrewhouse.com,9858932884,2018-07-24 01:33:26.202511,2018-08-24 00:39:12.000086,United States,-90.0970556956522,30.4776632608696,
folsom-brewery,Folsom Brewery,planning,,Folsom,Louisiana,70437-,,9853737631,2018-07-24 01:33:26.298673,2018-08-11 21:37:29.125002,United States,,,
le-chien-brewing-company,Le Chien Brewing Company,planning,,Greenwell Springs,Louisiana,70739,http://www.lechien.beer,,2018-07-24 01:33:26.379178,2018-08-11 21:37:29.296245,United States,,,
gnarly-barley-brewing,Gnarly Barley Brewing,micro,1709 Corbin Rd,Hammond,Louisiana,70403-3719,http://www.gnarlybeer.com,9853180723,2018-07-24 01:33:26.313098,2018-08-24 00:39:15.461758,United States,-90.4791200741064,30.49701825,
spigots-brew-pub,Spigots Brew Pub,brewpub,622 Barrow St,Houma,Louisiana,70360-4608,http://www.spigotsbrewpub.com,9853333103,2018-07-24 01:33:26.563716,2018-08-24 00:39:26.266657,United States,-90.7197456530612,29.5939655102041,
sawbriar-brewery,Sawbriar Brewery,planning,,Lafayette,Louisiana,70501,http://www.sawbriarbrewery.com,3373403308,2018-07-24 01:33:26.525852,2018-08-11 21:37:29.637841,United States,,,
