id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
airline-brewing-company,Airline Brewing Company,micro,22 Mill Ln,Amherst,Maine,04428,http://www.abcmaine.beer,2075842337,2018-07-24 01:33:26.681364,2018-08-24 00:39:29.447538,United States,-68.3677435,44.8329462,
lost-valley-brewing-co,Lost Valley Brewing Co,micro,200 Lost Valley Rd,Auburn,Maine,04210,,,2018-07-24 01:33:27.434389,2018-08-24 00:39:54.884057,United States,-70.280399,44.130958,
gritty-mcduffs-lewiston/auburn,Gritty McDuffs - Lewiston/Auburn,brewpub,68 Main St,Auburn,Maine,04210-5812,,2073762739,2018-07-24 01:33:27.25184,2018-08-24 00:39:48.311665,United States,-70.2244866515385,44.0971728,
side-by-each-brewing-co,Side By Each Brewing Co,planning,,Auburn,Maine,04210-3739,,2073479920,2018-07-24 01:33:28.035343,2018-08-11 21:37:34.14074,United States,,,
cushnoc-brewing-company,Cushnoc Brewing Company,brewpub,243 Water St,Augusta,Maine,04330-4615,http://www.cushnocbrewing.com,2072136332,2018-07-24 01:33:26.980655,2018-08-24 00:39:38.726842,United States,-69.7734423233329,44.3166434906408,
bangor-beer-co,Bangor Beer Co.,brewpub,330 Bangor Mall Blvd,Bangor,Maine,04401-3644,http://www.bangorbeerco.com,2079476605,2018-07-24 01:33:26.79752,2018-08-11 21:37:30.506629,United States,,,
2-feet-brewing-company,2 Feet Brewing Company,brewpub,80 Columbia St,Bangor,Maine,04401-6319,http://www.2feetbrewing.com,2075731979,2018-07-24 01:33:26.6676,2018-08-24 00:39:29.017962,United States,-68.7728309911078,44.8001268407908,
geaghans-pub-and-craft-brewery,Geaghan's Pub & Craft Brewery,brewpub,570 Main St,Bangor,Maine,04401-6821,http://www.geaghanspub.com,2079453730,2018-07-24 01:33:27.180176,2018-08-24 00:39:46.086423,United States,-68.777503,44.7867295,
orono-brewing-bangor-draught-room,Orono Brewing Bangor Draught Room,micro,26 State St,Bangor,Maine,04401,,,2018-07-24 01:33:27.703555,2018-08-24 00:40:03.064707,United States,-68.7428115,44.8115948265306,
sea-dog-brewing-co-bangor,Sea Dog Brewing Co - Bangor,brewpub,26 Front St,Bangor,Maine,04401-6418,http://www.seadogbrewing.com,2079478009,2018-07-24 01:33:27.924182,2018-08-24 00:40:09.075831,United States,-68.770233,44.7966948,
atlantic-brewing-co,Atlantic Brewing Co,micro,15 Knox Rd,Bar Harbor,Maine,04609-7770,http://atlanticbrewing.com,2072882337,2018-07-24 01:33:26.720517,2018-08-11 21:37:30.310463,United States,,,
atlantic-brewing-co-/-bar-harbor-brewing,Atlantic Brewing Co / Bar Harbor Brewing,brewpub,52 Cottage Street Bar Harbor,Bar Harbor,Maine,04609,http://www.barharborbrewing.com,2072884592,2018-07-24 01:33:26.734138,2018-08-24 00:39:31.014808,United States,-68.20607075,44.389488,
jack-russells-steakhouse-and-brewery-/-maine-coast-brewing-co,Jack Russell's Steakhouse and Brewery / Maine Coast Brewing Co.,brewpub,102 Eden St,Bar Harbor,Maine,04609-1106,http://www.jackrussellssteakhouse.com,2072885214,2018-07-24 01:33:27.332152,2018-08-24 00:39:51.187383,United States,-68.2231868,44.3946497,
bath-brewing-company,Bath Brewing Company,brewpub,141 Front St,Bath,Maine,04530,http://www.bathbrewing.com,2075603389,2018-07-24 01:33:26.823154,2018-08-24 00:39:33.620094,United States,-69.8141459329791,43.9140854135672,
belfast-bay-brewing-co,Belfast Bay Brewing Co,contract,100 Searsport Ave,Belfast,Maine,04915-7221,http://www.belfastbaybrewing.com,2074608654,2018-07-24 01:33:26.882351,2018-08-24 00:39:35.918614,United States,-68.9880177,44.4309432,
marshall-wharf-brewing-co,Marshall Wharf Brewing Co,micro,40 Marshall Wharf,Belfast,Maine,04915-6835,http://www.marshallwharf.com,2073381707,2018-07-24 01:33:27.521031,2018-08-11 21:37:32.981492,United States,,,
sunday-river-brewing-company,Sunday River Brewing Company,brewpub,29 Sunday River Rd,Bethel,Maine,04217-4623,http://www.sundayriverbrewingcompany.com,2078244253,2018-07-24 01:33:28.100852,2018-08-24 00:40:13.252059,United States,-70.8096128,44.4483482,
banded-brewing-company,Banded Brewing Company,micro,32 Main St. Bldg 13-W Ste 102,Biddeford,Maine,04005-5145,http://www.bandedhorn.com,2076021561,2018-07-24 01:33:26.785399,2018-08-11 21:37:30.445497,United States,,,
dirigo-brewing-co,Dirigo Brewing Co.,micro,28 Pearl St,Biddeford,Maine,04005-2040,http://www.dirigobrewingcompany.com,2078385321,2018-07-24 01:33:27.032708,2018-08-24 00:39:40.600128,United States,-70.4560858434247,43.4954570369912,
nuts-and-bolts-brewing,Nuts and Bolts Brewing,micro,10 Westpoint Ln Bldg 10 Ste 204,Biddeford,Maine,04005,http://www.nutsnboltsbeer.com,2074681538,2018-07-24 01:33:27.640185,2018-08-11 21:37:33.326308,United States,,,
deepwater-brewing-company,DeepWater Brewing Company,micro,33 Tenney Hl,Blue Hill,Maine,04614,http://www.arborvine.com,2073742411,2018-07-24 01:33:27.007271,2018-08-11 21:37:31.399854,United States,,,
boothbay-craft-brewery-inc,"Boothbay Craft Brewery, Inc",micro,301 Adams Pond Rd,Boothbay,Maine,04537-4334,http://www.boothbaycraftbrewery.com,2076333411,2018-07-24 01:33:26.942054,2018-08-11 21:37:31.062897,United States,,,
masons-brewing-company,Mason's Brewing Company,micro,15 Hardy St,Brewer,Maine,04412-2207,http://www.masonsbrewingcompany.com,2079896300,2018-07-24 01:33:27.533054,2018-08-24 00:39:57.57573,United States,-68.7695709213165,44.7914659606583,
blank-canvas-brewery,Blank Canvas Brewery,micro,46 Betton St Ste 3,Brewer,Maine,04412-2636,http://www.blankcanvasbrewery.wordpress.com,,2018-07-24 01:33:26.929735,2018-08-11 21:37:31.002617,United States,,,
geaghan-brothers-brewing-co,Geaghan Brothers Brewing Co,micro,34 Abbott St,Brewer,Maine,04412-2202,http://www.geaghanspub.com,2079453730,2018-07-24 01:33:27.166298,2018-08-24 00:39:45.634504,United States,-68.7731077570875,44.7820807899116,
bear-bones-beer,Bear Bones Beer,micro,2 Cottage St Ste 1,Bridgton,Maine,04009-1137,,2076478000,2018-07-24 01:33:26.858675,2018-08-11 21:37:30.742683,United States,,,
drumming-grouse-brewery-llc,"Drumming Grouse Brewery, LLC",micro,318 Fosterville Rd,Bridgton,Maine,04009-4032,http://www.drumminggrousebrewery.com,4109609679,2018-07-24 01:33:27.044196,2018-08-24 00:39:41.064889,United States,-70.68838325,43.97416125,
flight-deck-brewing,Flight Deck Brewing,micro,11 Atlantic Dr,Brunswick,Maine,04011-4400,http://www.flightdeckbrewing.com,2075045133,2018-07-24 01:33:27.067277,2018-08-11 21:37:31.575427,United States,,,
