id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
mad-science-brewing-company,Mad Science Brewing Company,micro,1619 Buckeystown Pike,Adamstown,Maryland,21710,http://www.madsciencebrewing.com,2404098723,2018-07-24 01:33:29.253843,2018-08-11 21:37:36.738646,United States,,,
back-creek-brewing-company,Back Creek Brewing Company,planning,,Annapolis,Maryland,21401-4019,http://www.backcreekbrewing.com,4103206904,2018-07-24 01:33:28.347458,2018-08-11 21:37:34.800582,United States,,,
brewery-in-planning-arnold,Brewery In Planning - Arnold,planning,,Annapolis,Maryland,21409-5402,,,2018-07-24 01:33:28.487002,2018-08-11 21:37:35.128466,United States,,,
chesapeake-brewing-co,Chesapeake Brewing Co,brewpub,114 West St,Annapolis,Maryland,21401-2802,http://www.chesbrewco.com,4102680000,2018-07-24 01:33:28.661785,2018-08-24 00:40:24.174185,United States,-76.4974843026646,38.9780984,
gordon-biersch-brewery-restaurant-annapolis,Gordon Biersch Brewery Restaurant - Annapolis,brewpub,1906 Towne Centre Blvd Ste 155,Annapolis,Maryland,21401-3681,http://www.craftworksrestaurants.com,4102665965,2018-07-24 01:33:28.997112,2018-08-11 21:37:36.181514,United States,,,
the-brewers-art-/-old-line-brewery-llc,The Brewer's Art / Old Line Brewery LLC,brewpub,1106 N Charles St,Baltimore,Maryland,21201-5557,http://www.thebrewersart.com,,2018-07-24 01:33:29.773277,2018-08-24 00:40:52.085196,United States,-76.6146068,39.303716,
broken-gate-brewing,Broken Gate Brewing,planning,,Baltimore,Maryland,21230-4464,,3103453570,2018-07-24 01:33:28.540273,2018-08-11 21:37:35.246986,United States,,,
duclaw-brewing-co,DuClaw Brewing Co,regional,8901 Yellow Brick Rd Ste B,Baltimore,Maryland,21237-2349,http://www.duclaw.com,4435599900,2018-07-24 01:33:28.810657,2018-08-11 21:37:35.777433,United States,,,
brew-house-no-16,Brew House No 16,brewpub,831 N Calvert St,Baltimore,Maryland,21202-3705,http://www.brewhouseno16.com,4106594084,2018-07-24 01:33:28.461941,2018-08-24 00:40:20.888498,United States,-76.6127119165296,39.29963095,
checkerspot-brewing-company,Checkerspot Brewing Company,brewpub,175 W Ostend St,Baltimore,Maryland,21230,http://www.checkerspotbrewing.com,4105915527,2018-07-24 01:33:28.647199,2018-08-24 00:40:23.69505,United States,-76.6195028,39.2749156,
dempseys-brew-pub-and-restaurant-baltimore,Dempsey's Brew Pub and Restaurant - Baltimore,brewpub,333 W Camden St,Baltimore,Maryland,21201,http://www.dempseysbaltimore.com,4108437901,2018-07-24 01:33:28.769848,2018-08-24 00:40:26.525482,United States,-76.6201383333333,39.2851846666667,
gordon-biersch-brewery-restaurant-baltimore,Gordon Biersch Brewery Restaurant - Baltimore,brewpub,1000 Lancaster St Ste B,Baltimore,Maryland,21202-4631,http://www.craftworksrestaurants.com,4102309501,2018-07-24 01:33:29.012107,2018-08-11 21:37:36.209831,United States,,,
heavy-seas-beer,Heavy Seas Beer,regional,4615 Hollins Ferry Rd Ste B,Baltimore,Maryland,21227-4624,http://www.hsbeer.com,4102477822,2018-07-24 01:33:29.140022,2018-08-11 21:37:36.487608,United States,,,
mobtown-brewing-co,Mobtown Brewing Co,planning,,Baltimore,Maryland,21224-4716,,4104198312,2018-07-24 01:33:29.328377,2018-08-11 21:37:36.888887,United States,,,
monument-city-brewing-co,Monument City Brewing Co,micro,1 N Haven St Ste A,Baltimore,Maryland,21224-1614,http://www.monumentcitybrewing.com,4105993008,2018-07-24 01:33:29.356538,2018-08-11 21:37:36.944685,United States,,,
nepenthe-homebrew-and-brewery,Nepenthe Homebrew & Brewery,planning,,Baltimore,Maryland,21211-1900,http://www.nepenthehomebrew.com,4434384846,2018-07-24 01:33:29.40162,2018-08-11 21:37:37.030048,United States,,,
oliver-brewing-company,Oliver Brewing Company,micro,4216 Shannon Dr,Baltimore,Maryland,21213-2144,http://www.oliverbrewingco.com,4104833302,2018-07-24 01:33:29.447977,2018-08-24 00:40:42.045701,United States,-76.5531768042595,39.3149018,
peabody-heights-brewery,Peabody Heights Brewery,micro,401 E 30th St,Baltimore,Maryland,21218-3935,http://www.peabodyheightsbrewery.com,4104677837,2018-07-24 01:33:29.475815,2018-08-24 00:40:43.049695,United States,-76.6104150492571,39.32410525,
pratt-street-ale-house,Pratt Street Ale House,brewpub,206 W Pratt St,Baltimore,Maryland,21201-2426,http://www.oliverales.com,4102448900,2018-07-24 01:33:29.49016,2018-08-24 00:40:43.550315,United States,-76.6181543559366,39.28659055,
union-craft-brewing,Union Craft Brewing,micro,1700 Union Ave Ste D,Baltimore,Maryland,21211-1499,http://www.unioncraftbrewing.com,4106169282,2018-07-24 01:33:29.852825,2018-08-11 21:37:37.980294,United States,,,
waverly-brewing-company,Waverly Brewing Company,micro,1625-C Union Ave,Baltimore,Maryland,21211,http://www.waverlybrewingcompany.com,4434385765,2018-07-24 01:33:29.882079,2018-08-11 21:37:38.076632,United States,,,
white-marsh-brewing-co/red-brick-station,White Marsh Brewing Co/Red Brick Station,brewpub,8149 Honeygo Blvd Ste A,Baltimore,Maryland,21236-8209,http://www.redbrickstation.com,4109317827,2018-07-24 01:33:29.897594,2018-08-11 21:37:38.109928,United States,,,
stillwater-artisanal-ales,Stillwater Artisanal Ales,contract,720 S Conkling St,Baltimore,Maryland,21224-4301,,4436685255,2018-07-24 01:33:29.704265,2018-08-24 00:40:50.054821,United States,-76.5672643515205,39.28408355,
suspended-brewing-co,Suspended Brewing Co,micro,912 Washington Blvd,Baltimore,Maryland,21230-2318,http://www.suspendedbrewing.com,3016466359,2018-07-24 01:33:29.732061,2018-08-24 00:40:51.037808,United States,-76.6314892106433,39.2831169,
full-tilt-brewing,Full Tilt Brewing,contract,5604 York Road,Baltimore,Maryland,21212,http://www.fulltiltbrewing.com,,2018-07-24 01:33:28.982224,2018-08-11 21:37:36.152674,United States,,,
independent-brewing-company,Independent Brewing Company,micro,418 N Main St,Bel Air,Maryland,21014-3509,,4108368313,2018-07-24 01:33:29.19389,2018-08-24 00:40:36.374012,United States,-76.3564778438863,39.53986125,
burley-oak-craft-brewery,Burley Oak Craft Brewery,micro,10016 Old Ocean City Blvd,Berlin,Maryland,21811-1145,http://www.burleyoak.com,4104228887,2018-07-24 01:33:28.587241,2018-08-24 00:40:22.301209,United States,-75.2169864020113,38.3336448,
rock-bottom-brewery-bethesda,Rock Bottom Brewery - Bethesda,brewpub,7900 Norfolk Ave,Bethesda,Maryland,20814-2502,http://www.rockbottom.com,3016521311,2018-07-24 01:33:29.55252,2018-08-24 00:40:45.335139,United States,-77.0976716,38.9890033,
tuppers-hop-pocket-ale,Tuppers Hop Pocket Ale,contract,6404 Redwing Rd,Bethesda,Maryland,20817-5920,http://www.tuppersbeers.com,3012292027,2018-07-24 01:33:29.811655,2018-08-11 21:37:37.923966,United States,,,
brookeville-beer-farm,Brookeville Beer Farm,micro,20315 Georgia Ave,Brookeville,Maryland,20833-1711,http://www.brookevillebeerfarm.com,3012601000,2018-07-24 01:33:28.557759,2018-08-24 00:40:21.824329,United States,-77.0579247,39.1780888,
smoketown-brewing-station,Smoketown Brewing Station,micro,223 W Potomac St,Brunswick,Maryland,21716-1117,http://www.smoketownbrewing.com,3018344828,2018-07-24 01:33:29.677767,2018-08-24 00:40:49.0265,United States,-77.6302935,39.3136514,
rar-brewing,RAR Brewing,proprietor,504 Poplar St,Cambridge,Maryland,21613-1834,http://www.rarbrewing.com,4107257922,2018-07-24 01:33:29.525659,2018-08-24 00:40:44.440988,United States,-76.0774552,38.5702289,
bull-and-goat-brewery,Bull and Goat Brewery,micro,204 Banjo Ln,Centreville,Maryland,21617-1067,http://www.bullandgoatbrewery.com,,2018-07-24 01:33:28.571092,2018-08-11 21:37:35.304462,United States,,,
greenspring-brewing-company,Greenspring Brewing Company,micro,,Chesapeake Beach,Maryland,20732-4664,http://www.greenspringbrewingcompany.com,4102063918,2018-07-24 01:33:29.079469,2018-08-11 21:37:36.361542,United States,,,
black-flag-brewing-company,Black Flag Brewing Company,micro,9315 Snowden River Pkwy,Columbia,Maryland,21046-2091,http://www.blackflagbrewingco.com,4438645139,2018-07-24 01:33:28.433303,2018-08-24 00:40:19.980241,United States,-76.810364,39.192524,
hysteria-brewing-company,Hysteria Brewing Company,micro,9570 Berger Rd Ste J,Columbia,Maryland,21046-1559,http://www.hysteriabrewing.com,4103608319,2018-07-24 01:33:29.18074,2018-08-11 21:37:36.583955,United States,,,
frisco-tap-house-and-push-brewery,Frisco Tap House & Push Brewery,brewpub,6695 Dobbin Rd,Columbia,Maryland,21045-4755,http://www.friscogrille.com,4103124907,2018-07-24 01:33:28.964138,2018-08-24 00:40:32.222924,United States,-76.8252248,39.1860574,
chesepiooc-real-ale-brewery,Chesepiooc Real Ale Brewery,micro,2408 Crofton Blvd,Crofton,Maryland,21114,http://www.brewcrab.com,4106301579,2018-07-24 01:33:28.674931,2018-08-24 00:40:24.678234,United States,-76.6980466578072,39.0168716900273,
market-street-public-house,Market Street Public House,brewpub,200 Market St,Denton,Maryland,21629-1037,http://www.marketstreet.pub,4104794720,2018-07-24 01:33:29.28339,2018-08-24 00:40:38.324968,United States,-75.831804,38.886037,
true-respite-brewing-company,True Respite Brewing Company,micro,7301 Calhoun Pl Ste 600,Derwood,Maryland,20855-2740,http://www.truerespite.com,3012848447,2018-07-24 01:33:29.798203,2018-08-24 00:40:52.986648,United States,-77.152035,39.108112,
ruddy-duck-brewery-and-grill,Ruddy Duck Brewery and Grill,brewpub,13200 Dowell Rd,Dowell,Maryland,20629,http://www.ruddyduckbrewery.com,4103943825,2018-07-24 01:33:29.590997,2018-08-24 00:40:46.801651,United States,-76.45795,38.350501,
baltimore-washington-beer-works,Baltimore Washington Beer Works,contract,2500 Grays Rd,Dundalk,Maryland,21222,http://www.ravenbeer.com,4438476223,2018-07-24 01:33:28.374578,2018-08-11 21:37:34.864778,United States,,,
key-brewing-co,Key Brewing Co.,micro,2500 Grays Rd,Dundalk,Maryland,21222-5044,,,2018-07-24 01:33:29.238323,2018-08-11 21:37:36.707715,United States,,,
bird-nickel-brewing-company,Bird Nickel Brewing Company,planning,,Easton,Maryland,21601-3904,,4103106042,2018-07-24 01:33:28.418418,2018-08-11 21:37:34.949585,United States,,,
national-brewing-company,National Brewing Company,contract,28102 Baileys Neck Rd,Easton,Maryland,21601-8520,http://www.nationalpremiumbeer.com,4103103553,2018-07-24 01:33:29.388591,2018-08-11 21:37:37.004279,United States,,,
ellicott-mills-brewing-co,Ellicott Mills Brewing Co,brewpub,8308 Main St,Ellicott City,Maryland,21043-4601,http://www.ellicottmillsbrewing.com,4103138141,2018-07-24 01:33:28.856864,2018-08-24 00:40:28.994767,United States,-76.7994431375514,39.2681041,
manor-hill-brewing,Manor Hill Brewing,micro,4411 Manor Ln,Ellicott City,Maryland,21042-6111,http://www.manorhillbrewing.com,4109977771,2018-07-24 01:33:29.267804,2018-08-11 21:37:36.76425,United States,,,
