id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
10th-district-brewing-company,10th District Brewing Company,micro,491 Washington St,Abington,Massachusetts,02351-2419,http://www.10thdistrictbrewing.com,7813071554,2018-07-24 01:33:29.932861,2018-08-24 00:40:55.685575,United States,-70.9459414892185,42.1059175414395,
rapscallion-ales,Rapscallion Ales,micro,5 Strawberry Hill Rd,Acton,Massachusetts,01720-5706,http://www.drinkrapscallion.com,5083477500,2018-07-24 01:33:31.788903,2018-08-24 00:41:42.118365,United States,-71.4158546071126,42.4919605,
true-west-brewing-company,True West Brewing Company,brewpub,525 Massachusetts Ave Ste 107,Acton,Massachusetts,01720-2962,http://www.brewtruewest.com,9782061600,2018-07-24 01:33:32.206494,2018-08-11 21:37:44.175644,United States,,,
barewolf-brewing,BareWolf Brewing,micro,12 Oakland St,Amesbury,Massachusetts,01913,http://www.barewolfbrewing.com,9783906540,2018-07-24 01:33:30.142799,2018-08-24 00:41:00.813237,United States,-70.9233651776547,42.856069285464,
brewery-silvaticus,Brewery Silvaticus,brewpub,9 Water St,Amesbury,Massachusetts,01913-2936,http://www.silvaticusbeers.com,9785042337,2018-07-24 01:33:30.536976,2018-08-24 00:41:08.672545,United States,-70.9295559,42.8573815,
amherst-brewing-co-/-hangar-pub-and-grill,Amherst Brewing Co / Hangar Pub and Grill,brewpub,10 University Dr,Amherst,Massachusetts,01002-2243,http://www.amherstbrewing.com,4132534400,2018-07-24 01:33:30.049963,2018-08-24 00:40:58.846335,United States,-72.5318418,42.3728635,
high-horse-brewery-and-bistro,High Horse Brewery and Bistro,contract,24 N Pleasant St,Amherst,Massachusetts,01002-1703,http://www.highhorsebrewing.com,4132303034,2018-07-24 01:33:31.101326,2018-08-24 00:41:22.94714,United States,-72.5201343,42.376218,
oak-and-iron-brewing-co,Oak & Iron Brewing Co,brewpub,18 Red Spring Rd,Andover,Massachusetts,01810-3448,http://www.oakandironbrewing.com,9784754077,2018-07-24 01:33:31.622953,2018-08-24 00:41:37.236512,United States,-71.1478857877187,42.656149077407,
paramount-brewing-company,Paramount Brewing Company,planning,,Andover,Massachusetts,01810-5011,,6178691388,2018-07-24 01:33:31.723714,2018-08-11 21:37:43.08113,United States,,,
skyroc-brewery,Skyroc Brewery,micro,11 Riverbank Rd,Attleboro,Massachusetts,02703-,http://www.skyrocbrewery.com,7743312336,2018-07-24 01:33:31.952281,2018-08-24 00:41:46.875055,United States,-71.287889167702,41.9446296728284,
stone-cow-brewery,Stone Cow Brewery,micro,500 West St (Route 122),Barre,Massachusetts,01005,,4135526048,2018-07-24 01:33:32.087499,2018-08-11 21:37:43.893504,United States,,,
arcpoint-brewing-co,Arcpoint Brewing Co,micro,,Belchertown,Massachusetts,01007-9305,http://www.arcpointbrewco.com,5187964977,2018-07-24 01:33:30.102671,2018-08-11 21:37:38.45953,United States,,,
berkley-beer-company,Berkley Beer Company,micro,,Berkley,Massachusetts,02779-1101,http://www.berkleybeer.com,5083269954,2018-07-24 01:33:30.246262,2018-08-11 21:37:38.771821,United States,,,
gentile-brewing-company,Gentile Brewing Company,micro,59 Park St # 1,Beverly,Massachusetts,01915-4253,http://www.gentilebrewing.com,9789696496,2018-07-24 01:33:31.021788,2018-08-11 21:37:41.134639,United States,,,
