id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
gravel-bottom-craft-brewery,Gravel Bottom Craft Brewery,micro,452 Ada Dr SE,Ada,Michigan,49301,http://www.gravelbottom.com,6169207398,2018-07-24 01:33:34.569295,2018-08-24 00:43:04.313205,United States,-85.4857858,42.955144,
cotton-brewing-co,Cotton Brewing Co,brewpub,626 Oak St,Adrian,Michigan,49221-3367,http://www.cottonbrewing.com,5179026608,2018-07-24 01:33:33.80399,2018-08-24 00:42:38.568232,United States,-84.0246341818182,41.8913613636364,
burt-lake-brewery-/-seasons-of-the-north-winery,Burt Lake Brewery / Seasons of the North Winery,micro,9090 W M-68 Hwy,Alanson,Michigan,49706,http://www.burtlakebrewery.com,2315481280,2018-07-24 01:33:33.571138,2018-08-11 21:37:47.316226,United States,,,
albion-malleable-brewing-company,Albion Malleable Brewing Company,brewpub,420 S Superior St,Albion,Michigan,49224,http://www.albionmalleable.com,5173432202,2018-07-24 01:33:32.538756,2018-08-24 00:42:01.479013,United States,-84.7532755,42.2423188,
hops-bitters-and-mash,"Hops, Bitters, And Mash",planning,,Allen Park,Michigan,48101-2539,,,2018-07-24 01:33:34.897472,2018-08-11 21:37:50.888861,United States,,,
trail-point-brewing-co,Trail Point Brewing Co.,micro,6035 Lake Michigan Dr,Allendale,Michigan,49401-9101,http://www.trailpointbrewing.com,6168952739,2018-07-24 01:33:37.218356,2018-08-24 00:44:30.96534,United States,-85.9354153586956,42.9720778152174,
alma-brewing-co,Alma Brewing Co,brewpub,208 E Superior St,Alma,Michigan,48801-1819,http://www.almabrewing.com,9894620208,2018-07-24 01:33:32.551507,2018-08-24 00:42:01.941812,United States,-84.6588718983051,43.3788880847458,
austin-brothers-beer-company,Austin Brothers' Beer Company,brewpub,821 W Miller St,Alpena,Michigan,49707-1825,http://www.austinbrosbeerco.com,9893402300,2018-07-24 01:33:32.72479,2018-08-24 00:42:08.335637,United States,-83.4358357755102,45.0729699795918,
pileated-brewing-co,Pileated Brewing Co,micro,2290 South Industrial Highway,Ann Arbor,Michigan,48104,http://www.pileatedbrewing.com,7343696290,2018-07-24 01:33:36.12199,2018-08-24 00:43:55.050139,United States,-83.7338530381679,42.2528624961832,
arbor-brewing-co,Arbor Brewing Co,brewpub,114 E Washington St,Ann Arbor,Michigan,48104-1905,http://www.arborbrewing.com,7342131393,2018-07-24 01:33:32.602846,2018-08-24 00:42:03.795036,United States,-83.7482247142857,42.2804102857143,
