id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
brewery-in-planning-albert-lea,Brewery In Planning - Albert Lea,planning,,Albert Lea,Minnesota,56007-4211,,,2018-07-24 01:33:38.120477,2018-08-11 21:38:00.691953,United States,,,
copper-trail-brewing-co,Copper Trail Brewing Co.,micro,410 30th Ave E Ste 103,Alexandria,Minnesota,56308-4770,http://www.coppertrailbrewing.com,3202196688,2018-07-24 01:33:38.249249,2018-08-11 21:38:01.146751,United States,,,
spilled-grain-brewhouse,Spilled Grain Brewhouse,micro,300 Elm St E,Annandale,Minnesota,55302-9406,http://www.spilledgrainbrewhouse.com,3202741129,2018-07-24 01:33:39.579671,2018-08-24 00:45:46.610069,United States,-94.1194613181467,45.2595823784151,
10k-brewing,10K Brewing,micro,2005 2nd Ave,Anoka,Minnesota,55303-2243,http://10KBrew.com,7633924753,2018-07-24 01:33:37.590235,2018-08-24 00:44:43.247778,United States,-93.3895255918367,45.1981203877551,
ashby-brewing-company,Ashby Brewing Company,micro,109 Main St,Ashby,Minnesota,56309-4687,http://www.abcbrewing.net,8886350291,2018-07-24 01:33:37.702655,2018-08-24 00:44:46.602748,United States,-95.8162175623495,46.0930063905874,
jack-pine-brewery,Jack Pine Brewery,micro,15593 Edgewood Dr,Baxter,Minnesota,56401-6952,http://www.jackpinebrewery.com,2182708072,2018-07-24 01:33:38.885133,2018-08-11 21:38:03.006442,United States,,,
u4ic-brewing-inc,"U4ic Brewing, Inc.",micro,23436 Union Trl Ste 1,Belle Plaine,Minnesota,56011-9008,http://www.u4icbrewing.com,9528733303,2018-07-24 01:33:39.803661,2018-08-24 00:45:53.705452,United States,-93.8017001,44.6232246,
bemidji-brewing-company,Bemidji Brewing Company,brewpub,211 America Ave NW,Bemidji,Minnesota,56601-3176,http://www.bemidjibeer.com,2184447011,2018-07-24 01:33:37.871506,2018-08-24 00:44:52.44842,United States,-94.884827470259,47.4699022,
garphish-brewing-company,Garphish Brewing Company,micro,165 Main St,Bethel,Minnesota,55005,http://www.garphish.com,7634520270,2018-07-24 01:33:38.545015,2018-08-24 00:45:14.09404,United States,-93.268872,45.4040025,
lupulin-brewing,Lupulin Brewing,micro,570 Humboldt Dr Ste 107,Big Lake,Minnesota,55309-4868,http://www.lupulinbrewing.com,7632639549,2018-07-24 01:33:39.134834,2018-08-11 21:38:03.58872,United States,,,
invictus-brewing-co,Invictus Brewing Co,planning,,Blaine,Minnesota,55449,http://www.InvictusBrewingCo.com,6127234090,2018-07-24 01:33:38.847031,2018-08-11 21:38:02.925006,United States,,,
invictus-brewing-co,Invictus Brewing Co.,brewpub,2025 105th Ave NE,Blaine,Minnesota,55449-5202,http://www.invictusbrewingco.com,6127234090,2018-07-24 01:33:38.859679,2018-08-24 00:45:24.060567,United States,-93.2189616,45.1608516,
oswald-brewing-company,Oswald Brewing Company,brewpub,110 S Main St,Blue Earth,Minnesota,56013-2007,http://www.oswaldbrewingcompany.com,5075263101,2018-07-24 01:33:39.304952,2018-08-24 00:45:38.476046,United States,-94.2184542040816,44.1061044897959,
roundhouse-brewery,Roundhouse Brewery,micro,1551 Northern Pacific Rd,Brainerd,Minnesota,56401-2687,http://roundhousebrew.com,2184542739,2018-07-24 01:33:39.503297,2018-08-24 00:45:43.828141,United States,-94.1870055,46.3572831,
surly-brewing-company,Surly Brewing Company,regional,4811 Dusharme Dr,Brooklyn Ctr,Minnesota,55429-3940,http://www.surlybrewing.com,7635353330,2018-07-24 01:33:39.654801,2018-08-24 00:45:48.832032,United States,-93.3243894264181,45.04294225,
blue-wolf-brewing-company-llc,Blue Wolf Brewing Company LLC,micro,8515 Edinburgh Centre Dr.,Brooklyn Park,Minnesota,55443,http://www.bluewolfbrew.com,7633906700,2018-07-24 01:33:38.013834,2018-08-11 21:37:59.989029,United States,,,
hayes-public-house,Hayes Public House,micro,112 1st St S,Buffalo,Minnesota,55313-1402,http://www.hayespublichouse.com,7637466389,2018-07-24 01:33:38.728863,2018-08-24 00:45:19.780324,United States,-93.8745292239674,45.1708480605313,
nutmeg-brewhouse,Nutmeg Brewhouse,brewpub,1905 County Road 42 W,Burnsville,Minnesota,55306-6211,http://www.nutmegbrewhouse.com,9528921438,2018-07-24 01:33:39.264663,2018-08-24 00:45:37.098354,United States,-93.3054737692308,44.7463634615385,
brew-detat,Brew D'Etat,micro,,Burnsville,Minnesota,55337,,4132072355,2018-07-24 01:33:38.106738,2018-08-11 21:38:00.663609,United States,,,
lazy-loon-brewing-co,Lazy Loon Brewing Co,micro,8750 County Road 43,Chaska,Minnesota,55318-9358,http://www.lazyloonbrewing.com,9524673500,2018-07-24 01:33:39.04449,2018-08-11 21:38:03.378932,United States,,,
third-street-brewhouse,Third Street Brewhouse,regional,219 Red River Ave N,Cold Spring,Minnesota,56320-1624,http://www.thirdstreetbrewhouse.com,3206853690,2018-07-24 01:33:39.741094,2018-08-24 00:45:52.319837,United States,-94.4288801552519,45.4585949498646,
alloy-brewing-company,Alloy Brewing Company,micro,2700 Coon Rapids Blvd NW,Coon Rapids,Minnesota,55433-3955,http://www.alloybrewingcompany.com,7634230939,2018-07-24 01:33:37.664317,2018-08-24 00:44:45.689551,United States,-93.3354349705147,45.1695361390062,
cuyuna-brewing-company,Cuyuna Brewing Company,micro,1 E Main St,Crosby,Minnesota,56441-1613,http://cuyunabrewing.com,2188660914,2018-07-24 01:33:38.274361,2018-08-24 00:45:03.788995,United States,-93.950606,46.482495,
14-lakes-brewery,14 Lakes Brewery,micro,,Crosslake,Minnesota,56442,,2186924129,2018-07-24 01:33:37.614181,2018-08-11 21:37:58.724151,United States,,,
lupine-brewing-co,LuPine Brewing Co,micro,248 River St N,Delano,Minnesota,55328-8264,http://www.lupinebrewing.com,7633331033,2018-07-24 01:33:39.122122,2018-08-11 21:38:03.560782,United States,,,
tavern-brewery,Tavern Brewery,brewpub,200 W Lake Dr,Detroit Lakes,Minnesota,56501-3917,,2188471891,2018-07-24 01:33:39.716593,2018-08-24 00:45:51.358069,United States,-95.8477011,46.8066561,
carmody-irish-pub-and-brewing,Carmody Irish Pub & Brewing,brewpub,308 E Superior St,Duluth,Minnesota,55802-2120,http://www.carmodyirishpub.com,2187404747,2018-07-24 01:33:38.197092,2018-08-24 00:45:00.853851,United States,-92.0941880943814,46.7898679947981,
bent-paddle-brewing-co,Bent Paddle Brewing Co,regional,1912 W Michigan St,Duluth,Minnesota,55806-2135,http://www.bentpaddlebrewing.com,2182792722,2018-07-24 01:33:37.91056,2018-08-24 00:44:53.295464,United States,-92.1219171,46.7676912,
blacklist-artisan-ales,Blacklist Artisan Ales,micro,120 E Superior St,Duluth,Minnesota,55802-2116,http://www.blacklistbeer.com,2183109368,2018-07-24 01:33:37.984488,2018-08-24 00:44:55.484303,United States,-92.0959659800392,46.7882669,
canal-park-brewery,Canal Park Brewery,brewpub,300 Canal Park Dr,Duluth,Minnesota,55802-2316,http://www.canalparkbrewery.com,2184644790,2018-07-24 01:33:38.184364,2018-08-11 21:38:00.938677,United States,,,
dubh-linn-brew-pub,Dubh Linn Brew Pub,brewpub,109 W Superior St,Duluth,Minnesota,55802-3026,http://dubhlinnpub.com,2187271559,2018-07-24 01:33:38.338204,2018-08-24 00:45:06.324599,United States,-92.0997257177513,46.7858944129355,
