id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
beard-engine-brewing-alba,Beard Engine Brewing Co,micro,208 Main St,Alba,Missouri,64830,,4174830709,2020-10-12 14:53:38.860,2020-10-12 14:53:40.795,United States,-94.418276,37.248046,
gruhlkes-microbrewery-/-bias-vineyards,Gruhlke's Microbrewery / Bias Vineyards,brewpub,3166 Highway B,Berger,Missouri,63014-1418,http://www.biaswinery.com,5738345475,2018-07-24 01:33:41.132987,2018-08-24 00:46:30.26114,United States,-91.3352114,38.6769847,
east-forty-brewing,East Forty Brewing,micro,1201 W Main St,Blue Springs,Missouri,64015-3613,http://www.eastfortybrewing.com,8169888217,2018-07-24 01:33:40.959206,2018-08-11 21:38:07.61295,United States,-94.279316,39.018709,
wind-shift-brewing,Wind Shift Brewing,micro,3421B NW Jefferson St,Blue Springs,Missouri,64015,http://www.windshiftbrew.com,8167862699,2020-10-12 14:53:32.871,2020-10-12 14:53:34.677,United States,-94.303423,39.073677,
charlies-steak-ribs-and-ale,"Charlie's Steak, Ribs & Ale",brewpub,3009 W 76 Country Blvd,Branson,Missouri,65616-8312,http://www.charliesbranson.com,4173346090,2018-07-24 01:33:40.807174,2018-08-11 21:38:07.297065,United States,-93.275808,36.639618,
piney-river-brewing-company,Piney River Brewing Company,micro,15194 Walnut Grove Dr,Bucyrus,Missouri,65444-9002,http://www.pineyriverbrewing.com,4179674001,2018-07-24 01:33:41.493499,2018-08-24 00:46:41.432674,United States,-92.0176853708533,37.3214879835947,
minglewood-brewery,Minglewood Brewery,brewpub,121 Broadway St,Cape Girardeau,Missouri,63701-7326,http://www.minglewoodbrewery.com,5738030524,2018-07-24 01:33:41.360134,2018-08-24 00:46:37.297176,United States,-89.5185209550299,37.3058363554378,
river-bottoms-brewing-carrollton,River Bottoms Brewing Company,brewpub,12 W Benton St,Carrollton,Missouri,64633,http://www.riverbottomsbrewing.com,6603226110,2020-10-16 11:55:09.097,2020-10-16 11:55:12.184,United States,-93.497006,39.405185,
hungry-hollow-brewery-cassville,Hungry Hollow Brewing Company,micro,14396 FR 2140,Cassville,Missouri,65625,http://www.hungryhollowbrewing.com,4173422072,2020-10-12 14:53:29.273,2020-10-12 14:53:30.980,United States,-93.831482,36.757718,
steampunk-brew-works,Steampunk Brew Works,micro,231 Lamp and Lantern Vlg,Chesterfield,Missouri,63017-8209,http://www.steampunkbrewworks.com,6362308277,2018-07-24 01:33:41.74137,2018-08-11 21:38:09.49084,United States,-90.517873,38.625963,
pog-brewing-company-cleveland,POG Brewing Company,brewpub,24524 S State State Rte D,Cleveland,Missouri,64734,http://www.pogbrewing.com,8164064179,2020-10-12 14:53:25.619,2020-10-12 14:53:27.535,United States,-94.582691,38.701465,
broadway-brewery,Broadway Brewery,brewpub,816 E Broadway Ste B,Columbia,Missouri,65201-4898,http://www.broadwaybrewery.com,5734435054,2018-07-24 01:33:40.698312,2018-08-11 21:38:07.004475,United States,-92.327968,38.951342,
bur-oak-company,Bur Oak Brewing Company,micro,8250 E Trade Center Dr,Columbia,Missouri,65201-7635,http://www.buroakbeer.com,5738142178,2018-07-24 01:33:40.725717,2018-08-11 21:38:07.063349,United States,-92.210993,38.954686,
logboat-brewing-co,Logboat Brewing Co,micro,504 Fay St,Columbia,Missouri,65201-4782,http://www.logboatbrewing.com,5733976786,2018-07-24 01:33:41.257493,2018-08-24 00:46:33.860169,United States,-92.322650149356,38.9570863933001,
flat-branch-pub-and-brewing,Flat Branch Pub and Brewing,brewpub,115 S 5th St,Columbia,Missouri,65201-4230,http://www.flatbranch.com,5734990400,2018-07-24 01:33:40.999749,2018-08-24 00:46:25.910646,United States,-92.3319689609883,38.9503001261367,
