id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
smelter-city-brewing,Smelter City Brewing,micro,101 E Commercial Ave,Anaconda,Montana,59711-2289,http://www.smeltercitybrewing.com,4065630344,2018-07-24 01:33:43.152951,2018-08-24 00:47:26.044816,United States,-112.95216,46.130107,
game-bag-brewing,Game Bag Brewing,planning,,Belgrade,Montana,59714-8809,,5092208584,2018-07-24 01:33:42.58917,2018-08-11 21:38:11.629763,United States,,,
bar-3-bbq-and-brewing,Bar 3 BBQ and Brewing,brewpub,100 S Broadway,Belgrade,Montana,59714-3909,http://www.bar3bbq.com,4063889182,2018-07-24 01:33:42.091491,2018-08-24 00:46:57.704054,United States,-111.1770268,45.7751537,
madison-river-brewing-co,Madison River Brewing Co,micro,20900 Frontage Rd Ste B,Belgrade,Montana,59714-8558,http://www.madisonriverbrewing.com,4063880322,2018-07-24 01:33:42.864291,2018-08-11 21:38:12.556389,United States,,,
harvest-moon-brewing,Harvest Moon Brewing,micro,7 5th St S,Belt,Montana,59412-0510,http://www.harvestmoonbrew.com,4062773188,2018-07-24 01:33:42.675374,2018-08-24 00:47:12.187893,United States,-110.92985271363,47.3822191883646,
beehive-basin-brewery,Beehive Basin Brewery,micro,245 Town Center Ave,Big Sky,Montana,59716,http://www.beehivebasinbrewery.com,4069957444,2018-07-24 01:33:42.156603,2018-08-24 00:46:59.450897,United States,-111.3037009,45.259632,
lone-peak-brewery,Lone Peak Brewery,brewpub,48 Market Pl,Big Sky,Montana,59716,http://www.lonepeakbrewery.com,4069953939,2018-07-24 01:33:42.852198,2018-08-24 00:47:18.36471,United States,-111.291285374965,45.2671806,
flathead-lake-brewing-co,Flathead Lake Brewing Co,micro,116 Holt Dr Ste B,Bigfork,Montana,59911-3707,http://www.flatheadlakebrewing.com,4068370085,2018-07-24 01:33:42.539293,2018-08-11 21:38:11.482478,United States,,,
flathead-lake-brewing-co-production-only,Flathead Lake Brewing Co - Production Only,micro,,Bigfork,Montana,59911-8484,http://www.flatheadlakebrewing.com,4068370085,2018-07-24 01:33:42.560154,2018-08-11 21:38:11.544098,United States,,,
angry-hanks-microbrewery,Angry Hank's Microbrewery,micro,20 N 30th St,Billings,Montana,59101-2140,,4062523370,2018-07-24 01:33:42.043111,2018-08-24 00:46:56.319957,United States,-108.507602476104,45.78022172594,
