id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
brewery-719,Brewery 719,planning,,Alliance,Nebraska,69301-3945,http://www.brewery719.com,,2018-07-24 01:33:43.45147,2018-08-11 21:38:14.646743,United States,,,
brush-creek-brewing-company,Brush Creek Brewing Company,brewpub,102 N Main St,Atkinson,Nebraska,68713-4946,,4029252629,2018-07-24 01:33:43.492037,2018-08-24 00:47:35.515868,United States,-98.9783672653061,42.5314150204082,
kinkaider-brewing-co,Kinkaider Brewing Co,micro,43860 Paulsen Rd,Broken Bow,Nebraska,68822-7120,http://www.kinkaiderbrewing.com,3088728348,2018-07-24 01:33:43.777049,2018-08-11 21:38:15.630557,United States,,,
gottberg-brew-pub,Gottberg Brew Pub,brewpub,2804 13th St,Columbus,Nebraska,68601-4919,http://www.dustersrestaurant.com,4025626488,2018-07-24 01:33:43.613728,2018-08-24 00:47:38.942249,United States,-97.3621271020408,41.4294006122449,
jukes-ale-works-llc,Jukes Ale Works LLC,planning,,Elkhorn,Nebraska,68022,,4023054905,2018-07-24 01:33:43.763396,2018-08-11 21:38:15.579485,United States,,,
fairfield-opera-house-brewery,Fairfield Opera House Brewery,brewpub,415 N D St,Fairfield,Nebraska,68938-2114,http://www.fairfieldoperahouse.com,4027262447,2018-07-24 01:33:43.556382,2018-08-24 00:47:37.367863,United States,-98.1058865714286,40.4306157142857,
prairie-pride-brewery,Prairie Pride Brewery,micro,115 E South Front St,Grand Island,Nebraska,68801-5917,http://www.prairiepride.beer,3088505375,2018-07-24 01:33:43.958056,2018-08-24 00:47:48.021134,United States,-98.3402578571429,40.9267544285714,
first-street-brewing,First Street Brewing,micro,119 N St Joseph Ave,Hastings,Nebraska,68901-7553,http://www.firststreetbrewing.com,4028342400,2018-07-24 01:33:43.58257,2018-08-24 00:47:38.449822,United States,-98.3877197959184,40.5844988979592,
steeple-brewing-co,Steeple Brewing Co,micro,717 W 1st St,Hastings,Nebraska,68901,http://www.steeplebrewing.com,4025194205,2018-07-24 01:33:44.049551,2018-08-24 00:47:50.280908,United States,-98.3902497346939,40.5841823265306,
lost-way-brewery,Lost Way Brewery,micro,614 3rd Ave,Holdrege,Nebraska,68949-2701,http://www.lostwaybrewery.com,3089950503,2018-07-24 01:33:43.848349,2018-08-24 00:47:45.017675,United States,-99.3722823478261,40.4368516956522,
hanging-horseshoe-brewing-company,Hanging Horseshoe Brewing Company,micro,73892 332 Ave,Imperial,Nebraska,69033-,,3088827772,2018-07-24 01:33:43.678292,2018-08-11 21:38:15.335212,United States,,,
thunderhead-brewing-co,Thunderhead Brewing Co,brewpub,18 E 21st St,Kearney,Nebraska,68847-5402,http://www.thunderheadbrewing.com,3082371558,2018-07-24 01:33:44.064362,2018-08-24 00:47:50.76176,United States,-99.080732,40.6966518333333,
lucky-bucket-brewing-co,Lucky Bucket Brewing Co,micro,11941 Centennial Rd Ste 1,La Vista,Nebraska,68128-5623,http://www.luckybucketbrewing.com,4027638868,2018-07-24 01:33:43.862813,2018-08-11 21:38:15.881785,United States,,,
nebraska-brewing-co-la-vista,Nebraska Brewing Co - La Vista,micro,6950 S 108th St,La Vista,Nebraska,68128-5701,,4029340950,2018-07-24 01:33:43.892283,2018-08-24 00:47:46.098515,United States,-96.0813295,41.1772046,
kros-strain-brewing-company,Kros Strain Brewing Company,micro,"10411 Portal Rd, Ste 102",LaVista,Nebraska,68128-5527,http://www.krosstrainbrewing.com,4027797990,2018-07-24 01:33:43.791827,2018-08-11 21:38:15.682229,United States,,,
white-elm-brewing-co,White Elm Brewing Co,micro,720 Van Dorn St,Lincoln,Nebraska,68502-3353,http://www.whiteelmbrewing.com,4022616078,2018-07-24 01:33:44.106036,2018-08-24 00:47:52.147503,United States,-96.7167126,40.7856925,
backswing-brewing-co,Backswing Brewing Co.,micro,500 W South St Ste 8,Lincoln,Nebraska,68522-1744,http://www.backswingbrewing.com,4025154263,2018-07-24 01:33:43.339941,2018-08-11 21:38:14.2585,United States,,,
boiler-brewing-company,Boiler Brewing Company,micro,129 N 10th St Ste 8,Lincoln,Nebraska,68508-3633,http://www.boilerbrewingcompany.com,4022618775,2018-07-24 01:33:43.395472,2018-08-11 21:38:14.448928,United States,,,
cosmic-eye-brewing,Cosmic Eye Brewing,planning,,Lincoln,Nebraska,68505-2463,http://www.cosmiceye.beer,4027308807,2018-07-24 01:33:43.519446,2018-08-11 21:38:14.864736,United States,,,
red-iron-brewing-company,Red Iron Brewing Company,planning,,Lincoln,Nebraska,68502,http://www.RedIronBrewing.com,4028126242,2018-07-24 01:33:43.972056,2018-08-11 21:38:16.099559,United States,,,
blue-blood-brewing-company,Blue Blood Brewing Company,brewpub,925 Robbers Cave Rd,Lincoln,Nebraska,68502,http://www.bluebloodbrewing.com,4024772337,2018-07-24 01:33:43.382605,2018-08-24 00:47:32.761758,United States,-96.707013755102,40.7799960204082,
code-beer-co,Code Beer Co.,micro,200 S Antelope Valley Pkwy,Lincoln,Nebraska,68510-1016,http://www.codebeer.co,4023185888,2018-07-24 01:33:43.506941,2018-08-24 00:47:35.964144,United States,-96.6934442234685,40.8123075,
empyrean-brewing-co,Empyrean Brewing Co,micro,729 Q St,Lincoln,Nebraska,68508-1536,http://www.empyreanbrewingco.com,4024345970,2018-07-24 01:33:43.543394,2018-08-24 00:47:36.916718,United States,-96.7105429,40.8155873,
granite-city-food-and-brewery-#7,Granite City Food & Brewery (#7),brewpub,6200 O St,Lincoln,Nebraska,68510-2240,http://www.gcfb.net,4024661900,2018-07-24 01:33:43.646388,2018-08-24 00:47:39.951156,United States,-96.6872327,40.8135885,
green-flash-brewing-co,Green Flash Brewing Co,brewpub,1630 P St,Lincoln,Nebraska,68508-1644,,,2018-07-24 01:33:43.66285,2018-08-24 00:47:40.436917,United States,-96.6976802244898,40.8148111632653,
