id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
asbury-park-brewery,Asbury Park Brewery,micro,810 Sewall Ave,Asbury Park,New Jersey,07712-6527,http://www.asburyparkbrewery.com,7324555571,2018-07-24 01:33:46.059274,2018-08-24 15:36:28.413935,United States,-74.0122928163265,40.2195666122449,
dark-city-brewing-company,Dark City Brewing Company,micro,801 Second Ave,Asbury Park,New Jersey,07712-,http://www.darkcitybrewing.com,7324553792,2018-07-24 01:33:46.565946,2018-08-11 21:38:23.022874,United States,,,
brewery-in-planning-asbury-nj,"Brewery in Planning - Asbury, NJ",planning,,Asbury,New Jersey,08802,,9088924603,2018-07-24 01:33:46.247041,2018-08-11 21:38:22.236701,United States,,,
atco-brewing-llc,Atco Brewing LLC,micro,302 White Horse Pike,Atco,New Jersey,08004-2209,http://Www.atcobrewingcompany.com,6097072628,2018-07-24 01:33:46.087683,2018-08-24 15:36:28.989638,United States,-74.8997316523657,39.77167345,
tun-tavern-brewery-and-restaurant,Tun Tavern Brewery and Restaurant,brewpub,2 Convention Blvd Ste 3,Atlantic City,New Jersey,08401-4137,http://www.tuntavern.com,6093477800,2018-07-24 01:33:47.533065,2018-08-11 21:38:25.593617,United States,,,
carton-brewing-co,Carton Brewing Co,micro,6 E Washington Ave,Atlantic Highlands,New Jersey,07716-1230,http://www.cartonbrewing.com,7326542337,2018-07-24 01:33:46.426159,2018-08-24 15:36:36.858562,United States,-74.0381651,40.4117685,
brewery-in-planning-basking-ridge,Brewery in Planning - Basking Ridge,planning,,Basking Ridge,New Jersey,07920-1102,,,2018-07-24 01:33:46.272292,2018-08-11 21:38:22.26456,United States,,,
ship-bottom-brewery,Ship Bottom Brewery,micro,"830 N Bay Ave, Store 23",Beach Haven,New Jersey,08008-2053,http://www.shipbottombrewery.com,6092076331,2018-07-24 01:33:47.302089,2018-08-11 21:38:25.075918,United States,,,
belford-brewing-company,Belford Brewing Company,micro,84 Leonardville Rd,Belford,New Jersey,07718-1144,http://www.belfordbrewing.com,7327697168,2018-07-24 01:33:46.153812,2018-08-11 21:38:22.013371,United States,,,
beach-haus-brewery,Beach Haus Brewery,micro,801 Main St,Belmar,New Jersey,07719-2705,http://Www.beachhausbeer.com,7322027782,2018-07-24 01:33:46.140294,2018-08-24 15:36:29.975964,United States,-74.0251959,40.1812131,
trap-rock-restaurant-and-brewery,Trap Rock Restaurant And Brewery,brewpub,279 Springfield Ave,Berkeley Heights,New Jersey,07922-1214,http://www.traprockrestaurant.net,9086651755,2018-07-24 01:33:47.472897,2018-08-24 15:37:09.47202,United States,-74.4348121711718,40.6890382,
berlin-brewing-company,Berlin Brewing Company,micro,220 S White Horse Pike,Berlin,New Jersey,08009-1902,http://www.berlinbrewco.com,8563362038,2018-07-24 01:33:46.166741,2018-08-24 15:36:31.003802,United States,-74.929989727554,39.7919922798457,
buck-hill-brewery-and-restaurant,Buck Hill Brewery and Restaurant,brewpub,45 Route 94,Blairstown,New Jersey,07825,http://www.buckhillbrewery.com,9088545300,2018-07-24 01:33:46.362923,2018-08-11 21:38:22.508241,United States,,,
common-sense-brewing,Common Sense Brewing,micro,102 Farnsworth Ave,Bordentown,New Jersey,08505-1308,http://www.commonsensebrewing.com,6095268651,2018-07-24 01:33:46.477152,2018-08-24 15:36:38.818521,United States,-74.7137284444444,40.1484716666667,
bradley-brew-project,Bradley Brew Project,micro,714 Main St,Bradley Beach,New Jersey,07720-1013,http://www.bradleybrew.com,732455804,2018-07-24 01:33:46.234025,2018-08-24 15:36:33.29722,United States,-74.0174242765957,40.204270787234,
third-state-brewing,Third State Brewing,micro,352 High St,Burlington,New Jersey,08016-4412,http://www.thirdstatebrewing.com,6093871620,2018-07-24 01:33:47.418884,2018-08-24 15:37:07.658408,United States,-74.8584192483396,40.0780314070468,
high-point-brewing-co-inc,"High Point Brewing Co, Inc.",micro,22 Park Pl,Butler,New Jersey,07405-1377,http://www.ramsteinbeer.com,9738387400,2018-07-24 01:33:46.845597,2018-08-11 21:38:23.805315,United States,,,
