id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
boese-brothers-brewing,Boese Brothers Brewing,micro,601 Gold Ave SW,Albuquerque,New Mexico,87102-3119,http://www.boesebrothers.com,5053827060,2018-07-24 01:33:47.758733,2018-08-24 15:37:19.203616,United States,-106.654295,35.083957,
flix-brewhouse,Flix Brewhouse,brewpub,3236 La Orilla Rd NW,Albuquerque,New Mexico,87120-2630,,5054458500,2018-07-24 01:33:48.124418,2018-08-24 15:37:30.939884,United States,-106.681589567802,35.15878955,
palmer-brewery-and-cider-house,Palmer Brewery & Cider House,micro,2926 Girard Blvd NE,Albuquerque,New Mexico,87107-1935,,5055080508,2018-07-24 01:33:48.432615,2018-08-24 15:37:39.822908,United States,-106.613687816327,35.1149330204082,
tractor-brewing-co,Tractor Brewing Co,micro,1800 4th St NW,Albuquerque,New Mexico,87102-1426,http://www.getplowed.com,5052436752,2018-07-24 01:33:48.77341,2018-08-24 15:37:51.84042,United States,-106.6478962,35.1022749,
alien-brewpub,Alien Brewpub,brewpub,6601 Uptown Blvd NE Ste B,Albuquerque,New Mexico,87110-4207,http://www.abqbrewpub.com,5058841116,2018-07-24 01:33:47.680573,2018-08-11 21:38:25.918987,United States,,,
bosque-brewing-co,Bosque Brewing Co,micro,8900 San Mateo Blvd NE Ste I,Albuquerque,New Mexico,87113-2459,http://www.bosquebrewingco.com,5054333889,2018-07-24 01:33:47.787278,2018-08-11 21:38:26.184932,United States,,,
bow-and-arrow-brewing-co,Bow and Arrow Brewing Co.,micro,608 McKnight Ave NW,Albuquerque,New Mexico,87102-1237,http://www.bowandarrowbrewing.com,5052479800,2018-07-24 01:33:47.812846,2018-08-11 21:38:26.252034,United States,,,
desert-valley-brewing-co,Desert Valley Brewing Co.,micro,"2809 Broadbent Pkwy NE, Suite D C/O The Craftroom",Albuquerque,New Mexico,87107-1613,,5057171985,2018-07-24 01:33:47.97407,2018-08-11 21:38:26.60193,United States,,,
bombs-away-beer-company,Bombs Away Beer Company,brewpub,9801 Acoma Rd SE,Albuquerque,New Mexico,87123-3301,http://www.bombsawaybeer.com,5055543204,2018-07-24 01:33:47.77183,2018-08-24 15:37:19.698532,United States,-106.53905,35.070904,
boxing-bear-brewing-company,Boxing Bear Brewing Company,brewpub,10200 Corrales Rd NW,Albuquerque,New Mexico,87114-9268,http://www.boxingbearbrewing.com,5058972327,2018-07-24 01:33:47.825581,2018-08-24 15:37:21.7308,United States,-106.6460549,35.2036804,
canteen-brewhouse,Canteen Brewhouse,micro,2381 Aztec Rd NE,Albuquerque,New Mexico,87107-4207,http://www.canteenbrewhouse.com,5058304629,2018-07-24 01:33:47.879473,2018-08-24 15:37:23.5955,United States,-106.617653026846,35.120254114094,
dialogue-brewing,Dialogue Brewing,micro,1501 1st St NW,Albuquerque,New Mexico,87102-1535,http://www.dialoguebrewing.com,5055851501,2018-07-24 01:33:47.991717,2018-08-24 15:37:27.159052,United States,-106.6456104,35.0976942,
lizard-tail-brewing,Lizard Tail Brewing,brewpub,9800 Montgomery Blvd NE Ste 7,Albuquerque,New Mexico,87111-3560,http://www.lizardtailbrewing.com,5057171301,2018-07-24 01:33:48.341112,2018-08-11 21:38:27.381652,United States,,,
nexus-brewery,Nexus Brewery,brewpub,4730 Pan American Fwy NE Ste D,Albuquerque,New Mexico,87109-2204,http://www.nexusbrewery.com,5052424100,2018-07-24 01:33:48.418965,2018-08-11 21:38:27.659471,United States,,,
quarter-celtic-brewpub,Quarter Celtic Brewpub,brewpub,1100 San Mateo Blvd NE Ste 50,Albuquerque,New Mexico,87110-6473,http://www.quartercelticbrewery.com,5055031387,2018-07-24 01:33:48.473731,2018-08-11 21:38:27.79055,United States,,,
starr-brothers-brewing-co,Starr Brothers Brewing Co.,brewpub,5700 San Antonio Dr NE Ste B1,Albuquerque,New Mexico,87109-4179,http://starrbrothersbrewing.com,5054922752,2018-07-24 01:33:48.647751,2018-08-11 21:38:28.253577,United States,,,
high-and-dry-brewing,High and Dry Brewing,micro,529 Adams St NE,Albuquerque,New Mexico,87108-1228,http://www.highanddrybrewing.com,2197750232,2018-07-24 01:33:48.15427,2018-08-24 15:37:32.067265,United States,-106.594275285714,35.0861257142857,
hops-brewery,Hops Brewery,brewpub,3507 Central Ave NE,Albuquerque,New Mexico,87106,,5053691378,2018-07-24 01:33:48.199154,2018-08-24 15:37:33.006669,United States,-106.6053016,35.0800564,
kellys-brewpub,Kellys Brewpub,brewpub,3222 Central Ave SE,Albuquerque,New Mexico,87106-1458,http://www.kellysbrewpub.com,5052622739,2018-07-24 01:33:48.238808,2018-08-24 15:37:33.959886,United States,-106.6085695,35.0800666,
kilt-check-brewing-co,Kilt Check Brewing Co,micro,4814 Hardware Dr NE,Albuquerque,New Mexico,87109,http://www.draftykiltbrewingco.com,5058810234,2018-07-24 01:33:48.255457,2018-08-24 15:37:34.422616,United States,-106.589884417707,35.1360055102496,
la-cumbre-brewing-co,La Cumbre Brewing Co,micro,3313 Girard Blvd NE,Albuquerque,New Mexico,87107-1930,http://www.lacumbrebrewing.com,5058720225,2018-07-24 01:33:48.269432,2018-08-24 15:37:34.91488,United States,-106.613864867022,35.1178978118299,
lava-rock-brewing-company,Lava Rock Brewing Company,brewpub,2220 Unser Blvd,Albuquerque,New Mexico,87120,http://www.lavarockbrewpub.com,5058361022,2018-07-24 01:33:48.297559,2018-08-24 15:37:35.854376,United States,-106.7227497,35.0769954,
marble-brewery-mav-lab,Marble Brewery - Mav Lab,micro,9904 Montgomery Blvd NE,Albuquerque,New Mexico,87111-3554,,5053234030,2018-07-24 01:33:48.367564,2018-08-24 15:37:37.791262,United States,-106.530845244898,35.130568122449,
ponderosa-brewing,Ponderosa Brewing,brewpub,1761 Bellamah Ave NW,Albuquerque,New Mexico,87104-2247,http://www.ponderosabrewing.net,5056395941,2018-07-24 01:33:48.459508,2018-08-24 15:37:40.83373,United States,-106.665050231389,35.1009124812854,
red-door-brewing-co,Red Door Brewing Co,micro,1001 Candelaria Rd NE,Albuquerque,New Mexico,87107-2115,http://www.reddoorbrewing.com,5056336675,2018-07-24 01:33:48.487257,2018-08-24 15:37:41.991292,United States,-106.5864617,35.1165072,
rio-bravo-brewing-company,Rio Bravo Brewing Company,brewpub,1912 2nd Street NW,Albuquerque,New Mexico,87102,http://www.riobravobrewing.com,5059003909,2018-07-24 01:33:48.515471,2018-08-24 15:37:42.905771,United States,-106.645477428571,35.1034381428571,
sidetrack-brewing-company,Sidetrack Brewing Company,micro,413 2nd St SW,Albuquerque,New Mexico,87102-3307,http://www.sidetrackbrewing.net,5052886468,2018-07-24 01:33:48.608106,2018-08-24 15:37:45.860934,United States,-106.6500567,35.0807893,
the-377-brewery,The 377 Brewery,micro,2027 Yale Blvd SE,Albuquerque,New Mexico,87106-4139,http://www.the377.com,5052503388,2018-07-24 01:33:48.719009,2018-08-24 15:37:49.841864,United States,-106.6219267,35.0561133,
toltec-brewing-co,Toltec Brewing Co,brewpub,10250 Cottonwood Park NW # S,Albuquerque,New Mexico,87114-7018,,5057307982,2018-07-24 01:33:48.760358,2018-08-11 21:38:28.618672,United States,,,
bistronomy-b2b-craft-brewery,Bistronomy B2B Craft Brewery,brewpub,3118 Central Ave SE,Albuquerque,New Mexico,87106-2216,http://www.bistronomyb2b.com,5052622222,2018-07-24 01:33:47.70486,2018-08-24 15:37:17.166545,United States,-106.6102147,35.080354,
broken-trail-brewery-and-distillery,Broken Trail Brewery & Distillery,micro,2921 Stanford Dr NE,Albuquerque,New Mexico,87107-1813,http://www.brokentrailspirits.com,5052216281,2018-07-24 01:33:47.853683,2018-08-24 15:37:22.258123,United States,-106.617509060606,35.1144068181818,
marble-brewery-production,Marble Brewery - Production,regional,111 Marble Ave NW,Albuquerque,New Mexico,87102-2315,http://www.marblebrewery.com,5052432739,2018-07-24 01:33:48.379602,2018-08-24 15:37:38.272499,United States,-106.6467287,35.0928224,
enchanted-circle-brewing-company,Enchanted Circle Brewing Company,brewpub,20 Sage Ln.,Angel Fire,New Mexico,87710,,5055078687,2018-07-24 01:33:48.080582,2018-08-24 15:37:29.438546,United States,-105.2882775,36.396276,
wellhead-restaurant/brewpub,Wellhead Restaurant/Brewpub,brewpub,332 W Main St,Artesia,New Mexico,88210-2161,http://www.thewellhead.com,5757460640,2018-07-24 01:33:48.825851,2018-08-24 15:37:53.752945,United States,-104.399337,32.842417,
550-brewing,550 Brewing,proprietor,119 E Chuska St,Aztec,New Mexico,87410-2110,http://Www.550brew.com,5054861094,2018-07-24 01:33:47.63791,2018-08-24 15:37:14.752351,United States,-107.995023489796,36.8213738979592,
