id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
arrowood-farms,Arrowood Farms,micro,236 Lower Whitfield Rd,Accord,New York,12404-5809,http://www.arrowoodfarms.com,8452530389,2018-07-24 01:33:49.175225,2018-08-24 15:38:02.230953,United States,-74.2489174174862,41.8066614403486,
akwesasne-mohawk-casino-resort,Akwesasne Mohawk Casino Resort,planning,,Akwesasne,New York,13655-1800,http://mohawkcasino.com,5183582222,2018-07-24 01:33:49.059114,2018-08-11 21:38:29.502264,United States,,,
ch-evans-brewing-co/albany-pump-station,CH Evans Brewing Co/Albany Pump Station,brewpub,19 Quackenbush Sq,Albany,New York,12207-2311,http://www.evansale.com,5184479000,2018-07-24 01:33:50.183291,2018-08-11 21:38:32.24866,United States,,,
fort-orange-brewing,Fort Orange Brewing,micro,450 N Pearl St,Albany,New York,12204-1511,http://www.fortorangebrewing.com,5189923103,2018-07-24 01:33:51.0181,2018-08-24 15:38:58.882264,United States,-73.74427,42.66372,
perfect-world-brewing-co,Perfect World Brewing Co,micro,1276 Broadway,Albany,New York,12204-2623,http://www.facebook.com/PerfectWorldBrewing/,,2018-07-24 01:33:52.794953,2018-08-11 21:38:39.014333,United States,,,
steadfast-beer-co,Steadfast Beer Co,contract,1756 Western Ave Rear,Albany,New York,12203-4414,http://www.steadfastbeer.com,,2018-07-24 01:33:53.755472,2018-08-11 21:38:41.873268,United States,,,
indian-ladder-farmstead-brewery-and-cidery,Indian Ladder Farmstead Brewery and Cidery,micro,342 Altamont Rd,Altamont,New York,12009-3500,http://www.ilfcb.com,5185771484,2018-07-24 01:33:51.743753,2018-08-11 21:38:36.32052,United States,,,
small-craft-brewing-co,Small Craft Brewing Co,micro,66 Merrick Rd,Amityville,New York,11701-3463,http://www.smallcraftbrewing.com,6314640186,2018-07-24 01:33:53.664799,2018-08-24 15:40:22.661241,United States,-73.42019,40.6715855555556,
high-perch-brewing-company,High Perch Brewing Company,micro,1417 Kania Rd,Amsterdam,New York,12010-6610,,,2018-07-24 01:33:51.60053,2018-08-11 21:38:35.905345,United States,,,
rockaway-brewing-company,Rockaway Brewing Company,planning,,Arverne,New York,11692-1044,http://www.rockawaybrewco.com,7184826528,2018-07-24 01:33:53.130544,2018-08-11 21:38:39.771451,United States,,,
brewery-in-planning-astoria,Brewery in Planning - Astoria,planning,,Astoria,New York,11105-3936,,,2018-07-24 01:33:49.637092,2018-08-11 21:38:31.043001,United States,,,
singlecut-beersmiths,Singlecut Beersmiths,micro,19-33 37th St,Astoria,New York,11105-1118,http://www.singlecutbeer.com,7186060788,2018-07-24 01:33:53.586188,2018-08-11 21:38:41.405819,United States,,,
crossroads-brewing-co,Crossroads Brewing Co,brewpub,21 2nd St,Athens,New York,12015-1327,http://www.crossroadsbrewingco.com,5189452337,2018-07-24 01:33:50.492891,2018-08-24 15:38:40.380344,United States,-73.8100641,42.2605541,
next-chapter-brewpub,Next Chapter Brewpub,planning,,Auburn,New York,13021-4620,http://www.nextchapterbrewpub.com,,2018-07-24 01:33:52.575124,2018-08-11 21:38:38.391217,United States,,,
prison-city-brewing,Prison City Brewing,brewpub,28 State St,Auburn,New York,13021-3625,http://www.prisoncitybrewing.com,9177272477,2018-07-24 01:33:52.882612,2018-08-24 15:39:56.878172,United States,-76.5682427,42.9317672,
the-good-shepherds-brewing-co,The Good Shepherds Brewing Co,micro,31 Loop Rd Ste 1,Auburn,New York,13021-3823,http://www.shepsbeer.com,3154066498,2018-07-24 01:33:54.054156,2018-08-11 21:38:42.553684,United States,,,
anheuser-busch-inc-a-baldwinsville,Anheuser-Busch Inc â Baldwinsville,large,2885 Belgium Rd,Baldwinsville,New York,13027-2706,,3156354000,2018-07-24 01:33:49.131943,2018-08-24 15:38:01.274977,United States,-76.3115934287994,43.1651092543768,
wt-brews-llc,WT Brews LLC,micro,3 W Genesee St,Baldwinsville,New York,13027-1104,http://www.wtbrews.com,3158573266,2018-07-24 01:33:54.686356,2018-08-24 15:40:53.652011,United States,-76.3328857142857,43.1585531428571,
unified-beerworks,Unified Beerworks,planning,,Ballston Lake,New York,12019-1734,http://unified-beerworks.com,5184284185,2018-07-24 01:33:54.312739,2018-08-11 21:38:43.224031,United States,,,
eli-fish-brewing-company,Eli Fish Brewing Company,brewpub,109 Main St,Batavia,New York,14020-2110,http://www.elifishbrewing.com,5858150401,2018-07-24 01:33:50.677461,2018-08-24 15:38:46.811586,United States,-78.1821989795918,42.9973274693878,
destination-unknown-beer-company,Destination Unknown Beer Company,micro,1 S Chicago Ave Unit C,Bay Shore,New York,11706-7000,http://www.destinationunknownbeercompany.com,6314852232,2018-07-24 01:33:50.559294,2018-08-11 21:38:33.249284,United States,,,
fire-island-beer-co,Fire Island Beer Co,micro,25 Drexel Dr,Bay Shore,New York,11706-2234,http://www.fireislandbeer.com,,2018-07-24 01:33:50.886833,2018-08-11 21:38:34.04491,United States,,,
great-south-bay-brewery,Great South Bay Brewery,micro,25 Drexel Dr,Bay Shore,New York,11706-2234,http://www.greatsouthbaybrewery.com,6313928472,2018-07-24 01:33:51.367992,2018-08-11 21:38:35.286686,United States,,,
the-brewers-collective,The Brewers Collective,micro,1460 N Clinton Ave Unit N,Bay Shore,New York,11706-4058,http://www.thebrewerscollective.com,6316659000,2018-07-24 01:33:53.976299,2018-08-11 21:38:42.366013,United States,,,
