id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
railhouse-brewery,Railhouse Brewery,micro,105 E South St Unit C,Aberdeen,North Carolina,28315-,http://www.railhousebrewery.com,9107835280,2018-07-24 01:33:57.874058,2018-08-11 21:38:51.787854,United States,,,
quick-trigger-brewing-company,Quick Trigger Brewing Company,brewpub,118 Main St W,Ahoskie,North Carolina,27910-3302,http://www.quicktriggerbrewing.com,2523326844,2018-07-24 01:33:57.860718,2018-08-24 15:42:31.190998,United States,-76.9863065,36.2857593,
hoppy-trout-brewing-company,Hoppy Trout Brewing Company,brewpub,911 Main St,Andrews,North Carolina,28901-7087,http://www.hoppytroutbrewing.com,8288352111,2018-07-24 01:33:56.706113,2018-08-24 15:41:57.814852,United States,-83.8165709,35.2016188,
andrews-brewing-co-at-calaboose-cellars,Andrews Brewing Co At Calaboose Cellars,micro,575 Aquone Rd,Andrews,North Carolina,28901-7004,http://www.calaboosecellars.com,8283212006,2018-07-24 01:33:54.842593,2018-08-24 15:40:58.760418,United States,-83.8148779865557,35.199581640194,
franklin-brewing-company-llc,"Franklin Brewing Company, LLC",planning,,Angier,North Carolina,27501-6094,http://www.franklin-brewing.com,,2018-07-24 01:33:56.275546,2018-08-11 21:38:48.034643,United States,,,
vicious-fishes-brewery,Vicious Fishes Brewery,micro,219 Fish Dr,Angier,North Carolina,27501-6077,http://www.viciousfishes.com,9196393369,2018-07-24 01:33:58.716532,2018-08-24 15:43:00.664416,United States,-78.749408,35.507541,
southern-peak-brewery,Southern Peak Brewery,micro,950 Windy Rd Ste 100,Apex,North Carolina,27502-2410,http://www.southernpeakbrewery.com,9192084515,2018-07-24 01:33:58.148609,2018-08-24 15:42:42.239297,United States,-78.8439995,35.7461806,
brueprint-brewing-company-llc,Brueprint Brewing Company LLC,micro,1229 Perry Rd Ste 101,Apex,North Carolina,27502-6898,http://www.brueprint.com,9199718846,2018-07-24 01:33:55.625279,2018-08-24 15:41:21.752184,United States,-78.8501437546017,35.7088481931982,
wicked-weed-funkatorium,Wicked Weed Funkatorium,large,95 Old Shoals Rd,Arden,North Carolina,28704-9401,http://www.wickedweedbrewing.com,8285759599,2018-07-24 01:33:58.904637,2018-08-24 15:43:07.283827,United States,-82.524955526838,35.4674064,
mills-river-brewery,Mills River Brewery,brewpub,330 Rockwood Rd Ste 103,Arden,North Carolina,28704-8216,http://www.millsriverbrewery.net,8285852396,2018-07-24 01:33:57.241962,2018-08-11 21:38:50.32188,United States,,,
wicked-weed-funk-house,Wicked Weed Funk House,large,95 Old Shoals Rd,Arden,North Carolina,28704-9401,http://www.wickedweedbrewing.com,,2018-07-24 01:33:58.891252,2018-08-24 15:43:06.864349,United States,-82.524955526838,35.4674064,
four-saints-brewing,Four Saints Brewing,micro,218 S Fayetteville St,Asheboro,North Carolina,27203-5725,http://www.foursaintsbrewing.com,3366103722,2018-07-24 01:33:56.260775,2018-08-24 15:41:43.245509,United States,-79.8144777142857,35.7036855714286,
archetype-brewing,Archetype Brewing,micro,265 Haywood Rd,Asheville,North Carolina,28806-4545,http://www.archetypebrewing.com,8285054177,2018-07-24 01:33:54.882189,2018-08-11 21:38:44.638478,United States,,,
biltmore-brewing-company,Biltmore Brewing Company,proprietor,1 N Pack Sq C/O Biltmore Winery Estates,Asheville,North Carolina,28801-3462,http://www.biltmore.com,8004113812,2018-07-24 01:33:55.167716,2018-08-11 21:38:45.283178,United States,,,
asheville-brewing-co,Asheville Brewing Co,brewpub,77 Coxe Ave,Asheville,North Carolina,28801-3621,http://www.ashevillepizza.com,8282554077,2018-07-24 01:33:54.910237,2018-08-24 15:41:00.271537,United States,-82.5553054474744,35.5917763,
bens-tune-up-/-bens-beer,Ben's Tune-Up / Ben's Beer,brewpub,195 Hilliard Ave,Asheville,North Carolina,28801-3616,http://www.benstuneup.com,8284247580,2018-07-24 01:33:55.102921,2018-08-24 15:41:05.480998,United States,-82.5557931,35.5912756,
bhramari-brewhouse,Bhramari Brewhouse,micro,101 S Lexington Ave,Asheville,North Carolina,28801-3309,http://www.bhramaribrewing.com,8282147981,2018-07-24 01:33:55.115889,2018-08-24 15:41:06.02324,United States,-82.55191879386,35.5916676262246,
burial-beer-co-forestry-camp,Burial Beer Co Forestry Camp,micro,,Asheville,North Carolina,28803-2719,,,2018-07-24 01:33:55.678209,2018-08-11 21:38:46.710668,United States,,,
catawba-brewing-co-asheville,Catawba Brewing Co - Asheville,micro,63 Brook St Ste 1,Asheville,North Carolina,28803-2685,http://www.catawbavalleybrewingcompany.com,8284247290,2018-07-24 01:33:55.755781,2018-08-11 21:38:46.880129,United States,,,
burial-beer-co,Burial Beer Co,micro,40 Collier Ave,Asheville,North Carolina,28801-4024,http://www.burialbeer.com,,2018-07-24 01:33:55.666087,2018-08-24 15:41:23.454876,United States,-82.5537906230192,35.5879562,
green-man-brewing-co,Green Man Brewing Co,micro,27 Buxton Ave,Asheville,North Carolina,28801-4019,http://www.greenmanbrewery.com,8282525502,2018-07-24 01:33:56.470437,2018-08-24 15:41:50.096611,United States,-82.5536715280212,35.5886248998363,
habitat-brewing-co,Habitat Brewing Co,micro,174 Broadway St,Asheville,North Carolina,28801-2305,http://www.habitatbrewing.com,7047018141,2018-07-24 01:33:56.498245,2018-08-24 15:41:50.670853,United States,-82.5533973,35.5986648,
hillman-beer,Hillman Beer,brewpub,25 Sweeten Creek Rd,Asheville,North Carolina,28803-2318,http://www.hillmanbeer.com,8285051312,2018-07-24 01:33:56.619982,2018-08-24 15:41:54.892505,United States,-82.520631,35.5139103,
hi-wire-brewing-big-top-production-facility,Hi-Wire Brewing Big Top Production Facility,micro,2 Huntsman Pl,Asheville,North Carolina,28803-2600,http://www.hiwirebrewing.com,,2018-07-24 01:33:56.632661,2018-08-24 15:41:55.361913,United States,-82.5456631071331,35.5702055141848,
hi-wire-brewing-south-slope-specialty-brewery,Hi-Wire Brewing South Slope Specialty Brewery,micro,197 Hilliard Ave,Asheville,North Carolina,28801-3616,http://www.hiwirebrewing.com,8285759675,2018-07-24 01:33:56.645725,2018-08-24 15:41:55.811907,United States,-82.5560374689874,35.5912314973118,
lexington-avenue-brewery-the-lab,Lexington Avenue Brewery - The LAB,brewpub,39 N Lexington Ave,Asheville,North Carolina,28801-2827,http://www.lexavebrew.com,8282520212,2018-07-24 01:33:56.964942,2018-08-24 15:42:05.678573,United States,-82.5532489,35.5961485,
one-world-brewing,One World Brewing,micro,10 Patton Ave Ste 002,Asheville,North Carolina,28801-3302,http://www.oneworldbrewing.com,8287855580,2018-07-24 01:33:57.648101,2018-08-11 21:38:51.269496,United States,,,
new-belgium-brewing-co,New Belgium Brewing Co,regional,21 Craven St,Asheville,North Carolina,28806-,http://www.newbelgium.com,8885989552,2018-07-24 01:33:57.439807,2018-08-24 15:42:19.453621,United States,-82.571942933736,35.5879302,
sweeten-creek-brewing,Sweeten Creek Brewing,brewpub,1127 Sweeten Creek Rd,Asheville,North Carolina,28803-1728,http://www.sweetencreekbrewing.com,8285752785,2018-07-24 01:33:58.273528,2018-08-24 15:42:46.662258,United States,-82.520631,35.5139103,
upcountry-brewing,UpCountry Brewing,brewpub,1042 Haywood Rd,Asheville,North Carolina,28806-2639,http://upcountrybrewing.com/,8285752400,2018-07-24 01:33:58.663255,2018-08-11 21:38:53.56132,United States,,,
twin-leaf-brewery,Twin Leaf Brewery,micro,144 Coxe Ave,Asheville,North Carolina,28801-4026,http://www.twinleafbrewery.com,8283332221,2018-07-24 01:33:58.625282,2018-08-24 15:42:57.619728,United States,-82.5545418535317,35.58942485,
wedge-brewing-co,Wedge Brewing Co,micro,37 Paynes Way Ste 100,Asheville,North Carolina,28801-2626,http://www.wedgebrewing.com,8285052792,2018-07-24 01:33:58.757708,2018-08-24 15:43:02.16273,United States,-82.5665920052359,35.5865571,
white-labs-kitchen-and-tap,White Labs Kitchen and Tap,brewpub,172 S Charlotte St,Asheville,North Carolina,28801,,8289743868,2018-07-24 01:33:58.825012,2018-08-24 15:43:04.595016,United States,-82.5490695,35.5911334,
brouwerij-cursus-keme,Brouwerij Cursus Keme,brewpub,155 Thompson St,Asheville,North Carolina,28803-1443,,,2018-07-24 01:33:55.598922,2018-08-24 15:41:20.581816,United States,-82.5257283663686,35.5743884286413,
french-broad-river-brewing-co,French Broad River Brewing Co,micro,101 Fairview Rd Ste D,Asheville,North Carolina,28803-4301,http://www.frenchbroadbrewery.com,8282770222,2018-07-24 01:33:56.302221,2018-08-11 21:38:48.111798,United States,,,
highland-brewing-co,Highland Brewing Co,regional,12 Old Charlotte Hwy Ste H,Asheville,North Carolina,28803-9419,http://www.highlandbrewing.com,8282993816,2018-07-24 01:33:56.606827,2018-08-11 21:38:48.763052,United States,,,
oyster-house-brewing-co,Oyster House Brewing Co.,brewpub,625 Haywood Rd,Asheville,North Carolina,28806-3255,http://www.oysterhousebeers.com,8285759370,2018-07-24 01:33:57.714107,2018-08-11 21:38:51.414687,United States,,,
thirsty-monk-brewery,Thirsty Monk Brewery,brewpub,92 Patton Ave,Asheville,North Carolina,28801-3315,http://www.monkpub.com,8282545470,2018-07-24 01:33:58.421978,2018-08-24 15:42:51.462306,United States,-82.5553147520814,35.59410425,
wicked-weed-brewing,Wicked Weed Brewing,large,91 Biltmore Ave,Asheville,North Carolina,28801-3626,http://www.wickedweedbrewing.com,8285759599,2018-07-24 01:33:58.865259,2018-08-24 15:43:05.943755,United States,-82.5510683176403,35.5916712,
flat-top-mountain-brewery,Flat Top Mountain Brewery,micro,567 Main St E,Banner Elk,North Carolina,28604-8974,http://www.flattopbrew.com,8288988677,2018-07-24 01:33:56.139058,2018-08-24 15:41:40.198474,United States,-81.8665760187748,36.165102561231,
bear-creek-brews,Bear Creek Brews,micro,10538 Nc 902 Hwy,Bear Creek,North Carolina,27207-9269,http://www.bearcreekbrews.com,9192003930,2018-07-24 01:33:55.050066,2018-08-11 21:38:44.918157,United States,,,
mill-whistle-brewing,Mill Whistle Brewing,micro,1354 Lennoxville Rd,Beaufort,North Carolina,28616,,,2018-07-24 01:33:57.228579,2018-08-24 15:42:13.359243,United States,-76.6504293369565,34.7173879891304,
beech-mountain-brewing-company,Beech Mountain Brewing Company,micro,1007 Beech Mountain Pkwy,Beech Mountain,North Carolina,28604-8018,http://www.beechmountainresort.com,8283872011,2018-07-24 01:33:55.076483,2018-08-24 15:41:04.994664,United States,-81.8733560040101,36.1681958415096,
brewery-in-planning-belmont,Brewery in Planning - Belmont,planning,,Belmont,North Carolina,28012-8868,,7048272299,2018-07-24 01:33:55.43782,2018-08-11 21:38:46.02275,United States,,,
rivermen-brewing-co,Rivermen Brewing Co,brewpub,1500 River Dr,Belmont,North Carolina,28012-3586,http://www.rivermenbrewingcompany.com,7043634698,2018-07-24 01:33:57.95558,2018-08-24 15:42:34.101646,United States,-81.015546,35.240249,
york-chester-brewing-company,York Chester Brewing Company,micro,1500 River Dr Ste 250,Belmont,North Carolina,28012-3587,http://www.yorkchesterbrew.com,7047555104,2018-07-24 01:33:58.997865,2018-08-11 21:38:54.451709,United States,,,
pisgah-brewing-co,Pisgah Brewing Co,micro,150 Eastside Dr,Black Mountain,North Carolina,28711-8208,http://www.pisgahbrewing.com,8286690190,2018-07-24 01:33:57.789226,2018-08-24 15:42:28.512474,United States,-82.35826,35.6079376,
lookout-brewing-company,Lookout Brewing Company,micro,103 S Ridgeway Ave,Black Mountain,North Carolina,28711-3550,http://www.lookoutbrewing.com,8283575169,2018-07-24 01:33:57.052242,2018-08-24 15:42:08.230351,United States,-82.3179459321174,35.619217,
