id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
laughing-sun-brewing,Laughing Sun Brewing,micro,107 N 5th St,Bismarck,North Dakota,58501-4026,http://www.laughingsunbrewing.com,7014009750,2018-07-24 01:33:59.217925,2018-08-24 15:43:17.59565,United States,-100.7844722,46.8056925,
edwinton-brewing-company,Edwinton Brewing Company,brewpub,407 E Main Ave,Bismarck,North Dakota,58501,http://www.edwinton.com,7017127700,2018-07-24 01:33:59.134207,2018-08-24 15:43:14.426362,United States,-100.785903591368,46.8053537714005,
bismarck-brewing,Bismarck Brewing,brewpub,1100 Canada Ave. Suite 1,Bismark,North Dakota,58503,http://www.bismarckbrewing.com,,2018-07-24 01:33:59.043824,2018-08-11 21:38:54.557538,United States,,,
drekker-brewing-company,Drekker Brewing Company,micro,630 1st Ave N Ste 6,Fargo,North Dakota,58102-5267,http://www.drekkerbrewing.com,7015406808,2018-07-24 01:33:59.101615,2018-08-11 21:38:54.728193,United States,,,
fargo-brewing-co,Fargo Brewing Co,micro,610 University Dr N,Fargo,North Dakota,58102-4342,http://www.fargobrewing.com,7014782337,2018-07-24 01:33:59.148871,2018-08-11 21:38:54.941307,United States,,,
kilstone-brewing,Kilstone Brewing,micro,764 34th St N Unit R,Fargo,North Dakota,58102-3097,http://www.kilstonebrewing.com,7018935224,2018-07-24 01:33:59.204176,2018-08-11 21:38:55.120258,United States,,,
granite-city-food-and-brewery-#3,Granite City Food & Brewery (#3),brewpub,1636 42nd St SW,Fargo,North Dakota,58103-3324,http://www.gcfb.net,7012933000,2018-07-24 01:33:59.17636,2018-08-24 15:43:16.004284,United States,-96.8500756,46.8559768,
rhombus-guys-brewing-co,Rhombus Guys Brewing Co,brewpub,116 S 3rd St,Grand Forks,North Dakota,58201-4784,http://www.rhombusguysbrewing.com,7017570598,2018-07-24 01:33:59.243531,2018-08-24 15:43:18.210233,United States,-97.0286822,47.923923,
half-brothers-brewing-company,Half Brothers Brewing Company,brewpub,17 N 3rd St,Grand Forks,North Dakota,58203-3713,http://www.halfbrothersbrewing.com,7017570805,2018-07-24 01:33:59.190509,2018-08-24 15:43:16.515728,United States,-97.0315443,47.9256052,
buffalo-commons-brewing-company,Buffalo Commons Brewing Company,micro,2307 Memorial Hwy,Mandan,North Dakota,58554-4624,http://www.buffalocommonsbeer.com,7015952255,2018-07-24 01:33:59.072174,2018-08-24 15:43:12.269279,United States,-100.861826744186,46.8240905581395,
dialectic-brewing-company,Dialectic Brewing Company,micro,416 W Main St,Mandan,North Dakota,58554,http://www.dialecticbrewingcompany.com,7013181328,2018-07-24 01:33:59.086878,2018-08-24 15:43:12.851684,United States,-100.895093700031,46.8257882775223,
drumconrath-brewing-company,Drumconrath Brewing Company,micro,349 Knutson St Unit A,Mapleton,North Dakota,58059-4042,,,2018-07-24 01:33:59.120092,2018-08-11 21:38:54.778887,United States,,,
black-leg-brewery,Black Leg Brewery,planning,,McKenzie,North Dakota,58572-9649,,,2018-07-24 01:33:59.056913,2018-08-11 21:38:54.599173,United States,,,
souris-river-brewing,Souris River Brewing,brewpub,32 3rd St NE,Minot,North Dakota,58703-3108,http://www.sourisriverbrewing.com,7018371884,2018-07-24 01:33:59.25646,2018-08-24 15:43:18.826595,United States,-101.288321818023,48.2368652294609,
stonehome-brewing-company,Stonehome Brewing Company,brewpub,313 Fox Hills Pkwy,Watford City,North Dakota,58854,http://www.stonehomebrewing.com,7014442337,2018-07-24 01:33:59.270375,2018-08-11 21:38:55.280565,United States,,,
flatland-brewery,Flatland Brewery,micro,"3140 Bluestem Dr, Ste 105",West Fargo,North Dakota,58078-8009,http://www.flatlandbrewery.com,7013531178,2018-07-24 01:33:59.162558,2018-08-24 15:43:15.531525,United States,-96.884736422929,46.8342507992405,
