id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
two-monks-brewing-company,Two Monks Brewing Company,micro,352 Massillon Rd,Akron,Ohio,44312-2021,http://www.2monksbru.com,2347382337,2018-07-24 01:34:03.493272,2018-08-24 15:45:15.418183,United States,-81.4629236768124,41.0520502548408,
akronym-brewing-llc,Akronym Brewing LLC,micro,58 E Market St,Akron,Ohio,4430,http://www.akronymbrewing.com,3306208274,2018-07-24 01:33:59.408302,2018-08-24 15:43:22.076854,United States,-81.516458822277,41.0851219267793,
aqueduct-brewing,Aqueduct Brewing,micro,529 Grant St Ste 106,Akron,Ohio,44311-1184,http://www.aqueductbrewing.shutterfly.com,3306066583,2018-07-24 01:33:59.459423,2018-08-24 15:43:23.190484,United States,-81.5178848685887,41.0698532030387,
hoppin-frog-brewing-co,Hoppin' Frog Brewing Co,micro,1680 E Waterloo Rd Ste F,Akron,Ohio,44306-4523,http://www.hoppinfrog.com,,2018-07-24 01:34:01.191732,2018-08-11 21:38:59.539591,United States,,,
lock-15-brewing-co,Lock 15 Brewing Co,planning,,Akron,Ohio,44304-1035,http://www.lock15brewing.com,,2018-07-24 01:34:01.515621,2018-08-11 21:39:00.388781,United States,,,
missing-falls-brewery,Missing Falls Brewery,planning,,Akron,Ohio,44311-1079,,3308086097,2018-07-24 01:34:01.828302,2018-08-11 21:39:01.389564,United States,,,
mucky-duck-brewery,Mucky Duck Brewery,brewpub,4019 S Main St,Akron,Ohio,44319-3668,,3306445444,2018-07-24 01:34:01.951782,2018-08-24 15:44:32.667287,United States,-81.5268804,41.0629094,
rshea-brewing,R.Shea Brewing,micro,1662 Merriman Rd,Akron,Ohio,44313-9000,http://www.rsheabrewing.com,3307945654,2018-07-24 01:34:02.574397,2018-08-24 15:44:48.221836,United States,-81.5534150333579,41.134899952298,
roobrew,Roobrew,contract,,Akron,Ohio,44311-1051,http://www.roobrew.com,3307033947,2018-07-24 01:34:02.79362,2018-08-11 21:39:03.87714,United States,,,
the-brick-oven-brewpub,The Brick Oven Brewpub,brewpub,604 Canton Rd,Akron,Ohio,44312-2513,http://www.thebrickovenbrewpub.com,3304757005,2018-07-24 01:34:03.256634,2018-08-24 15:45:07.804521,United States,-81.4373419398895,41.0471953371375,
thirsty-dog-brewing-company,Thirsty Dog Brewing Company,micro,529 Grant St Ste 103,Akron,Ohio,44311-1184,http://www.thirstydog.com,3302522739,2018-07-24 01:34:03.387817,2018-08-24 15:45:11.684411,United States,-81.5178848685887,41.0698532030387,
veteran-brewhouse,Veteran Brewhouse,micro,829 CR 801,Ashland,Ohio,44805,http://www.veteranbrewhouse.com,4196064014,2018-07-24 01:34:03.561861,2018-08-11 21:39:06.605313,United States,,,
uniontown-brewing-co,Uniontown Brewing Co.,brewpub,105 W Main St,Ashland,Ohio,44805-2221,http://www.uniontownbrewing.com,4199088542,2018-07-24 01:34:03.506063,2018-08-24 15:45:15.959589,United States,-82.3163893181818,40.8686237954545,
jackie-os-brewery,Jackie O's Brewery,micro,25 Campbell St,Athens,Ohio,45701-2616,,6147473434,2018-07-24 01:34:01.283792,2018-08-24 15:44:11.587098,United States,-82.0905355476436,39.3315139,
jackie-os-pub-and-brewery,Jackie O's Pub & Brewery,brewpub,22-24 W Union St,Athens,Ohio,45701-2818,http://www.jackieos.com,7405929686,2018-07-24 01:34:01.296584,2018-08-24 15:44:12.145201,United States,-82.1021617142857,39.3276418571429,
little-fish-brewing-company,Little Fish Brewing Company,micro,8675 Armitage Rd,Athens,Ohio,45701-8900,http://www.littlefishbrewing.com,7402046187,2018-07-24 01:34:01.489162,2018-08-24 15:44:18.85203,United States,-82.1295773821057,39.3333322660354,
devils-kettle-brewing,Devil's Kettle Brewing,micro,97 Columbus Rd,Athens,Ohio,45701-1313,http://www.devilskettlebrewing.com,7405897187,2018-07-24 01:34:00.477948,2018-08-24 15:43:44.632218,United States,-82.0954317616037,39.3487142533636,
biker-brew-house,Biker Brew House,micro,5700 Interstate Blvd,Austintown,Ohio,44515-1170,http://www.bikerbrewhouse.com,,2018-07-24 01:33:59.573434,2018-08-11 21:38:55.960221,United States,,,
paladin-brewing,Paladin Brewing,micro,6520 Mahoning Ave,Austintown,Ohio,44515-2012,http://www.paladinbrewing.com,3305506338,2018-07-24 01:34:02.293731,2018-08-24 15:44:40.223121,United States,-80.7874274795918,41.099487,
railroad-brewing-company,Railroad Brewing Company,micro,1010 Center Rd,Avon,Ohio,44011-1206,http://www.railroadbrewingcompany.com,4407238234,2018-07-24 01:34:02.589321,2018-08-24 15:44:48.690248,United States,-82.0195372450403,41.4754617027622,
