id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
scissortail-brewing-co,Scissortail Brewing Co.,planning,,Bartlesville,Oklahoma,74003-7154,http://www.scissortailbrew.com,9186949948,2018-07-24 01:34:04.298685,2018-08-11 21:39:08.990236,United States,,,
broken-arrow-brewing-co,Broken Arrow Brewing Co.,micro,333 W Dallas St,Broken Arrow,Oklahoma,74012-4026,http://www.brokenarrowbrewingco.com,9182868101,2018-07-24 01:34:03.976693,2018-08-24 15:45:30.319806,United States,-95.7944889512195,36.0502661951219,
beavers-bend-brewery,Beavers Bend Brewery,micro,46 Coho Rd,Broken Bow,Oklahoma,74728-6765,http://www.beaversbendbrewery.com,5804943455,2018-07-24 01:34:03.881176,2018-08-11 21:39:07.445144,United States,,,
mountain-fork-brewery,Mountain Fork Brewery,micro,85 N Lukfata Trail Rd,Broken Bow,Oklahoma,74728-7025,http://www.mountainforkbrewery.com,5804943233,2018-07-24 01:34:04.194199,2018-08-11 21:39:08.591175,United States,,,
harbinger-beer-company-llc,Harbinger Beer Company LLC,planning,,Caddo,Oklahoma,74729-2606,http://harbingerbeer.com,5803809398,2018-07-24 01:34:04.09573,2018-08-11 21:39:08.082349,United States,,,
battered-boar-brewing-co,Battered Boar Brewing Co,micro,14700 Metro Plaza Blvd Ste F,Edmond,Oklahoma,73013-1991,http://www.batteredboar.com,4052545000,2018-07-24 01:34:03.8621,2018-08-11 21:39:07.408437,United States,,,
frenzy-brewing-company,Frenzy Brewing Company,planning,,Edmond,Oklahoma,73003-6250,,4059225437,2018-07-24 01:34:04.068943,2018-08-11 21:39:07.974343,United States,,,
land-run-craft-brewing-co,Land Run Craft Brewing Co.,planning,,El Reno,Oklahoma,73036-1019,,4056267176,2018-07-24 01:34:04.167675,2018-08-11 21:39:08.443058,United States,,,
choc-beer-co,Choc Beer Co,micro,120 SW Eighth St,Krebs,Oklahoma,74554-0066,http://www.petes.org,9183023002,2018-07-24 01:34:04.004682,2018-08-11 21:39:07.73662,United States,,,
lake-texoma-lodge-and-resort,Lake Texoma Lodge And Resort,brewpub,3263 US 70,Mead,Oklahoma,73449-5020,http://Laketexomalodge.com,5839310100,2018-07-24 01:34:04.151554,2018-08-24 15:45:35.719248,United States,-96.488335,33.998197,
royal-bavaria-brewhouse-restaurant-and-biergarten,"Royal Bavaria Brewhouse, Restaurant and Biergarten",brewpub,3401 S Sooner Rd,Moore,Oklahoma,73165-7218,http://royal-bavaria.com,4057997666,2018-07-24 01:34:04.285994,2018-08-24 15:45:39.234698,United States,-97.4235998,35.3148295,
beer-is-good-brewing-company,Beer Is Good Brewing Company,planning,,Norman,Oklahoma,73071-3914,,4058507678,2018-07-24 01:34:03.894443,2018-08-11 21:39:07.476494,United States,,,
405-brewing-co,(405) Brewing Co,micro,1716 Topeka St,Norman,Oklahoma,73069-8224,http://www.405brewing.com,4058160490,2018-07-24 01:34:03.808678,2018-08-24 15:45:25.884075,United States,-97.4681822227123,35.2573889069693,
black-mesa-brewing-company,Black Mesa Brewing Company,micro,3901 N Flood Ave,Norman,Oklahoma,73069,http://www.blackmesabrewing.com,4054081848,2018-07-24 01:34:03.921292,2018-08-24 15:45:29.113642,United States,-97.4819196,35.2761135,
brewery-in-planning-oklahoma-city-ok,"Brewery in Planning - Oklahoma City, OK",planning,,Oklahoma City,Oklahoma,73114-1522,,2147973282,2018-07-24 01:34:03.934688,2018-08-11 21:39:07.569483,United States,,,
bricktown-brewery,Bricktown Brewery,planning,,Oklahoma City,Oklahoma,73109-6712,,,2018-07-24 01:34:03.950255,2018-08-11 21:39:07.603339,United States,,,
angry-scotsman-brewing,Angry Scotsman Brewing,contract,704 W Reno Ave,Oklahoma City,Oklahoma,73102-2434,http://www.angryscotbrew.com,4053342708,2018-07-24 01:34:03.834823,2018-08-24 15:45:27.055399,United States,-97.6002769,35.4644206,
anthem-brewing-co,Anthem Brewing Co,micro,908 SW 4th St,Oklahoma City,Oklahoma,73109-1012,http://www.anthembrewing.com,4056040446,2018-07-24 01:34:03.847606,2018-08-24 15:45:27.586265,United States,-97.5279235995217,35.460996732566,
bricktown-brewery,Bricktown Brewery,brewpub,1 N Oklahoma Ave,Oklahoma City,Oklahoma,73104-2413,http://www.bricktownbrewery.com,4052322739,2018-07-24 01:34:03.962696,2018-08-24 15:45:29.749425,United States,-97.510181,35.567702,
red-dirt-brewing-co,Red Dirt Brewing Co,planning,,Oklahoma City,Oklahoma,73120-5133,,4058231632,2018-07-24 01:34:04.246825,2018-08-11 21:39:08.814993,United States,,,
stonecloud-brewing-co,Stonecloud Brewing Co.,micro,1012 NW 1st St Ste 101,Oklahoma City,Oklahoma,73106-7642,http://stonecloudbrewing.com,4056023966,2018-07-24 01:34:04.323446,2018-08-11 21:39:09.067931,United States,,,
elk-valley-brewing,Elk Valley Brewing,contract,520 N Meridian Ave,Oklahoma City,Oklahoma,73107-5723,,,2018-07-24 01:34:04.043077,2018-08-24 15:45:32.956865,United States,-97.6011607,35.5005056,
huebert-brewing-co,Huebert Brewing Co.,micro,421 SW 26th St,Oklahoma City,Oklahoma,73109-6712,http://www.huebertbrewing.com,4056346528,2018-07-24 01:34:04.122782,2018-08-24 15:45:34.767002,United States,-97.5202536538877,35.4384292026287,
roughtail-brewing,Roughtail Brewing,micro,1279 N Air Depot Blvd,Oklahoma City,Oklahoma,73110-3333,http://www.roughtailbeer.com,4057716517,2018-07-24 01:34:04.272498,2018-08-24 15:45:38.744852,United States,-97.4064432,35.5367322,
twisted-spike-brewing-company,Twisted Spike Brewing Company,micro,1 NW 10th St,Oklahoma City,Oklahoma,73103-4901,,,2018-07-24 01:34:04.335393,2018-08-24 15:45:40.359166,United States,-97.6785729,35.4787783,
vanessa-house-beer-company,Vanessa House Beer Company,micro,520 N Meridian Ave,Oklahoma City,Oklahoma,73107-5723,http://www.vanessahousebeerco.com,4058164870,2018-07-24 01:34:04.347699,2018-08-24 15:45:40.905508,United States,-97.6011607,35.5005056,
belle-isle-restaurant-and-brewing-co,Belle Isle Restaurant and Brewing Co,brewpub,1900 NW Expressway Ste 44,Oklahoma City,Oklahoma,73118-1832,http://www.okclive.com/belleisle,4058401911,2018-07-24 01:34:03.906951,2018-08-11 21:39:07.505649,United States,,,
coop-ale-works,COOP Ale Works,micro,4745 Council Heights Rd,Oklahoma City,Oklahoma,73179-4600,http://www.coopaleworks.com,4058422667,2018-07-24 01:34:04.017475,2018-08-24 15:45:31.826315,United States,-97.657762025,35.4185472,
vortex-alley-brewery,Vortex Alley Brewery,micro,220 E. Central Ave,Ponca City,Oklahoma,74601,,5803044781,2018-07-24 01:34:04.359659,2018-08-24 15:45:41.394225,United States,-97.08161761185,36.7024928980082,
fat-toad-brewing-company,Fat Toad Brewing Company,micro,3986 W 530 Rd,Pryor,Oklahoma,74361,,9188641308,2018-07-24 01:34:04.05597,2018-08-11 21:39:07.921144,United States,,,
iron-monk-brewing-company,Iron Monk Brewing Company,micro,519 S Husband St,Stillwater,Oklahoma,74074-4031,http://www.ironmonkbeer.com,4057142585,2018-07-24 01:34:04.136727,2018-08-24 15:45:35.251652,United States,-97.0595399,36.1163409,
prairie-artisan-ales,Prairie Artisan Ales,micro,1803B S 49th West Ave,Tulsa,Oklahoma,74107-,http://www.prairieales.com,9189494318,2018-07-24 01:34:04.233489,2018-08-24 15:45:37.690052,United States,-96.0481155,36.0784446,
american-solera,American Solera,micro,1801 S 49th West Ave,Tulsa,Oklahoma,74107-2201,http://www.americansolera.com,9189494318,2018-07-24 01:34:03.822179,2018-08-24 15:45:26.471548,United States,-96.0481155,36.0784446,
cabin-boys-brewery,Cabin Boys Brewery,micro,1717 E. 7th Steeet,Tulsa,Oklahoma,74104,http://www.cabinboysbrewery.com,9189334033,2018-07-24 01:34:03.989549,2018-08-11 21:39:07.707229,United States,,,
new-era-fine-fermentations,New Era Fine Fermentations,planning,,Tulsa,Oklahoma,74120,,9188636688,2018-07-24 01:34:04.207471,2018-08-11 21:39:08.632467,United States,,,
welltown-brewing,Welltown Brewing,micro,114 S. Archer Street,Tulsa,Oklahoma,74103-2202,,,2018-07-24 01:34:04.371684,2018-08-11 21:39:09.270659,United States,,,
dead-armadillo-brewery,Dead Armadillo Brewery,micro,1004 E 4th St,Tulsa,Oklahoma,74120-3222,http://www.dabrewery.com,9182328627,2018-07-24 01:34:04.030088,2018-08-24 15:45:32.380775,United States,-95.9795864081633,36.1556190816327,
hanson-brothers-beer-company,Hanson Brothers Beer Company,contract,209 N Main St,Tulsa,Oklahoma,74103-2005,,,2018-07-24 01:34:04.08283,2018-08-24 15:45:33.736309,United States,-95.9936662965295,36.1585125687048,
high-gravity-brewing-company,High Gravity Brewing Company,micro,6808 S Memorial Dr STE 144,Tulsa,Oklahoma,74133,http://PippinsTaproom.com,9184612605,2018-07-24 01:34:04.109054,2018-08-24 15:45:34.274759,United States,-95.8887734,36.0655116,
marshall-brewing-co-llc,"Marshall Brewing Co, LLC",micro,618 S Wheeling Ave,Tulsa,Oklahoma,74104-3214,http://www.marshallbrewing.com,9182928781,2018-07-24 01:34:04.181026,2018-08-24 15:45:36.222929,United States,-95.9646299,36.134457,
nothings-left-brewing-co,Nothing's Left Brewing Co.,contract,1502 E 6th St,Tulsa,Oklahoma,74120-4026,http://www.nothingsleftbrew.co,,2018-07-24 01:34:04.220517,2018-08-24 15:45:37.205878,United States,-95.9925359591837,36.1404729183674,
willows-family-ales,Willows Family Ales,micro,418 S Peoria Ave,Tulsa,Oklahoma,74120,,9188956798,2018-07-24 01:34:04.384145,2018-08-24 15:45:42.409188,United States,-95.9759122588235,36.0220118941176,
renaissance-brewing-co,Renaissance Brewing Co,micro,1147 S Lewis Ave,Tulsa,Oklahoma,74104-3905,http://www.renaissancebeer.com,9184090551,2018-07-24 01:34:04.259771,2018-08-24 15:45:38.247115,United States,-95.9578601,36.0617778,
