id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
3-sheets-brewery,3 Sheets Brewery,micro,136 W 1st Ave,Albany,Oregon,97321,http://www.3sheetsbrewery.com,5416190183,2018-07-24 01:34:04.502392,2018-08-11 21:39:09.559114,United States,,,
deluxe-brewing-co,Deluxe Brewing Co,micro,PO Box 3358,Albany,Oregon,97321-0713,http://www.deluxebrewing.com,5419287699,2018-07-24 01:34:05.706231,2018-08-11 21:39:12.893535,United States,,,
calapooia-brewing-co-/-siletz-ales,Calapooia Brewing Co / Siletz Ales,micro,140 NE Hill St,Albany,Oregon,97321-3002,http://www.calapooiabrewing.com,5419281931,2018-07-24 01:34:05.311216,2018-08-11 21:39:11.818716,United States,,,
siuslaw-brewing,Siuslaw Brewing,micro,16558 Alsea Hwy,Alsea,Oregon,97324-9624,,5417401606,2018-07-24 01:34:07.832095,2018-08-24 16:04:56.528694,United States,-123.690664523597,44.3533590022341,
caldera-brewing-co,Caldera Brewing Co,micro,590 Clover Ln,Ashland,Oregon,97520-3709,http://www.calderabrewing.com,5414824677,2018-07-24 01:34:05.325705,2018-08-24 15:46:07.515668,United States,-122.663374407476,42.1837384599099,
standing-stone-brewing-co,Standing Stone Brewing Co,micro,101 Oak St,Ashland,Oregon,97520-1802,http://www.standingstonebrewing.com,5414822448,2018-07-24 01:34:07.908628,2018-08-24 16:05:04.021907,United States,-122.714579315999,42.1976451,
hondos-brew-and-cork-pub,Hondo's Brew and Cork Pub,micro,2703 Marine Dr,Astoria,Oregon,97103-2900,http://www.hondosbrew.net,5033252234,2018-07-24 01:34:06.246037,2018-08-24 16:02:11.91167,United States,-123.814042588465,46.1888581655929,
reach-break-brewing,Reach Break Brewing,micro,1343 Duane St,Astoria,Oregon,97103-3917,,5034680743,2018-07-24 01:34:07.490247,2018-08-24 16:04:23.323863,United States,-123.828993084975,46.1883674134406,
astoria-brewing-company,Astoria Brewing Company,micro,1196 Marine Dr,Astoria,Oregon,97103-4112,,5037413040,2018-07-24 01:34:04.67981,2018-08-24 15:45:50.938261,United States,-123.831516,46.1898025918367,
buoy-beer-company,Buoy Beer Company,micro,1 8th St,Astoria,Oregon,97103-4506,http://www.buoybeer.com,5033254540,2018-07-24 01:34:05.280426,2018-08-24 15:46:06.146198,United States,-123.835151010323,46.1913235,
fort-george-brewery,Fort George Brewery,regional,1483 Duane St,Astoria,Oregon,97103-3819,http://www.fortgeorgebrewery.com,5033257468,2018-07-24 01:34:05.954731,2018-08-24 16:01:41.124187,United States,-123.8274681,46.1883837,
wet-dog-cafe-and-brewery,Wet Dog Cafe & Brewery,brewpub,990 Astor St,Astoria,Oregon,97103-4201,http://www.wetdogcafe.com,5033256975,2018-07-24 01:34:08.341727,2018-08-24 16:05:43.05236,United States,-123.835821,46.190557,
barley-browns-brewpub,Barley Browns Brewpub,micro,2190 Main St,Baker City,Oregon,97814-2655,http://www.barleybrowns.com,5415234266,2018-07-24 01:34:04.753166,2018-08-24 15:45:53.74343,United States,-117.8294962,44.7787802,
baker-city-brewing-co,Baker City Brewing Co,micro,2200 Main Street,Baker City,Oregon,97814,http://www.barleybrowns.com,5415232337,2018-07-24 01:34:04.728386,2018-08-24 15:45:52.79384,United States,-117.829347099531,44.77928865,
bandon-brewing-company,Bandon Brewing Company,brewpub,395 2nd St SE,Bandon,Oregon,97411-9605,http://www.bandonbrewingco.com,5413473911,2018-07-24 01:34:04.740289,2018-08-24 15:45:53.265854,United States,-124.412249423341,43.1191571987033,
