id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
center-square-brewing-/-altland-house,Center Square Brewing / Altland House,brewpub,1 Center Sq,Abbottstown,Pennsylvania,17301-9502,http://centersquarebrew.com,7172599535,2018-07-24 01:34:09.718938,2018-08-11 21:39:24.661595,United States,,,
stoudts-brewing-co,Stoudts Brewing Co,micro,Â Rt. 272 2800 North Reading Road,Adamstown,Pennsylvania,19501,http://www.stoudtsbeer.com,7174844386,2018-07-24 01:34:12.868066,2018-08-11 21:39:31.858085,United States,,,
allentown-brew-works,Allentown Brew Works,brewpub,812 Hamilton St,Allentown,Pennsylvania,18101-2437,http://www.thebrewworks.com,6104337777,2018-07-24 01:34:08.690116,2018-08-24 16:06:11.185634,United States,-75.4575021,40.6060468,
fegleys-brew-works,Fegley's Brew Works,brewpub,812 Hamilton St,Allentown,Pennsylvania,18101-2437,,,2018-07-24 01:34:10.49153,2018-08-24 16:08:33.057946,United States,-75.4575021,40.6060468,
hijinx-brewing-co,HiJinx Brewing Co,micro,905 Harrison St,Allentown,Pennsylvania,18103-3188,,,2018-07-24 01:34:10.856524,2018-08-24 16:09:06.225608,United States,-75.4745370824742,40.5934361752577,
railroad-city-brewing-company,Railroad City Brewing Company,brewpub,1415 11th Ave Ste 1,Altoona,Pennsylvania,16601-3303,http://www.railroadcitybrewing.com,8142012827,2018-07-24 01:34:12.120792,2018-08-11 21:39:30.141139,United States,,,
forest-and-main-brewery-and-pub,Forest & Main Brewery and Pub,brewpub,61 N Main St,Ambler,Pennsylvania,19002-5728,http://www.forestandmain.com,2155421776,2018-07-24 01:34:10.546176,2018-08-24 16:08:38.982752,United States,-75.2250879,40.1553233,
tannery-run-brew-works,Tannery Run Brew Works,planning,,Ambler,Pennsylvania,19002-4407,http://www.tanneryrun.com,2156131113,2018-07-24 01:34:12.957681,2018-08-11 21:39:32.104007,United States,,,
rotunda-brewing,Rotunda Brewing,brewpub,245 W Main St,Annville,Pennsylvania,17003-1326,http://www.batdorfrestaurant.com/rbc,7178672337,2018-07-24 01:34:12.34875,2018-08-24 16:11:32.547556,United States,-76.520098,40.32856075,
iron-hill-brewery-and-restaurant-ardmore,Iron Hill Brewery & Restaurant (Ardmore),brewpub,60 Greenfield Ave,Ardmore,Pennsylvania,19003-1204,http://www.ironhillbrewery.com,3028882739,2018-07-24 01:34:11.102104,2018-08-24 16:09:32.713815,United States,-75.2975536419238,40.0085409727079,
tired-hands-brewing-co,Tired Hands Brewing Co,brewpub,16 Ardmore Ave,Ardmore,Pennsylvania,19003-1302,http://www.tiredhands.com,6108967621,2018-07-24 01:34:13.16969,2018-08-24 16:12:48.68366,United States,-75.2936914,40.0086029,
