id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
mohegan-cafe-and-brewery,Mohegan Cafe and Brewery,brewpub,213 Water St,Block Island,Rhode Island,02807,,4014665911,2018-07-24 01:34:13.767875,2018-08-11 21:39:34.124674,United States,,,
buttonwoods-brewery,Buttonwoods Brewery,micro,530 Wellington Ave Ste 22,Cranston,Rhode Island,02910-2997,http://www.buttonwoodsbrewery.com,4014612337,2018-07-24 01:34:13.688565,2018-08-11 21:39:33.870727,United States,,,
brutopia-brewery-and-kitchen,Brutopia Brewery and Kitchen,brewpub,505 Atwood Ave,Cranston,Rhode Island,02920-5327,http://www.brutopiabrewery.com,4014648877,2018-07-24 01:34:13.675206,2018-08-24 16:13:32.643304,United States,-71.4716961299999,41.78983825,
revival-brewing,Revival Brewing,proprietor,505 Atwood Ave,Cranston,Rhode Island,02920-5327,http://www.revivalbrewing.com,4013727009,2018-07-24 01:34:13.861669,2018-08-24 16:13:53.865732,United States,-71.4716961299999,41.78983825,
brewery-in-planning-east-greenwich,Brewery in Planning - east greenwich,planning,,East Greenwich,Rhode Island,02818-1645,,,2018-07-24 01:34:13.662869,2018-08-11 21:39:33.781908,United States,,,
tilted-barn-brewery,Tilted Barn Brewery,micro,1 Helmsley Pl,Exeter,Rhode Island,02822-3740,http://www.tiltedbarnbrewery.com,4018296088,2018-07-24 01:34:13.915078,2018-08-24 16:14:00.852124,United States,-71.523075,41.554186,
coddington-brewing-co,Coddington Brewing Co,brewpub,210 Coddington Hwy,Middletown,Rhode Island,02842-4884,,,2018-07-24 01:34:13.701578,2018-08-24 16:13:35.61268,United States,-71.3049167027027,41.5186951351351,
taproot-brewing-co-/-newport-vineyards,Taproot Brewing Co / Newport Vineyards,micro,909 E Main Rd,Middletown,Rhode Island,02842-5529,http://www.newportvineyards.com,4018485161,2018-07-24 01:34:13.901651,2018-08-24 16:13:59.421578,United States,-71.2726634,41.5293214,
newport-storm-brewery-/-coastal-extreme-brewing-company,Newport Storm Brewery / Coastal Extreme Brewing Company,micro,293 JT Connell Hwy,Newport,Rhode Island,02840,http://www.newportstorm.com,4018495232,2018-07-24 01:34:13.794187,2018-08-11 21:39:34.213269,United States,,,
foolproof-brewing-company,Foolproof Brewing Company,micro,241 Grotto Ave,Pawtucket,Rhode Island,02860-3403,http://www.foolproofbrewing.com,4017215970,2018-07-24 01:34:13.729098,2018-08-24 16:13:38.640603,United States,-71.4101783717949,41.8693906923077,
narragansett-brewing-co,Narragansett Brewing Co,regional,461 Main St,Pawtucket,Rhode Island,02860-2913,http://www.narragansettbeer.com,4014378970,2018-07-24 01:34:13.780723,2018-08-24 16:13:44.996018,United States,-71.3884771470588,41.87668875,
crooked-current-brewery,Crooked Current Brewery,micro,560 Mineral Spring Ave Ste 2-112,Pawtucket,Rhode Island,02860-8612,http://www.crookedcurrentbrewery.com,4014738312,2018-07-24 01:34:13.716034,2018-08-11 21:39:33.96522,United States,,,
ragged-island-brewing-company,Ragged Island Brewing Company,micro,200 High Point Ave Unit B6,"Portsmouth ",Rhode Island,02871,http://www.raggedislandbrewing.com,4013182991,2018-07-24 01:34:13.834875,2018-08-11 21:39:34.303933,United States,,,
long-live-beerworks,Long Live Beerworks,micro,425 W Fountain St Unit 104,Providence,Rhode Island,02903-3530,http://www.longlivebeerworks.com,,2018-07-24 01:34:13.754923,2018-08-11 21:39:34.085316,United States,,,
providence-brewing-company,Providence Brewing Company,micro,1920 Mineral Spring Ave Unit 11,Providence,Rhode Island,02904-3742,http://www.pvdbc.com,4013491260,2018-07-24 01:34:13.821452,2018-08-11 21:39:34.272921,United States,,,
union-station-brewery,Union Station Brewery,brewpub,36 Exchange Ter Ste 2,Providence,Rhode Island,02903-1798,http://www.johnharvards.com,4012742739,2018-07-24 01:34:13.941905,2018-08-11 21:39:34.777593,United States,,,
trinity-brewhouse,Trinity Brewhouse,brewpub,186 Fountain St,Providence,Rhode Island,02903-1813,http://www.trinitybrewhouse.com,4014532337,2018-07-24 01:34:13.928659,2018-08-24 16:14:02.33651,United States,-71.4168238,41.8223638,
whalers-brewing-company,Whalers Brewing Company,micro,1174 Kingstown Rd,Wakefield,Rhode Island,02879-8316,https://whalers.com,4015520002,2018-07-24 01:34:13.955356,2018-08-24 16:14:05.240667,United States,-71.4970673093227,41.4506997,
sons-of-liberty-beer-and-spirits-co,Sons of Liberty Beer & Spirits Co.,micro,1425 Kingstown Rd,Wakefield,Rhode Island,02879-8313,http://www.solspirits.com,4012844006,2018-07-24 01:34:13.888498,2018-08-24 16:13:57.797975,United States,-71.5052599881523,41.4545347,
apponaug-brewing,Apponaug Brewing,planning,,Warwick,Rhode Island,02886,http://www.apponaugbrewing.com,4013840512,2018-07-24 01:34:13.65004,2018-08-11 21:39:33.75519,United States,,,
proclamation-ale-company,Proclamation Ale Company,micro,298 Kilvert Street,Warwick,Rhode Island,02886,http://www.proclamationaleco.com,4017876450,2018-07-24 01:34:13.807839,2018-08-24 16:13:47.906211,United States,-71.445959,41.730117,
shaidzon-beer-company-llc,"Shaidzon Beer Company, LLC",micro,141 Fairgrounds Rd.,West Kingston,Rhode Island,02892,http://www.shaidzonbeerco.com,4018293147,2018-07-24 01:34:13.874858,2018-08-24 16:13:56.352803,United States,-71.5676323189066,41.4812798522534,
grey-sail-brewing-co-llc,Grey Sail Brewing Co. LLC,micro,63 Canal St,Westerly,Rhode Island,02891-1552,http://www.greysailbrewing.com,4102127592,2018-07-24 01:34:13.741844,2018-08-24 16:13:40.471532,United States,-71.832459,41.385011,
ravenous-brewing-company,Ravenous Brewing Company,micro,840 Cumberland Hill Rd,Woonsocket,Rhode Island,02895-5657,http://www.ravenousbrew.com,4012165331,2018-07-24 01:34:13.848151,2018-08-24 16:13:52.43644,United States,-71.48836293744,41.9957057433531,
