id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
aiken-brewing-co,Aiken Brewing Co,brewpub,140 Laurens St SW,Aiken,South Carolina,29801-3848,http://www.aikenbrewingcompany.com,8035020707,2018-07-24 01:34:13.999153,2018-08-24 16:14:08.10786,United States,-81.7228141,33.5603084,
carolina-bauernhaus-ales,Carolina Bauernhaus Ales,brewpub,115 Federal St,Anderson,South Carolina,29625-4364,http://carolinabauernhaus.com,8644018167,2018-07-24 01:34:14.180032,2018-08-11 21:39:35.347315,United States,,,
salt-marsh-brewing,Salt Marsh Brewing,brewpub,203 Bluffton Rd,Bluffton,South Carolina,29910-6213,http://www.facebook.com/Saltmarshbrew/,8433219556,2018-07-24 01:34:14.854569,2018-08-24 16:15:15.831483,United States,-80.8604897466436,32.2372909021909,
southern-barrel-brewing-company,Southern Barrel Brewing Company,micro,375 Buckwalter Place Blvd,Bluffton,South Carolina,29910,http://www.southernbarrelbrewingco.com,8438372337,2018-07-24 01:34:14.908314,2018-08-24 16:15:20.213428,United States,-80.9199124,32.2715377,
new-groove-artisan-brewery,New Groove Artisan Brewery,brewpub,4078 Highway 9,Boiling Springs,South Carolina,29316-8501,http://www.newgroovebrew.com,8645863900,2018-07-24 01:34:14.671977,2018-08-24 16:14:54.723052,United States,-82.017032,35.072809,
steel-hands-brewing,Steel Hands Brewing,planning,,Cayce,South Carolina,29033-3439,,8039200592,2018-07-24 01:34:14.93438,2018-08-11 21:39:37.838379,United States,,,
dockerys,Dockery's,brewpub,186 Seven Farms Dr Ste F399,Charleston,South Carolina,29492-8510,http://www.dockerysdi.com,8432841173,2018-07-24 01:34:14.329207,2018-08-11 21:39:35.740392,United States,,,
fams-brewing-company,Fam's Brewing Company,brewpub,1291 Folly Rd,Charleston,South Carolina,29412,http://www.famspizza.com,8437937733,2018-07-24 01:34:14.355588,2018-08-11 21:39:35.816345,United States,,,
freehouse-brewery,Freehouse Brewery,micro,2895 Pringle St Ste B,Charleston,South Carolina,29405-7506,http://www.freehousebeer.com,,2018-07-24 01:34:14.394733,2018-08-11 21:39:35.877918,United States,,,
frothy-beard-brewing-co,Frothy Beard Brewing Co,micro,1401 Sam Rittenberg Blvd Ste 1,Charleston,South Carolina,29407-5031,http://www.frothybeard.com,8437932970,2018-07-24 01:34:14.409574,2018-08-11 21:39:35.908509,United States,,,
holy-city-brewing,Holy City Brewing,micro,4155 Dorchester Rd Ste C,Charleston,South Carolina,29405-7486,http://www.holycitybrewing.com,8432256089,2018-07-24 01:34:14.515368,2018-08-11 21:39:36.144409,United States,,,
charles-towne-fermentory,Charles Towne Fermentory,micro,809 Savannah Hwy,Charleston,South Carolina,29407-7278,http://www.chsfermentory.com,8436410431,2018-07-24 01:34:14.195526,2018-08-24 16:14:17.021412,United States,-79.985096,32.781811,
cooper-river-brewing-company,Cooper River Brewing Company,micro,2201-B Mechanic St,Charleston,South Carolina,29405,http://www.cooperriverbrewing.com,8434057979,2018-07-24 01:34:14.289179,2018-08-24 16:14:26.11168,United States,-79.954817,32.817102,
fattys-beer-works,Fatty's Beer Works,contract,1436 Meeting Street Rd,Charleston,South Carolina,29405-9342,http://www.followfatty.com,8439745330,2018-07-24 01:34:14.368858,2018-08-24 16:14:33.645761,United States,-79.950716,32.816629,
munkle-brewing-company,Munkle Brewing Company,micro,1513 Meeting Street Rd,Charleston,South Carolina,29405-9301,http://MunkleBrewing.com,8437893109,2018-07-24 01:34:14.658998,2018-08-24 16:14:53.123595,United States,-79.9506892780644,32.8185299963622,
revelry-brewing-co,Revelry Brewing Co.,micro,10 Conroy St,Charleston,South Carolina,29403-3815,http://www.revelrybrewingco.com,8432036194,2018-07-24 01:34:14.787231,2018-08-24 16:15:08.203154,United States,-79.9439381993063,32.8072823854694,
snafu-brewing-company,Snafu Brewing Company,micro,3280 Industry Dr,Charleston,South Carolina,29418-8452,http://www.snafubrewingcompany.com,8437674121,2018-07-24 01:34:14.894595,2018-08-24 16:15:18.782055,United States,-80.0664232,32.9255082,
the-hold-by-revelry-brewing,The Hold By Revelry Brewing,micro,36 Romney St,Charleston,South Carolina,29403-3825,http://www.revelrybrewingco.com,,2018-07-24 01:34:14.973296,2018-08-24 16:15:24.796959,United States,-79.9456937208899,32.8076133599163,
tradesman-brewing-company,Tradesman Brewing Company,micro,1639 Tatum St,Charleston,South Carolina,29412-2646,http://www.tradesmanbrewing.com,8434101315,2018-07-24 01:34:15.056333,2018-08-24 16:15:27.714298,United States,-79.9732138160205,32.7601392286237,
edmundas-oast-brewing-co,Edmundâs Oast Brewing Co,brewpub,1505 King St Extension,Charleston,South Carolina,29405,http://www.edmundsoast.com,8437183224,2018-07-24 01:34:14.342254,2018-08-11 21:39:35.781559,United States,,,
palmetto-brewing-co,Palmetto Brewing Co,regional,289 Huger St Bldg B,Charleston,South Carolina,29403-4560,http://www.palmettobrewery.com,8439370903,2018-07-24 01:34:14.722929,2018-08-11 21:39:36.795222,United States,,,
twisted-cypress-brewing-company,Twisted Cypress Brewing Company,micro,1897 Sam Rittenberg Blvd,Charleston,South Carolina,29407-4870,http://www.twistedcypressbrewingco.com,8436081899,2018-07-24 01:34:15.069214,2018-08-24 16:15:29.211155,United States,-80.0219063047438,32.7990541201577,
conquest-brewing-co,Conquest Brewing Co.,micro,947 S Stadium Rd,Columbia,South Carolina,29201-4724,http://www.conquestbrewing.com,8037123063,2018-07-24 01:34:14.275614,2018-08-24 16:14:24.633496,United States,-81.023822122449,33.9710088163265,
river-rat-brewery,River Rat Brewery,brewpub,1231 Shop Rd,Columbia,South Carolina,29201-4744,http://www.riverratbrewery.com,8037245712,2018-07-24 01:34:14.811819,2018-08-24 16:15:11.254459,United States,-81.0112538602882,33.9732558901252,
brewery-in-planning-dulles,Brewery In Planning - Dulles,planning,,Columbia,South Carolina,29229-7322,,,2018-07-24 01:34:14.101725,2018-08-11 21:39:35.148747,United States,,,
columbia-craft-brewing-company,Columbia Craft Brewing Company,brewpub,520 Greene St,Columbia,South Carolina,29201-3612,http://www.columbiacraft.com,8037996027,2018-07-24 01:34:14.246566,2018-08-24 16:14:21.614918,United States,-81.0420095718153,33.992366626412,
cottontown-brew-lab,CottonTown Brew Lab,micro,1223 Franklin St,Columbia,South Carolina,29201-1958,http://www.ctbl.asurewebsites.net,8444273952,2018-07-24 01:34:14.302558,2018-08-24 16:14:27.779929,United States,-81.0400401428571,34.0169502857143,
swamp-cabbage-brewing-company,Swamp Cabbage Brewing Company,micro,921 Brookwood Dr,Columbia,South Carolina,29201-4609,http://www.swampcabbagebrewing.com,8039392589,2018-07-24 01:34:14.946562,2018-08-11 21:39:37.900424,United States,,,
twisted-spur-brewing,Twisted Spur Brewing,brewpub,705 Gervais St Ste A,Columbia,South Carolina,29201-6012,,8037640203,2018-07-24 01:34:15.088468,2018-08-11 21:39:38.226897,United States,,,
hunter-gatherer-brewery-and-alehouse,Hunter Gatherer Brewery and Alehouse,brewpub,900 Main St,Columbia,South Carolina,29201-3964,http://www.huntergathererbrewery.com,8037480540,2018-07-24 01:34:14.528093,2018-08-24 16:14:45.766944,United States,-81.0315874,33.997366,
southern-hops-brewing-co,Southern Hops Brewing Co.,brewpub,911 Sunset Acres Ln,Florence,South Carolina,29501-6073,http://www.southernhops.com,8436671900,2018-07-24 01:34:14.921156,2018-08-11 21:39:37.785346,United States,,,
seminar-brewing,Seminar Brewing,brewpub,551 W Lucas St,Florence,South Carolina,29501-2817,http://seminar brewing.com,8436659200,2018-07-24 01:34:14.867854,2018-08-24 16:15:17.340041,United States,-79.7883766616541,34.2209957042607,
full-spectrum-brewing-co,Full Spectrum Brewing Co,micro,2180 Carolina Place Dr Ste 101,Fort Mill,South Carolina,29708-7002,http://www.fullspectrumbrewingco.com,8037924556,2018-07-24 01:34:14.423827,2018-08-24 16:14:38.16636,United States,-80.9664999359971,35.0326818386014,
iron-hill-brewery-and-restaurant-greenville,Iron Hill Brewery & Restaurant - Greenville,brewpub,741 Haywood Rd,Greenville,South Carolina,29607,http://www.ironhillbrewery.com,8645687009,2018-07-24 01:34:14.553918,2018-08-11 21:39:36.235137,United States,,,
liability-brewing-co,Liability Brewing Co.,planning,,Greenville,South Carolina,29609-5559,http://www.liabilitybrewing.co,,2018-07-24 01:34:14.592882,2018-08-11 21:39:36.354545,United States,,,
brewery-85,Brewery 85,micro,6 Whitlee Ct,Greenville,South Carolina,29607-3791,http://www.brewery85.com,,2018-07-24 01:34:14.088076,2018-08-24 16:14:13.983377,United States,-82.3491500488271,34.8028183,
think-tank-brew-lab,Think Tank Brew Lab,planning,,Greenville,South Carolina,29607,http://www.thinktankbrewlab.com,,2018-07-24 01:34:14.998162,2018-08-11 21:39:38.0506,United States,,,
upstate-craft-beer-company,Upstate Craft Beer Company,brewpub,400 Augusta St Ste 120,Greenville,South Carolina,29601-3552,http://www.upstatecraftbeer.com,8646094590,2018-07-24 01:34:15.114005,2018-08-11 21:39:38.333786,United States,,,
quest-brewing-company,Quest Brewing Company,micro,55 Airview Dr,Greenville,South Carolina,29607-2632,http://www.questbrewing.com,8642726232,2018-07-24 01:34:14.75066,2018-08-24 16:15:03.818204,United States,-82.3451569114422,34.8465767,
thomas-creek-brewery,Thomas Creek Brewery,micro,2054 Piedmont Hwy,Greenville,South Carolina,29605-4840,http://www.thomascreekbeer.com,8646051166,2018-07-24 01:34:15.043931,2018-08-24 16:15:26.259903,United States,-82.42335755,34.7966767,
birds-fly-south-ale-project,Birds Fly South Ale Project,micro,1320 Hampton Avenue Ext,Greenville,South Carolina,29601-1012,,8644128825,2018-07-24 01:34:14.042262,2018-08-11 21:39:34.970197,United States,,,
good-times-brewing,Good Times Brewing,brewpub,237 Maxwell Ave,Greenwood,South Carolina,29646-2616,http://www.goodtimesbrewing.beer,8649937302,2018-07-24 01:34:14.451335,2018-08-24 16:14:39.673035,United States,-82.163632244898,34.1898924489796,
blue-ridge-brewing-co/foothills-brewing,Blue Ridge Brewing Co/Foothills Brewing,brewpub,308 Trade St,Greer,South Carolina,29651-3432,http://www.blueridgebrewing.com,8642324677,2018-07-24 01:34:14.05879,2018-08-24 16:14:12.507995,United States,-82.2262648,34.9361559,
the-southern-growl,The Southern Growl,planning,,Greer,South Carolina,29650-1285,http://www.thesoutherngrowl.com,,2018-07-24 01:34:14.986016,2018-08-11 21:39:37.996683,United States,,,
hilton-head-brewing-co,Hilton Head Brewing Co,brewpub,1 Cardinal Ct Ste 13,Hilton Head Island,South Carolina,29926-3401,,8437153251,2018-07-24 01:34:14.502422,2018-08-11 21:39:36.098322,United States,,,
lincoln-and-south-brewing-co,Lincoln and South Brewing Co.,planning,,Hilton Head Island,South Carolina,29928,http://www.lincolnandsouth.com,8434222847,2018-07-24 01:34:14.618972,2018-08-11 21:39:36.425112,United States,,,
wooden-skiff-beer-company,Wooden Skiff Beer Company,micro,141 Island Dr Ste 16,Hilton Head Island,South Carolina,29926-4500,http://www.woodenskiffbrewing.com,8432904364,2018-07-24 01:34:15.152721,2018-08-11 21:39:38.441402,United States,,,
brewery-in-planning-indian-land-sc,"Brewery in Planning - Indian Land, SC",planning,,Indian Land,South Carolina,29707-9150,,3044761110,2018-07-24 01:34:14.133685,2018-08-11 21:39:35.210434,United States,,,
brewery-in-planning-hollywood,Brewery in Planning - Hollywood,planning,,Johns Island,South Carolina,29455-3461,,,2018-07-24 01:34:14.117744,2018-08-11 21:39:35.181329,United States,,,
low-tide-brewing,Low Tide Brewing,micro,2863 Maybank Hwy,Johns Island,South Carolina,29455-4808,http://www.lowtidebrewing.com,8435017570,2018-07-24 01:34:14.644846,2018-08-11 21:39:36.526121,United States,,,
benford-brewing-co,Benford Brewing Co.,micro,2271 Boxcar Rd,Lancaster,South Carolina,29720-9443,,,2018-07-24 01:34:14.027855,2018-08-11 21:39:34.939164,United States,,,
old-mill-brewpub,Old Mill Brewpub,brewpub,711 E Main St,Lexington,South Carolina,29072-3670,http://www.oldmillbrewpub.net,8037852337,2018-07-24 01:34:14.710416,2018-08-24 16:14:59.400847,United States,-81.2298014,33.9772343,
angry-fish-brewing-company,Angry Fish Brewing Company,micro,106 Fabrister Ln Ste C,Lexington,South Carolina,29072,http://angryfishbewingco.com,8035707470,2018-07-24 01:34:14.014667,2018-08-11 21:39:34.91052,United States,,,
hazelwood-brewing-company,Hazelwood Brewing Company,planning,,Lexington,South Carolina,29072,http://Hazelwoodbeer.com,8034765845,2018-07-24 01:34:14.488952,2018-08-11 21:39:36.06374,United States,,,
krafty-draft-brew-pub,Krafty Draft Brew Pub,brewpub,269 Charter Oak Rd,Lexington,South Carolina,29072-9200,http://www.draftydraft.com,8039960345,2018-07-24 01:34:14.565956,2018-08-24 16:14:47.247623,United States,-81.305868166854,33.9871102137227,
ghost-monkey-brewery,Ghost Monkey Brewery,micro,522 Wando Ln,Mount Pleasant,South Carolina,29464-8211,,,2018-07-24 01:34:14.437302,2018-08-11 21:39:35.966232,United States,,,
two-blokes-brewing-co,Two Blokes Brewing Co.,micro,547 Long Point Rd Ste 101,Mount Pleasant,South Carolina,29464-8337,http://www.twoblokesbrewing.com,8436544564,2018-07-24 01:34:15.101803,2018-08-11 21:39:38.29246,United States,,,
westbrook-brewing-co,Westbrook Brewing Co,regional,510 Ridge Rd,Mount Pleasant,South Carolina,29464-7811,http://www.westbrookbrewing.com,8436549114,2018-07-24 01:34:15.126552,2018-08-11 21:39:38.371768,United States,,,
new-south-brewing-co,New South Brewing Co,micro,1109 Campbell St,Myrtle Beach,South Carolina,29577-3527,http://www.newsouthbrewing.com,8439162337,2018-07-24 01:34:14.684799,2018-08-24 16:14:56.181352,United States,-78.8898911334989,33.6973479679603,
gordon-biersch-brewery-restaurant-myrtle-beach,Gordon Biersch Brewery Restaurant - Myrtle Beach,brewpub,3060 Howard Ave,Myrtle Beach,South Carolina,29577-1643,http://www.craftworksrestaurants.com,8438390249,2018-07-24 01:34:14.474338,2018-08-24 16:14:41.209627,United States,-78.939092,33.668327,
liberty-steakhouse-and-brewery,Liberty Steakhouse and Brewery,brewpub,1321 Celebrity Cir,Myrtle Beach,South Carolina,29577-7445,http://www.libertybreweryandgrill.com/home,8436264677,2018-07-24 01:34:14.605804,2018-08-24 16:14:50.143771,United States,-78.8794320626304,33.7193132439979,
bomb-plant-brewing-company,Bomb Plant Brewing Company,planning,,North Augusta,South Carolina,29860-7462,http://www.bombplantbrewing.com,7068042722,2018-07-24 01:34:14.072928,2018-08-11 21:39:35.061742,United States,,,
coast-brewing-co,COAST Brewing Co,micro,1250 N 2nd St,North Charleston,South Carolina,29405-1804,http://www.coastbrewing.com,8433434727,2018-07-24 01:34:14.228523,2018-08-11 21:39:35.500527,United States,,,
commonhouse-aleworks,Commonhouse Aleworks,micro,4831 Ohear Ave,North Charleston,South Carolina,29405-4925,http://www.commonhousealeworks.com,8436081331,2018-07-24 01:34:14.26129,2018-08-24 16:14:23.133035,United States,-79.9755637991219,32.8829971086798,
lo-fi-brewing,Lo-Fi Brewing,micro,2038 Meeting St Rd,North Charleston,South Carolina,29405-9357,http://www.lofibrewing.com,8285822175,2018-07-24 01:34:14.632266,2018-08-24 16:14:51.62014,United States,-79.9540931,32.8336083,
pawleys-island-brewing-company,Pawleys Island Brewing Company,brewpub,2668 Industrial Ave,North Charleston,South Carolina,29405-7429,http://www.pawleysislandbrewing.com,8432258292,2018-07-24 01:34:14.738774,2018-08-24 16:15:02.355519,United States,-80.0042304853766,32.8533503975611,
rusty-bull-brewing-company,Rusty Bull Brewing Company,brewpub,3005 W Montague Ave Ste 110,North Charleston,South Carolina,29418-7908,http://Www.rustybullbrewing.com,8432258600,2018-07-24 01:34:14.842062,2018-08-11 21:39:37.470849,United States,,,
quigleys-pint-and-plate,Quigley's Pint and Plate,brewpub,257 Willbrook Blvd,Pawleys Island,South Carolina,29585-7789,,8432377010,2018-07-24 01:34:14.762514,2018-08-11 21:39:37.100193,United States,,,
brewery-in-planning-ridgeland-sc,"Brewery in Planning - Ridgeland, SC",planning,,Ridgeland,South Carolina,29936-8284,,,2018-07-24 01:34:14.14975,2018-08-11 21:39:35.254625,United States,,,
dead-eric-brewing-co-llc,Dead Eric Brewing Co. LLC,micro,433 Old House Rd,Ridgeland,South Carolina,29936-6946,http://www.deadericbrewing.com,8433383693,2018-07-24 01:34:14.31641,2018-08-24 16:14:29.239704,United States,-83.042921,34.723368,
river-dog-brewing-co,River Dog Brewing Co,micro,591 Browns Cove Rd Unit H,Ridgeland,South Carolina,29936-7281,http://www.riverdogbrewing.com,8436452302,2018-07-24 01:34:14.799526,2018-08-11 21:39:37.297202,United States,,,
legal-remedy-brewing,Legal Remedy Brewing,brewpub,129 Oakland Ave,Rock Hill,South Carolina,29730-4019,http://www.legalremedybrewing.com,8033242337,2018-07-24 01:34:14.579542,2018-08-24 16:14:48.681326,United States,-81.0249405,34.9304961,
slow-play-brewing-company,Slow Play Brewing Company,planning,,Rock Hill,South Carolina,29730-3504,,,2018-07-24 01:34:14.881612,2018-08-11 21:39:37.668399,United States,,,
brewery-in-planning-salem,Brewery in Planning - salem,planning,,Salem,South Carolina,29676-3262,,9259632763,2018-07-24 01:34:14.164449,2018-08-11 21:39:35.292456,United States,,,
rail-line-brewing,Rail Line Brewing,brewpub,301 N Main St,Simpsonville,South Carolina,29681-2311,http://www.raillinebrewing.com,8645939722,2018-07-24 01:34:14.77497,2018-08-24 16:15:06.756604,United States,-82.2578248084272,34.7414657,
ciclops-cyderi-and-brewery,Ciclops Cyderi and Brewery,brewpub,197 E Saint John St,Spartanburg,South Carolina,29306-5121,http://www.ciclopscyderiandbrewery.com,8647049080,2018-07-24 01:34:14.212875,2018-08-24 16:14:18.561757,United States,-81.929521675633,34.95241345,
rj-rockers-brewing-co,RJ Rockers Brewing Co,micro,226 W Main St Ste A,Spartanburg,South Carolina,29306-2308,http://www.rjrockers.com,8645871435,2018-07-24 01:34:14.825249,2018-08-11 21:39:37.418309,United States,,,
wide-awake-brewing-company,Wide Awake Brewing Company,planning,,Summerville,South Carolina,29486,http://www.wideawakebrewing.com,8436088597,2018-07-24 01:34:15.139755,2018-08-11 21:39:38.404305,United States,,,
