id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
dakota-territory-brewing,Dakota Territory Brewing,planning,,Aberdeen,South Dakota,57401-4138,,6052166650,2018-07-24 01:34:15.263563,2018-08-11 21:39:38.704873,United States,,,
one-legged-pheasant-brewery,One Legged Pheasant Brewery,planning,,Aberdeen,South Dakota,57401-6016,,6164859226,2018-07-24 01:34:15.464299,2018-08-11 21:39:39.577029,United States,,,
severance-brewing-company,Severance Brewing Company,planning,,Brandon,South Dakota,57005-3048,http://www.severancebrewingcompany.com,6052164256,2018-07-24 01:34:15.494198,2018-08-11 21:39:39.681958,United States,,,
wooden-legs-brewing-co,Wooden Legs Brewing Co,brewpub,309 5th St Ste 100,Brookings,South Dakota,57006-1963,http://www.woodenlegsbrewing.com,6056922337,2018-07-24 01:34:15.55712,2018-08-24 16:16:04.049097,United States,-96.7996148,44.3104741,
eponymous-brewing-co,Eponymous Brewing Co,micro,126 Main Ave S,Brookings,South Dakota,57006-3038,http://www.eponymousbrewing.com,6056922739,2018-07-24 01:34:15.289044,2018-08-24 16:15:42.723629,United States,-96.7988125663931,44.3047216476716,
mt-rushmore-brewing-company,Mt. Rushmore Brewing Company,brewpub,140 Mt Rushmore Rd,Custer,South Dakota,57730-1829,http://www.mtrushmorebrewing.com,,2018-07-24 01:34:15.450115,2018-08-24 16:15:58.097106,United States,-103.605392,43.764722,
buffalo-ridge-brewing,Buffalo Ridge Brewing,planning,,Hartford,South Dakota,57033,http://www.bentbarrel.com,6059996569,2018-07-24 01:34:15.209983,2018-08-11 21:39:38.57875,United States,,,
sick-n-twisted-brewing-co,Sick N Twisted Brewing Co,brewpub,23851 Highway 385 Ste A,Hill City,South Dakota,57745-6544,,6055742454,2018-07-24 01:34:15.509042,2018-08-11 21:39:39.715275,United States,,,
miner-brewing-co,Miner Brewing Co,brewpub,23845 Highway 385,Hill City,South Dakota,57745-6517,http://www.minerbrewing.com,6055742886,2018-07-24 01:34:15.434442,2018-08-11 21:39:39.438205,United States,,,
highway-79-brewery,Highway 79 Brewery,brewpub,27631 SD Hwy 79,Hot Springs,South Dakota,57747,,,2018-07-24 01:34:15.387333,2018-08-11 21:39:39.078456,United States,,,
big-sioux-brewing-company,Big Sioux Brewing Company,planning,,Humboldt,South Dakota,57035-6106,,,2018-07-24 01:34:15.171295,2018-08-11 21:39:38.483174,United States,,,
dakota-shivers-brewing,Dakota Shivers Brewing,micro,717 W Main St,Lead,South Dakota,57754-1539,http://www.dakotashiversbrewing.com,6054155352,2018-07-24 01:34:15.250862,2018-08-24 16:15:41.180956,United States,-103.772162595213,44.3511162245966,
brewery-in-planning-piedmont,Brewery In Planning - Piedmont,planning,,Piedmont,South Dakota,57769-7145,,,2018-07-24 01:34:15.184369,2018-08-11 21:39:38.518182,United States,,,
firehouse-brewing-co,Firehouse Brewing Co,brewpub,610 Main St,Rapid City,South Dakota,57701-2736,http://www.firehousebrewing.com,6053481915,2018-07-24 01:34:15.325327,2018-08-24 16:15:45.696259,United States,-103.227556215794,44.08144085,
dakota-point-brewing-llc,Dakota Point Brewing LLC,micro,405 Canal St Ste 1200,Rapid City,South Dakota,57701-2577,http://www.dakotapointbrewing.com,6057912739,2018-07-24 01:34:15.23629,2018-08-11 21:39:38.643374,United States,,,
lost-cabin-beer-co,Lost Cabin Beer Co.,micro,1401 W Omaha St Ste 3,Rapid City,South Dakota,57701-3163,http://www.lostcabin.beer,6057185678,2018-07-24 01:34:15.41819,2018-08-11 21:39:39.358918,United States,,,
hay-camp-brewing-company,Hay Camp Brewing Company,micro,601 Kansas City St,Rapid City,South Dakota,57701-3622,http://www.haycampbrewing.com,6057181167,2018-07-24 01:34:15.372134,2018-08-24 16:15:50.171974,United States,-103.227816,44.07889,
granite-city-food-and-brewery-#2,Granite City Food & Brewery (#2),brewpub,2620 S Louise Ave,Sioux Falls,South Dakota,57106-4329,http://www.gcfb.net,6053620000,2018-07-24 01:34:15.356051,2018-08-24 16:15:48.699428,United States,-96.7727843992402,43.523371915769,
fernson-brewing-company,Fernson Brewing Company,micro,1400 E Robur Dr,Sioux Falls,South Dakota,57104-0582,http://fernson.com,6057893822,2018-07-24 01:34:15.302618,2018-08-24 16:15:44.197132,United States,-96.7085261318935,43.6078529748557,
gandy-dancer-brew-works,Gandy Dancer Brew Works,brewpub,420 E 8th St,Sioux Falls,South Dakota,57103-7025,http://www.monkshouseofalerepute.com,6053519268,2018-07-24 01:34:15.341007,2018-08-24 16:15:47.195858,United States,-96.7218594,43.5488749,
woodgrain-brewing-company,WoodGrain Brewing Company,micro,101 S Phillips Ave Ste 100,Sioux Falls,South Dakota,57104-6719,http://www.woodgrainbrew.com,6053105316,2018-07-24 01:34:15.573387,2018-08-11 21:39:39.92438,United States,,,
panacea-brewing-company-/-remedy-brewing-company,Panacea Brewing Company / Remedy Brewing Company,brewpub,401 E 8th St Ste 120,Sioux Falls,South Dakota,57103-7012,http://www.remedybrewco.com,6052141327,2018-07-24 01:34:15.479231,2018-08-11 21:39:39.624781,United States,,,
brewery-in-planning-spearfish,Brewery in Planning - Spearfish,planning,,Spearfish,South Dakota,57783,,,2018-07-24 01:34:15.196892,2018-08-11 21:39:38.548855,United States,,,
crow-peak-brewing-co,Crow Peak Brewing Co,micro,125 W Highway 14,Spearfish,South Dakota,57783-1150,http://www.crowpeakbrewing.com,6057170006,2018-07-24 01:34:15.223607,2018-08-24 16:15:38.206675,United States,-103.8706684,44.5175219,
lean-horse-productions,Lean Horse Productions,contract,600 Meier Ave,Spearfish,South Dakota,57783-1991,,6056413534,2018-07-24 01:34:15.402766,2018-08-11 21:39:39.282927,United States,,,
spearfish-brewing-company,Spearfish Brewing Company,micro,,Spearfish,South Dakota,57783-4147,http://spearfishbrewing.com,,2018-07-24 01:34:15.524173,2018-08-11 21:39:39.751928,United States,,,
the-knuckle-brewing-company,The Knuckle Brewing Company,brewpub,918 2nd St,Sturgis,South Dakota,57785-1510,,6055619846,2018-07-24 01:34:15.540878,2018-08-24 16:16:02.577253,United States,-103.512573346939,44.4147739591837,
dempseys-brewery-pub,"Dempseys Brewery, Pub",brewpub,127 N Broadway,Watertown,South Dakota,57201-3525,,,2018-07-24 01:34:15.276011,2018-08-11 21:39:38.757308,United States,,,
