id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
blackhorse-brewery,Blackhorse Brewery,planning,,Alcoa,Tennessee,37701,,,2018-07-24 01:34:15.755589,2018-08-11 21:39:40.869554,United States,,,
elderbrew,Elderbrew,micro,24 6th St,Bristol,Tennessee,37620,http://www.elderbrew.com,,2018-07-24 01:34:16.142412,2018-08-24 16:16:46.584881,United States,-82.18356135,36.594077,
holston-river-brewing-company,Holston River Brewing Company,micro,2623 Volunteer Pkwy,Bristol,Tennessee,37620-,http://www.hrbrewing.com,4233611572,2018-07-24 01:34:16.468579,2018-08-24 16:17:03.417973,United States,-82.1910353,36.574583,
big-river-grille-and-brewing-works-chattanooga,Big River Grille & Brewing Works - Chattanooga,brewpub,222 Broad St,Chattanooga,Tennessee,37402-1009,http://www.craftworksrestaurants.com,4232672739,2018-07-24 01:34:15.727671,2018-08-24 16:16:16.074383,United States,-85.310708746297,35.0538755447393,
heaven-and-ale-brewing-co,Heaven & Ale Brewing Co,brewpub,300 Cherokee Blvd Ste 101,Chattanooga,Tennessee,37405-3811,http://www.heavenandalebrewing.com,4044416434,2018-07-24 01:34:16.416659,2018-08-24 16:16:57.160261,United States,-85.311847,35.064349,
mchales-brewhouse,McHale's Brewhouse,brewpub,724 Ashland Ter,Chattanooga,Tennessee,37415-3536,http://www.mchalesbrewhouse.com,4238772124,2018-07-24 01:34:16.690853,2018-08-24 16:17:28.852367,United States,-85.2757397642444,35.1164058264354,
five-wits-brewing-co,Five Wits Brewing Co.,planning,,Chattanooga,Tennessee,37408,,4237742991,2018-07-24 01:34:16.27118,2018-08-11 21:39:42.126038,United States,,,
chattanooga-brewing-co,Chattanooga Brewing Co,micro,1804 Chestnut St,Chattanooga,Tennessee,37408-1027,http://www.chattabrew.com,4237029958,2018-07-24 01:34:15.926349,2018-08-24 16:16:30.735896,United States,-85.314430246936,35.0363334908815,
hutton-and-smith-brewing-company,Hutton & Smith Brewing Company,micro,431 E Martin Luther King Blvd # 120,Chattanooga,Tennessee,37403,http://www.huttonandsmithbrewing.com,4237603600,2018-07-24 01:34:16.511934,2018-08-11 21:39:42.654845,United States,,,
moccasin-bend-brewing-co,Moccasin Bend Brewing Co,micro,3210 Broad St # B,Chattanooga,Tennessee,37408-3059,http://www.bendbrewingbeer.com,4238216392,2018-07-24 01:34:16.780422,2018-08-11 21:39:43.33267,United States,,,
oddstory-brewing-co,Oddstory Brewing Co,micro,336 E Mlk,Chattanooga,Tennessee,37403-4121,http://www.oddstorybrewing.co,2563097208,2018-07-24 01:34:16.818827,2018-08-11 21:39:43.427881,United States,,,
mad-knight-brewing-company,Mad Knight Brewing Company,micro,4015 Tennessee Ave,Chattanooga,Tennessee,37409-1322,http://www.madknightbrewing.com,4238256504,2018-07-24 01:34:16.643749,2018-08-24 16:17:22.808068,United States,-85.3278569212857,35.008643261185,
wanderlinger-brewing-co,WanderLinger Brewing Co,planning,,Chattanooga,Tennessee,37403-4331,http://www.wanderlinger.com,6156535407,2018-07-24 01:34:17.231416,2018-08-11 21:39:44.422879,United States,,,
