id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
512-brewing-co,(512) Brewing Co,micro,407 Radam Ln Ste F200,Austin,Texas,78745-1197,http://www.512brewing.com,5129211545,34:17.3,39:44.6,United States,,,
11-below-brewing-company,11 Below Brewing Company,micro,6820 Bourgeois Rd,Houston,Texas,77066-3107,http://www.11belowbrewing.com,2814442337,34:17.3,18:20.6,United States,-95.5186591,29.9515464,
28th-state-brewing,28th State Brewing,planning,,Houston,Texas,77095-6933,,,34:17.4,39:44.6,United States,,,
3-nations-brewing,3 Nations Brewing,micro,2405 Squire Pl Ste 200,Farmers Branch,Texas,75234-4714,http://www.threenationsbrewing.com,4696607184,34:17.4,18:22.1,United States,-96.89883128,32.93044336,
4th-tap-brewing-cooperative,4th Tap Brewing Cooperative,micro,10615 Metric Blvd,Austin,Texas,78758-4520,,5129089817,34:17.4,18:23.6,United States,-97.7118913,30.3852024,
5-stones-artisan-brewery,5 Stones Artisan Brewery,micro,11335 Farm To Market Road 1863,New Braunfels,Texas,78132,,2103808215,34:17.4,18:25.2,United States,-98.232345,29.711365,
5th-element-brewing,5th Element Brewing,planning,,Leander,Texas,78641-4009,,9156378199,34:17.4,39:44.8,United States,,,
5x5-brewing-co,5x5 Brewing Co.,planning,,Mission,Texas,78572-6215,http://www.5x5brewing.com,9565291353,34:17.4,39:44.8,United States,,,
8th-wonder-brewery,8th Wonder Brewery,micro,2202 Dallas St,Houston,Texas,77003-3519,http://www.8thwonderbrew.com,7133970072,34:17.4,18:26.7,United States,-95.3559402,29.7487783,
903-brewers,903 Brewers,micro,1718 S Elm St,Sherman,Texas,75090-8725,http://www.903brewers.com,2142438090,34:17.4,18:28.3,United States,-96.60698055,33.61788732,
acopon-brewing-co,Acopon Brewing Co,micro,211 W Mercer St,Dripping Springs,Texas,78620-5363,http://www.acoponbrewing.com,5128294723,34:17.5,18:29.8,United States,-98.09006208,30.19269957,
adelberts-brewery-llc,Adelbert's Brewery LLC,micro,2314 Rutland Dr Ste 100,Austin,Texas,78758-5273,http://www.adelbertsbeer.com,5126621462,34:17.5,18:31.3,United States,-97.7201589,30.3826286,
alamo-beer-co,Alamo Beer Co,micro,415 Burnet St,San Antonio,Texas,78202-1909,http://www.alamobeer.com,2108725589,34:17.5,18:32.8,United States,-98.4771638,29.42902321,
alcazar-brewery-llc,"Alcazar Brewery, LLC.",planning,,Rio Grande City,Texas,78582-4450,,,34:17.5,39:45.2,United States,,,
altmeyer-and-lewis-brewing-company,Altmeyer and Lewis Brewing Company,micro,15898 N Hwy 123,San Marcos,Texas,78666-2418,http://www.altmeyerlewisbrewing.com,5126679537,34:17.5,39:45.2,United States,,,
altstadt-brewery,Altstadt Brewery,micro,6120 E US Highway 290,Fredericksburg,Texas,78624-2176,http://www.altstadtbeer.com,8303042337,34:17.5,18:34.3,United States,-98.8467263,30.2468574,
angelina-brewing-company-llc,"Angelina Brewing Company, LLC.",planning,,Lufkin,Texas,75904-7550,,3168419327,34:17.5,39:45.3,United States,,,
anheuser-busch-inc-a-houston,Anheuser-Busch Inc â Houston,large,775 Gellhorn Dr,Houston,Texas,77029-1496,,7136752311,34:17.6,18:35.8,United States,-95.27130674,29.771858,
anvil-brewing,Anvil Brewing,brewpub,115 S. Compress St,Pittsburg,Texas,75686-1353,http://www.anvilbrewingtx.com,9039267741,34:17.6,39:45.4,United States,,,
aquabrew,Aquabrew,brewpub,150 S L B J Dr,San Marcos,Texas,78666-5506,http://www.aqua-brew.com,5123532739,34:17.6,39:45.4,United States,,,
aransas-pass-brewing-company-llc,"Aransas Pass Brewing Company, LLC",planning,,Aransas Pass,Texas,78336-1920,,,34:17.6,39:45.5,United States,,,
armadillo-ale-works,Armadillo Ale Works,micro,221 S Bell Ave,Denton,Texas,76201-4259,http://www.armadilloaleworks.com,9405804446,34:17.6,18:40.2,United States,-97.12830051,33.21286666,
athens-brewing-co,Athens Brewing Co,brewpub,101 E Tyler St,Athens,Texas,75751-2547,http://www.athensbrewingco.com,9039527493,34:17.6,18:41.7,United States,-95.852642,32.205458,
austin-beerworks,Austin Beerworks,regional,3001 Industrial Ter,Austin,Texas,78758-7609,http://www.austinbeerworks.com,5128212494,34:17.6,18:43.2,United States,-97.72984444,30.3795705,
b-and-js-handcrafted-texas-ales,B and J's Handcrafted Texas Ales,micro,6335 S Padre Island Dr,Corpus Christi,Texas,78412-4013,http://pizzaandbrew@aol.com,3619926671,34:17.7,18:44.7,United States,-97.2962784,27.6749936,
b-52-brewing,B-52 Brewing,micro,12470 Milroy Ln,Conroe,Texas,77304-5160,http://www.b52brewing.com,9364474677,34:17.7,39:45.8,United States,,,
baa-baa-brewhouse,Baa Baa Brewhouse,micro,539 FM 359 Rd S,Brookshire,Texas,77423-8013,http://www.baabaabrewhouse.com,2819341847,34:17.7,39:45.8,United States,,,
back-pew-brewing,Back Pew Brewing,micro,26452 Sorters Rd,Porter,Texas,77365-4752,http://www.backpewbrewing.com,2816087526,34:17.7,39:45.8,United States,,,
backstory-brewery,BackStory Brewery,planning,,Sulphur Springs,Texas,75482-2772,,,34:17.7,39:45.9,United States,,,
baileson-brewing-company-llc,"Baileson Brewing Company, LLC",micro,2322 Bissonnet St,Houston,Texas,77005-1512,http://www.bailesonbrewing.com,8325169828,34:17.7,18:50.8,United States,-95.41337465,29.72562404,
bakfish-brewing-company,BAKFISH Brewing Company,micro,1231 Broadway St,Pearland,Texas,77581-6303,http://www.bakfishbrewing.com,2819938658,34:17.7,18:52.2,United States,-95.4174149,29.5551351,
bandera-ale-project-llc,"Bandera Ale Project, LLC",micro,3540 State Highway 16 S Ste 2A,Bandera,Texas,78003-3561,http://www.banderabrewery.com,8305224226,34:17.7,39:46.0,United States,,,
bankhead-brewing-company,Bankhead Brewing Company,brewpub,3840 Main St,Rowlett,Texas,75088-5073,http://www.bankheadbrewing.com,2143847953,34:17.8,18:55.3,United States,-96.56610883,32.9029137,
bar-d-brew-house,Bar D Brew House,brewpub,213 N High St,San Saba,Texas,76877-3533,http://www.bardbrewhouse.com,3253726100,34:17.8,18:56.8,United States,-98.71854917,31.19678472,
bare-arms-brewing,Bare Arms Brewing,micro,2515 La Salle Ave,Waco,Texas,76706-3929,http://www.barearmsbrewing.com,2547598480,34:17.8,18:58.3,United States,-97.13081959,31.52488462,
barking-armadillo-brewing,Barking Armadillo Brewing,micro,507 River Bend,Georgetown,Texas,78723-3342,http://www.barkingarmadillo.com/,512-240-5137,34:17.8,10/11/2020,United States,-97.6932487,30.6608114,
barrel-assembly,Barrel Assembly,planning,,Austin,Texas,78751-3019,http://www.barrelassembly.com,15124236579,34:17.8,39:46.1,United States,,,
barrow-brewing-company,Barrow Brewing Company,micro,108 Royal St,Salado,Texas,76571,http://www.barrowbrewing.com,2549473544,34:17.8,18:59.8,United States,-97.53703133,30.94295989,
basement-brewers-of-texas,Basement Brewers of Texas,micro,521 Clay St,Kerrville,Texas,78028-4525,http://www.basementbrewersoftexas.com,8309555073,34:17.8,19:01.5,United States,-99.1392822,30.05042839,
batch-craft-beer-and-kolaches,Batch Craft Beer and Kolaches,planning,,Austin,Texas,78723,http://www.batchatx.com,5124013025,34:17.9,39:46.2,United States,,,
battlehops-brewing,BattleHops Brewing,planning,,Katy,Texas,77494,http://www.battlehopsbrewing.com,8323245284,34:17.9,39:46.2,United States,,,
b-cs-zoigl-brewery,B-CS  Zoigl Brewery,micro,Â 211-C W William Joel Bryan Pkwy,Bryan,Texas,77803-3225,http://www.bcs-zoigl.com,2819353018,34:17.9,39:46.3,United States,,,
bearded-fox-brewing-co,Bearded Fox Brewing Co.,micro,11729 Spring Cypress Rd Ste R,Tomball,Texas,77377-6063,http://www.beardedfoxbrewing.com,8327617928,34:17.9,39:46.3,United States,,,
beerfoot-beach-bar,Beerfoot Beach Bar,micro,2816 Avenue R 1/2,Galveston,Texas,77550-7742,http://www.yagaspresents.com/beerfoot/index.html,4097622337,34:17.9,39:46.3,United States,,,
big-bend-brewing-co,Big Bend Brewing Co,micro,3401 W Highway 90,Alpine,Texas,79830-4127,http://www.bigbendbrewing.com,4328373700,34:17.9,39:46.4,United States,,,
big-river-brewery-llc,"Big River Brewery, LLC",micro,505 W Nolana Loop,Pharr,Texas,78577-8345,,9565661455,34:17.9,39:46.4,United States,,,
big-texan-brewery,Big Texan Brewery,brewpub,7701 Interstate 40 Access Rd,Amarillo,Texas,79118-6915,http://www.bigtexan.com,8063726000,34:18.0,39:46.4,United States,,,
bitter-sisters-brewing-company,Bitter Sisters Brewing Company,micro,15103 Surveyor Blvd,Addison,Texas,75001-4316,http://www.bittersistersbrewery.com,9724790949,34:18.0,19:10.5,United States,-96.845846,32.951222,
bjs-brewhouse,BJ's Brewhouse,regional,602 E Central Ave,Temple,Texas,76501-4319,,7145002400,34:18.0,19:12.0,United States,-97.33525536,31.09509964,
black-star-co-op,Black Star Co-op,brewpub,7020 Easy Wind Dr Ste 100,Austin,Texas,78752-2373,http://www.blackstar.coop,5124522337,34:18.0,19:13.6,United States,-97.718977,30.3383262,
blackwater-draw-brewing-company,Blackwater Draw Brewing Company,brewpub,701 N Main,Bryan,Texas,77803,http://www.blackwaterbrew.com,9797046191,34:18.1,19:15.2,United States,-96.35277742,30.6580876,
blazing-tree-brewery,Blazing Tree Brewery,micro,11426 Rojas Dr Ste A13,El Paso,Texas,79936-6486,,9153073627,34:18.1,39:46.6,United States,,,
blue-owl-brewing,Blue Owl Brewing,micro,2400 E Cesar Chavez St Ste 300,Austin,Texas,78702-4638,http://www.blueowlbrewing.com,5125931262,34:18.1,10/11/2020 19:30,United States,-97.7189581,30.2545583,
blue-star-brewing-co,Blue Star Brewing Co,brewpub,1414 S Alamo St # 105,San Antonio,Texas,78210-1117,http://www.bluestarbrewing.com,2102125506,34:18.1,19:20.2,United States,-98.49615307,29.40989569,
bluebonnet-beer-co,Bluebonnet Beer Co,micro,1700 Bryant Dr Ste 107,Round Rock,Texas,78664-3898,http://www.bluebonnetbeerco.com,5127744258,34:18.1,19:21.7,United States,-97.645332,30.491657,
bnaf-llc,"Bnaf, LLC",planning,,Austin,Texas,78727-7602,,,34:18.1,39:46.7,United States,,,
boerne-brewery,Boerne Brewery,micro,9 Hill View Ln,Boerne,Texas,78006-7003,http://www.boernebrewery.com,8306889693,34:18.1,39:46.8,United States,,,
braindead-brewing,Braindead Brewing,brewpub,2625 Main St,Dallas,Texas,75226-1411,http://www.braindeadbrewing.com,4692869005,34:18.1,19:24.7,United States,-96.7854202,32.7838067,
branchline-brewing-company,Branchline Brewing Company,contract,,San Antonio,Texas,78247-3502,http://www.branchlinebrewing.com,3612908817,34:18.2,39:46.9,United States,,,
brash,Brash,micro,508 W Crosstimbers St,Houston,Texas,77018-5521,http://www.brashbeers.com,,34:18.2,19:26.1,United States,-95.40974166,29.82727538,
brazos-valley-brewing-company,Brazos Valley Brewing Company,micro,201 W 1st St,Brenham,Texas,77833,http://www.brazosvalleybrewery.com,9799871133,34:18.2,19:27.7,United States,-96.3986627,30.16447,
brewery-in-planning-austin,Brewery in Planning - Austin,planning,,Austin,Texas,78729-4938,,,34:18.2,39:47.1,United States,,,
brewery-in-planning-austin,Brewery In Planning - Austin,planning,,Austin,Texas,78705,,,34:18.2,39:47.1,United States,,,
brewery-in-planning-austin,Brewery in Planning - austin,planning,,Austin,Texas,78739-5704,,5127387003,34:18.2,39:47.1,United States,,,
brewery-in-planning-austin,Brewery In Planning - Austin,planning,,Leander,Texas,78641-8632,,,34:18.2,39:47.0,United States,,,
brewery-in-planning-austin-tx,"Brewery in Planning - Austin, TX",planning,,Austin,Texas,78717,,5124152600,34:18.3,39:47.1,United States,,,
brewery-in-planning-big-spring-tx,"Brewery in Planning - Big Spring, TX",planning,,Big Spring,Texas,79720-6010,,4322683056,34:18.3,39:47.2,United States,,,
brewery-in-planning-college-station,Brewery In Planning - College Station,planning,,College Station,Texas,77845,,,34:18.3,39:47.2,United States,,,
brewery-in-planning-cypress,Brewery in Planning - Cypress,planning,,Cypress,Texas,77429-8183,,,34:18.3,39:47.2,United States,,,
brewery-in-planning-dallas,Brewery in Planning - Dallas,planning,,Dallas,Texas,75287-6009,,,34:18.3,39:47.3,United States,,,
brewery-in-planning-fort-worth,Brewery In Planning - Fort Worth,planning,,Fort Worth,Texas,76116,,,34:18.3,39:47.4,United States,,,
brewery-in-planning-fulshear-tx,"Brewery in Planning - Fulshear, TX",planning,,Fulshear,Texas,77441,,,34:18.3,39:47.4,United States,,,
brewery-in-planning-grapevine,Brewery in Planning - Grapevine,planning,,Roanoke,Texas,76262,,6199472423,34:18.4,39:47.4,United States,,,
brewery-in-planning-houston,Brewery in Planning - Houston,planning,,Houston,Texas,77024-4116,,2817483017,34:18.4,39:47.4,United States,,,
brewery-in-planning-katy,Brewery in Planning - Katy,planning,,Katy,Texas,77494-4657,,8327140319,34:18.4,39:47.5,United States,,,
brewery-in-planning-lucas,Brewery In Planning - Lucas,planning,,Allen,Texas,75002,,2147358587,34:18.4,39:47.5,United States,,,
brewery-in-planning-midlothian-tx,"Brewery in Planning - MIDLOTHIAN, TX",planning,,Midlothian,Texas,76065-7937,,5012883713,34:18.4,39:47.6,United States,,,
brewery-in-planning-plano,Brewery in Planning - Plano,planning,,Plano,Texas,75023-6320,,,34:18.4,39:47.6,United States,,,
brewery-in-planning-somerville-ma,"Brewery In Planning - Somerville, MA",planning,,Houston,Texas,77043-4718,,,34:18.4,39:47.7,United States,,,
brewery-in-planning-washington,Brewery in Planning - Washington,planning,,Washington,Texas,77880,,,34:18.5,39:47.7,United States,,,
brewery-in-planning-mc-kinney-tx,"Brewery In Planning- Mc Kinney, TX.",planning,,McKinney,Texas,75069-9000,,,34:18.5,39:47.7,United States,,,
brewery-in-planning-plano-tx,"Brewery In Planning- Plano, TX.",planning,,Plano,Texas,75075-3012,,,34:18.5,39:47.8,United States,,,
brews-brothers,Brews Brothers,brewpub,2404 Strand St,Galveston,Texas,77550-1412,,4097632739,34:18.5,39:47.8,United States,,,
brick-oven-pizza-co/-brick-and-forge-brewing,Brick Oven Pizza Co/ Brick & Forge Brewing,brewpub,4714 S 14th St,Abilene,Texas,79605-4733,,8702364200,34:18.5,19:30.7,United States,-99.78335777,32.42968055,
