id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
policy-kings-brewery-llc,Policy Kings Brewery LLC,planning,,Cedar City,Utah,84720,http://www.policykingsbrewery.com,,2018-07-24 01:34:22.682005,2018-08-11 21:39:57.674298,United States,,,
pinnacle-brewing-co/groggs,Pinnacle Brewing Co/Groggs,contract,1653 Carbonville Rd,Helper,Utah,84526-2504,,4356372924,2018-07-24 01:34:22.668313,2018-08-11 21:39:57.636738,United States,,,
roosters-brewing-co-#2,Roosters Brewing Co (#2),micro,748 Heritage Park Blvd Ste 101,Layton,Utah,84041-5724,http://www.roostersbrewingco.com,8017749330,2018-07-24 01:34:22.765044,2018-08-24 16:25:07.230978,United States,-111.979338866679,41.0832087833766,
bohemian-brewery-and-grill,Bohemian Brewery and Grill,micro,94 E 7200 S,Midvale,Utah,84047-1532,http://www.bohemianbrewery.com,8015665474,2018-07-24 01:34:22.417147,2018-08-24 16:24:41.26724,United States,-111.894010991033,40.6206923048805,
2-row-brewing,2 Row Brewing,micro,6856 S 300 W,Midvale,Utah,84047-1083,http://www.2rowbrewing.com,8019878663,2018-07-24 01:34:22.391639,2018-08-24 16:24:39.715878,United States,-111.9007652,40.5950202,
brewery-in-planning-draper,Brewery In Planning - Draper,planning,,Midvale,Utah,84047-2875,,8015578075,2018-07-24 01:34:22.459715,2018-08-11 21:39:57.131839,United States,,,
hoppers-grill-and-brewing-co,Hoppers Grill and Brewing Co,brewpub,890 E Fort Union Blvd,Midvale,Utah,84047-1745,http://www.hoppersbrewpub.com,8015660424,2018-07-24 01:34:22.578764,2018-08-24 16:24:53.643685,United States,-111.866336193809,40.6221000516795,
eddie-mcstiffs-brewing-co-c/o-eddie-snyder,Eddie McStiffs Brewing Co c/o Eddie Snyder,contract,57 S Main St,Moab,Utah,84532-2502,http://www.eddiemcstiffs.com,4352592337,2018-07-24 01:34:22.499418,2018-08-11 21:39:57.233016,United States,,,
moab-brewery,Moab Brewery,micro,686 S Main St,Moab,Utah,84532-2901,http://www.themoabbrewery.com,4352596333,2018-07-24 01:34:22.622833,2018-08-11 21:39:57.574886,United States,,,
roosters-brewing-co-#1,Roosters Brewing Co  (#1),micro,253 Historic 25th St,Ogden,Utah,84401-2301,,8016276171,2018-07-24 01:34:22.751617,2018-08-11 21:39:57.857183,United States,,,
utog-brewing-company,UTOG Brewing Company,planning,,Ogden,Utah,84401-1407,http://www.utogbrewing.com,8017252402,2018-07-24 01:34:22.920011,2018-08-11 21:39:58.280516,United States,,,
ruby-river-steak-house-and-brewery,Ruby River Steak House and Brewery,brewpub,4286 Riverdale Rd,Ogden,Utah,84405-3512,http://www.sizzlingplatter.com,8016222320,2018-07-24 01:34:22.777219,2018-08-24 16:25:08.753363,United States,-111.988375517321,41.1840523402125,
talisman-brewing-company,Talisman Brewing Company,micro,1258 Gibson Ave,Ogden,Utah,84404-5541,http://www.talismanbrewingco.com,3853892945,2018-07-24 01:34:22.86464,2018-08-24 16:25:16.377653,United States,-111.984447510204,41.243496,
mine-shaft-brewing,Mine Shaft Brewing,planning,,Park City,Utah,84098-6724,http://www.mineshaftbrewingpc.com,,2018-07-24 01:34:22.609356,2018-08-11 21:39:57.54073,United States,,,
park-city-brewery,Park City Brewery,micro,2720 Rasmussen Rd Ste A1,Park City,Utah,84098-5751,http://www.parkcitybrewery.com,4352008906,2018-07-24 01:34:22.651669,2018-08-11 21:39:57.61063,United States,,,
wasatch-brew-pub-park-city,Wasatch Brew Pub - Park City,micro,250 Main St,Park City,Utah,84060-5113,http://www.wasatchbeers.com,4356490900,2018-07-24 01:34:22.946628,2018-08-24 16:25:22.519177,United States,-111.4945836,40.6418424,
blue-zone-brewing-co,Blue Zone Brewing Co.,planning,,Saint George,Utah,84790-5716,,4353135050,2018-07-24 01:34:22.404566,2018-08-11 21:39:57.021284,United States,,,
desert-edge-brewery,Desert Edge Brewery,brewpub,551 E 600 S,Salt Lake City,Utah,84102-2717,http://www.desertedgebrewery.com,8015218917,2018-07-24 01:34:22.485977,2018-08-24 16:24:44.33202,United States,-111.875021142025,40.7563910792927,
wasatch-brew-pub-sugarhouse,Wasatch Brew Pub - Sugarhouse,brewpub,2110 S Highland Dr,Salt Lake City,Utah,84106-2807,http://www.wasatchbeers.com,8017831127,2018-07-24 01:34:22.960272,2018-08-24 16:25:24.076823,United States,-111.8503182,40.6987539,
brewery-in-planning-salt-lake-city,Brewery in Planning - Salt Lake City,planning,,Salt Lake City,Utah,84115,,2157603138,2018-07-24 01:34:22.473216,2018-08-11 21:39:57.160616,United States,,,
epic-brewing-co-llc,"Epic Brewing Co., LLC",regional,825 S State St,Salt Lake City,Utah,84111-4207,http://www.epicbrewing.com,8019060123,2018-07-24 01:34:22.513341,2018-08-11 21:39:57.264764,United States,,,
epic-brewing-co-llc,"Epic Brewing Co., LLC",brewpub,1048 E 2100 S Ste 110,Salt Lake City,Utah,84106-,http://www.epicbrewing.com,8017425490,2018-07-24 01:34:22.528081,2018-08-11 21:39:57.302393,United States,,,
grid-city-beer-works,Grid City Beer Works,planning,,Salt Lake City,Utah,84104-1132,http://www.gridcitybeerwors.com,4356555369,2018-07-24 01:34:22.553627,2018-08-11 21:39:57.383735,United States,,,
red-rock-brewing-co-production,Red Rock Brewing Co - Production,micro,443 N 400 W,Salt Lake City,Utah,84103-1230,,8015217446,2018-07-24 01:34:22.723949,2018-08-11 21:39:57.783614,United States,,,
roha-brewing-project,RoHa Brewing Project,micro,30 E Kensington Ave Ste 150,Salt Lake City,Utah,84115-1679,http://www.rohabrewing.com,3852278982,2018-07-24 01:34:22.738322,2018-08-11 21:39:57.817159,United States,,,
salt-lake-brewing-co/-squatters-pub-brewery,Salt Lake Brewing Co/ Squatters Pub Brewery,micro,147 W Broadway,Salt Lake City,Utah,84101-1914,http://www.squatters.com,8013632739,2018-07-24 01:34:22.80182,2018-08-11 21:39:57.9908,United States,,,
saltfire-brewing-co,SaltFire Brewing Co.,micro,2199 S West Temple,Salt Lake City,Utah,84115-2529,,,2018-07-24 01:34:22.814223,2018-08-11 21:39:58.021052,United States,,,
tf-brewing-co,T.F. Brewing Co,planning,,Salt Lake City,Utah,84101,http://www.tfbrewing.com,8015584209,2018-07-24 01:34:22.851608,2018-08-11 21:39:58.116554,United States,,,
toasted-barrel-brewery,Toasted Barrel Brewery,planning,,salt lake city,Utah,84103,http://www.toastedbarrelbrewery.com,8016576942,2018-07-24 01:34:22.877259,2018-08-11 21:39:58.175129,United States,,,
uinta-brewing-co,Uinta Brewing Co,regional,1722 S Fremont Dr,Salt Lake City,Utah,84104-4215,http://www.uintabrewing.com,8014670909,2018-07-24 01:34:22.890025,2018-08-11 21:39:58.217834,United States,,,
fisher-brewing-company,Fisher Brewing Company,micro,320 W 800 S,Salt Lake City,Utah,84101-2610,http://www.fisherbeer.com,8014872337,2018-07-24 01:34:22.540782,2018-08-24 16:24:50.608514,United States,-111.881724736846,40.7518734663693,
kiitos-brewing,Kiitos Brewing,micro,608 W 700 S,Salt Lake City,Utah,84104-1016,http://www.kiitosbrewing.com,8012013942,2018-07-24 01:34:22.593128,2018-08-24 16:24:55.192443,United States,-111.895509,40.7550533333333,
proper-brewing-co,Proper Brewing Co,micro,857 S Main St,Salt Lake City,Utah,84111,http://www.properbrewingco.com,8019531707,2018-07-24 01:34:22.694809,2018-08-24 16:25:01.054737,United States,-111.8906741,40.7505505,
red-rock-brewing-co,Red Rock Brewing Co,brewpub,254 S 200 W,Salt Lake City,Utah,84101-1801,http://www.redrockbrewing.com,8015217446,2018-07-24 01:34:22.711452,2018-08-24 16:25:02.631361,United States,-111.89671,40.7748784693878,
salt-flats-brewery,Salt Flats Brewery,micro,2020 W Industrial Cir,Salt Lake City,Utah,84104-4260,http://rpmbeer.com,8018283469,2018-07-24 01:34:22.789518,2018-08-24 16:25:10.263409,United States,-111.9481568,40.7298237,
utah-brewers-cooperative,Utah Brewers Cooperative,regional,1735 S 300 W,Salt Lake City,Utah,84115-1802,http://www.wasatchbeers.com,8014668855,2018-07-24 01:34:22.906147,2018-08-24 16:25:19.518256,United States,-111.899319900472,40.73267145,
shades-of-pale-brewery,Shades of Pale Brewery,micro,154 W Utopia Ave,Salt Lake City,Utah,84115-,http://www.shadesofpale.com,4352003009,2018-07-24 01:34:22.826487,2018-08-11 21:39:58.053141,United States,,,
branagans-brewery-llc,Branagan's Brewery LLC,planning,,Sandy,Utah,84092-3902,http://www.branagansbrewery.com,8018086491,2018-07-24 01:34:22.446078,2018-08-11 21:39:57.100176,United States,,,
zion-canyon-brewing-co,Zion Canyon Brewing Co,brewpub,95 Zion Park Blvd,Springdale,Utah,84767-0420,http://www.zioncanyonbrewingco.com,4357720404,2018-07-24 01:34:22.973187,2018-08-24 16:25:25.555821,United States,-113.03584844898,37.1606331836735,
strap-tank-brewing-co,Strap Tank Brewing Co.,brewpub,569 S 1750 W,Springville,Utah,84663-3088,,,2018-07-24 01:34:22.838985,2018-08-11 21:39:58.087694,United States,,,
bonneville-brewery,Bonneville Brewery,micro,1641 N Main St,Tooele,Utah,84074-8023,,4352480652,2018-07-24 01:34:22.431949,2018-08-24 16:24:42.772046,United States,-112.2978177873,40.5598023308201,
hop-n-keg-brewery-/-the-quarry-steakhouse-and-brewpub,Hop N' Keg Brewery / The Quarry Steakhouse and Brewpub,brewpub,29 S Vernal Ave,Vernal,Utah,84078-2627,,4357892337,2018-07-24 01:34:22.566194,2018-08-24 16:24:52.088286,United States,-109.5281478,40.4552593,
vernal-brewing-company,Vernal Brewing Company,micro,510 E Main St,Vernal,Utah,84078-2700,http://www.vernalbrewingcompany.com,4357812337,2018-07-24 01:34:22.933755,2018-08-24 16:25:21.044753,United States,-109.516170110066,40.4557861212801,
