id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
wolf-hills-brewing-co,Wolf Hills Brewing Co,micro,350 Park St SE,Abingdon,Virginia,24210-3314,http://www.wolfhillsbrewing.com,2762067562,2018-07-24 01:34:27.522092,2018-08-24 16:31:49.073321,United States,-81.966309,36.7123245,
blue-mountain-brewery,Blue Mountain Brewery,micro,9519 Critzers Shop Rd,Afton,Virginia,22920-2415,http://www.bluemountainbrewery.com,5404568020,2018-07-24 01:34:24.588091,2018-08-11 21:40:02.960016,United States,,,
brewing-tree-beer-company,Brewing Tree Beer Company,micro,9278 Rockfish Valley Hwy,Afton,Virginia,22920,,5403810990,2018-07-24 01:34:24.756701,2018-08-11 21:40:03.46372,United States,,,
quattro-goombas-brewery,Quattro Goombas Brewery,brewpub,22860 James Monroe Hwy,Aldie,Virginia,20105-1916,http://www.goombabrewery.com,7035091332,2018-07-24 01:34:26.464612,2018-08-11 21:40:08.270331,United States,,,
high-speed-low-drag-brewing-llc,High Speed Low Drag Brewing LLC,planning,,Alexandria,Virginia,22307-2001,http://www.kirklippold.com,7756849197,2018-07-24 01:34:25.625878,2018-08-11 21:40:05.87336,United States,,,
hops-grillhouse-and-brewery,Hops Grillhouse and Brewery,contract,3625 Jefferson Davis Hwy,Alexandria,Virginia,22305-3133,http://www.hopsrestaurants.com,7038379107,2018-07-24 01:34:25.710609,2018-08-24 16:29:10.373888,United States,-77.0523751,38.8399578,
nostrum-brewing,Nostrum Brewing,planning,,Alexandria,Virginia,22303-2214,,,2018-07-24 01:34:26.131985,2018-08-11 21:40:07.212862,United States,,,
port-city-brewing-co,Port City Brewing Co.,regional,3950 Wheeler Ave,Alexandria,Virginia,22304-6409,http://www.portcitybrewing.com,7037972739,2018-07-24 01:34:26.401214,2018-08-24 16:30:08.411956,United States,-77.1014922926867,38.80803165,
wheatland-spring-brewery,Wheatland Spring Brewery,planning,,Alexandria,Virginia,22314-4308,,,2018-07-24 01:34:27.469259,2018-08-11 21:40:10.850273,United States,,,
loose-shoe-brewing-company-llc,"Loose Shoe Brewing Company, LLC",micro,198 Ambriar Plz,Amherst,Virginia,24521-,http://www.looseshoebrewing.com,434946,2018-07-24 01:34:25.919364,2018-08-11 21:40:06.573662,United States,,,
