id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags,Notes
steam-donkey-brewing-co,Steam Donkey Brewing Co,micro,101 E Wishkah St,Aberdeen,Washington,98520-6503,http://Steamdonkeybrewing.com,3606379431,2018-07-24 01:34:33.008507,2018-08-24 16:39:40.211046,United States,-123.81773,46.974242,,
orlison-brewing-company,Orlison Brewing Company,closed,12921 West 17th Ave,Airway Heights,Washington,99001,http://www.orlisonbrewing.com,5093896253,2018-07-24 01:34:31.817802,2020-10-11 10:54:13,United States,-117.5924443,47.6403069,,
anacortes-brewery/rockfish-grill,Anacortes Brewery/Rockfish Grill,brewpub,320 Commercial Ave,Anacortes,Washington,98221-1517,http://www.anacortesrockfish.com,3605881720,2018-07-24 01:34:27.850684,2020-10-11 10:55:01,United States,-122.612608903126,48.5193343111222,,
bastion-brewing-company,Bastion Brewing Company,brewpub,12529 Christianson Rd,Anacortes,Washington,98221-8682,http://www.bastionbrewingcompany.com,3603991614,2018-07-24 01:34:28.088483,2018-08-24 16:32:40.151936,United States,-122.570872928244,48.460805062576,,
210-brewing-co,210 Brewing Co,brewpub,3438 Stoluckquamish Ln,Arlington,Washington,98223-9056,http://www.angelofthewind.com,3604749740,2018-07-24 01:34:27.692711,2020-10-11 13:14:15,United States,-122.184210,48.215096,,
skookum-brewery,Skookum Brewery,micro,17925 59th Ave NE # A,Arlington,Washington,98223-6352,http://www.skookumbrewing.com,3604037094,2018-07-24 01:34:32.818878,2020-10-11 13:15:22,United States,-122.150305,48.159011,,
geaux-brewing-llc,Geaux Brewing LLC,brewpub,3205 C St NE,Auburn,Washington,98002-1725,http://www.geauxbrewing.com,2533973939,2018-07-24 01:34:29.998908,2020-10-11 10:58:32,United States,-122.223720918367,47.3076745714286,,
hideaway-brewing-co,Hideaway Brewing Co,micro,18731 SE 314th St,Auburn,Washington,98092-6556,,2536319393,2018-07-24 01:34:30.357682,2018-08-24 16:35:42.490638,United States,-122.1764384,47.3206933,,
rail-hopn-brewing-co,Rail Hop'n Brewing Co,micro,122 W Main St Ste 101B,Auburn,Washington,98001-4924,http://www.railhopn.com,2532176800,2018-07-24 01:34:32.187497,2020-10-11 10:58:52,United States,-122.229088452132,47.3120418986318,,
scamp-brewing-co,Scamp Brewing Co,micro,402 16th St NE Ste 107,Auburn,Washington,98002-1600,http://www.scampbrewing.com,,2018-07-24 01:34:32.658067,2018-08-11 21:40:25.413697,United States,-122.224267,47.321914,,
rock-wood-fired-pizza-and-brewery-auburn,Rock Wood Fired Pizza & Brewery - Auburn,contract,1408 Lake Tapps Pkwy SE # E,Auburn,Washington,98092-8158,http://www.therockwfp.com,2538337887,2018-07-24 01:34:32.50548,2018-08-24 16:38:47.63053,United States,-122.2095415,47.2448314,,
brewery-in-planning-battle-ground-wa,"Brewery In Planning- Battle Ground, WA.",planning,,Battle Ground,Washington,98604-1460,,,2018-07-24 01:34:28.622872,2018-08-11 21:40:13.146749,United States,,,,
conversations-brewing,Conversations Brewing,closed,,Battle Ground,Washington,98604,,,2018-07-24 01:34:28.971558,2020-10-10 13:35:57,United States,,,,
northwood-public-house-and-brewery,Northwood Public House & Brewery,brewpub,1401 SE Rasmussen Blvd,Battle Ground,Washington,98604-8620,http://www.northwoodpublichouse.com,3607230937,2018-07-24 01:34:31.639322,2018-08-24 16:37:32.070031,United States,-122.523278621773,45.77521745,,
barrel-mountain-brewing,Barrel Mountain Brewing,micro,607 E Main St,Battle Ground,Washington,98604-4887,http://www.barrelmountainbrewing.com,3603428111,2018-07-24 01:34:28.073636,2018-08-24 16:32:38.649522,United States,-122.530930676251,45.7808638963937,,
bent-bine-brew-co-llc,Bent Bine Brew Co. LLC,brewpub,23297 WA-3,Belfair,Washington,98394,http://www.bentbine.com,8142739379,2018-07-24 01:34:28.209091,2020-10-11 13:17:22,United States,-122.832230,47.445115,,
bellevue-brewing-co,Bellevue Brewing Co,brewpub,1820 130th Ave NE # 2,Bellevue,Washington,98005-2205,http://www.bellevuebrewing.com,4257850171,2018-07-24 01:34:28.142348,2018-08-24 16:32:44.73639,United States,-122.166930590479,47.6265806866727,,
resonate-brewery-pizzeria,Resonate Brewery + Pizzeria,brewpub,5606 119th Ave SE,Bellevue,Washington,98006-3754,http://www.resonatebrewery.com,4256443164,2018-07-24 01:34:32.402304,2018-08-24 16:38:37.000158,United States,-122.1774828,47.5523206,,
