id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,longitude,latitude,tags
melvin-brewing,Melvin Brewing,regional,624 County Road 101,Alpine,Wyoming,83128-0314,http://www.melvinbrewing.com,3076540426,2018-07-24 01:34:37.501325,2018-08-11 21:40:38.507565,United States,,,
mishap-brewing-company,Mishap! Brewing Company,micro,48 S Main St,Buffalo,Wyoming,82834-1823,http://www.mishapbrewing.com,3076205688,2018-07-24 01:34:37.526597,2018-08-24 16:46:58.850658,United States,-106.698501170831,44.3457000865667,
gruner-brothers-brewing,Gruner Brothers Brewing,planning,,Casper,Wyoming,82601-1335,http://www.grunerbrewing.com,3073335110,2018-07-24 01:34:37.435229,2018-08-11 21:40:38.298778,United States,,,
accomplice-beer-company,Accomplice Beer Company,brewpub,115 W 15th St,Cheyenne,Wyoming,82001-4564,http://www.accomplicebeer.com,3076322337,2018-07-24 01:34:37.283987,2018-08-24 16:46:34.442767,United States,-104.819296,41.130063,
danielmarks-brewing-company,Danielmark's Brewing Company,micro,209 E 18th St,Cheyenne,Wyoming,82001-4507,http://www.danielmarksbrewing.com,4024508044,2018-07-24 01:34:37.40002,2018-08-24 16:46:45.180777,United States,-104.813937743664,41.1353481538168,
freedoms-edge-brewing,Freedom's Edge Brewing,micro,1509 Pioneer Ave,Cheyenne,Wyoming,82001,http://www.freedomsedgebrewing.com,3075145314,2018-07-24 01:34:37.411949,2018-08-24 16:46:46.692873,United States,-104.81695611293,41.1312296907851,
wyoming-territory-brewing-/-eric-bischoff-family-brewing,Wyoming Territory Brewing / Eric Bischoff Family Brewing,contract,,Cody,Wyoming,82414,http://www.buffalobillcodybeer.com,,2018-07-24 01:34:37.705745,2018-08-11 21:40:39.013696,United States,,,
pat-ohara-brewing-company,Pat O'Hara Brewing Company,brewpub,1019 15th St,Cody,Wyoming,82414-3721,,3075865410,2018-07-24 01:34:37.551695,2018-08-24 16:47:01.867662,United States,-109.058375028327,44.526782651335,
headstrong-brewery,HeadStrong Brewery,micro,126 N 3rd St,Douglas,Wyoming,82633-2163,http://www.headstrongbrewery.com,3073514061,2018-07-24 01:34:37.447325,2018-08-24 16:46:49.70535,United States,-105.384208250914,42.760255205258,
suds-brothers-brewing-co,Suds Brothers Brewing Co,brewpub,1012 Main St,Evanston,Wyoming,82930-3443,http://www.sudsbrothersbrewery.com,3074447837,2018-07-24 01:34:37.653285,2018-08-24 16:47:09.293947,United States,-110.966093616751,41.2679868715664,
