id,scope,country_code,country,subdivision_code,subdivision,organization,website
684801fb-8c51-5f6b-a11d-4a5b3452e65b,national,US,United States,,,American Homebrewers Association,https://www.homebrewersassociation.org
e2cef2e6-3c10-5c26-9abc-46fa65ceeede,national,US,United States,,,American Society of Brewing Chemists,https://www.asbcnet.org
66074b9d-cdb1-58f1-a66c-71dd0f94667b,national,US,United States,,,Beer Institute,https://www.beerinstitute.org
aaa85c13-d916-53f0-b2c5-5b3a091464be,national,US,United States,,,Brewers Association,https://www.brewersassociation.org
48879109-59b6-5afd-9224-6967c7411041,national,US,United States,,,Master Brewers Association of the Americas,https://www.mbaa.com
ea00be51-8dd4-5cec-b8a2-ceaf4295fe01,national,US,United States,,,Pink Boots Society,https://www.pinkbootssociety.org
87ee155d-502e-5f3d-8b5c-38923cc16d06,regional,US,United States,CA,California,Central Coast Brewers Consortium,https://www.ccbrewers.org
2fde7add-2773-522e-98e1-a04653591e4f,regional,US,United States,CA,California,Inland Empire Brewers Guild,https://www.inlandsocalbrewersguild.com
55adde9c-1329-5902-9e54-51235f50ff75,regional,US,United States,CA,California,Los Angeles Brewers Guild,https://www.labrewersguild.org
fd5096c0-2f96-59a8-8c0b-f95a23b5e5b0,regional,US,United States,CA,California,Orange County Brewers Guild,https://www.ocbrewers.org
abd54e88-89ef-5bd8-b2d7-e605c0bda207,regional,US,United States,CA,California,Sacramento Area Brewers' Guild,https://www.northerncalbrewers.com
987c2804-138a-5600-a0fd-90fbecaa125b,regional,US,United States,CA,California,San Diego Brewers Guild,https://www.sandiegobrewersguild.org
56d8849b-322c-5da3-adfb-78856ff54629,regional,US,United States,CA,California,San Francisco Brewers Guild,https://www.sfbrewersguild.org
2eaf5a44-4ea0-5351-b50d-06d215813a98,regional,US,United States,NC,North Carolina,Asheville Brewers Alliance,https://www.avlbrewers.com
19dadba2-4f0e-5608-8c27-64a3afb15987,regional,US,United States,NY,New York,New York City Brewers Guild,https://www.newyorkcitybrewersguild.com
e8eac895-fc05-5830-9871-206899bb838c,subdivision,US,United States,AK,Alaska,Brewers Guild of Alaska,https://www.brewersguildofalaska.org
13c99f06-944a-58c1-82c0-17cea902ec9a,subdivision,US,United States,AL,Alabama,Alabama Brewers Guild,https://alabamabrewers.org
4d46f972-7b60-5377-b2c9-6ce50c23c01f,subdivision,US,United States,AR,Arkansas,Arkansas Brewers Guild,https://arkansasbrewersguild.org
baa4827c-3336-59e2-98b8-17b22598d3ef,subdivision,US,United States,AZ,Arizona,Arizona Craft Brewers Guild,https://chooseazbrews.com
63d5e2ec-862d-5bbb-ab22-525f24958229,subdivision,US,United States,CA,California,California Craft Brewers Association,https://www.californiacraftbeer.com
85d7e506-4e13-515f-be6a-6734f2c277aa,subdivision,US,United States,CO,Colorado,Colorado Brewers Guild,https://coloradobeer.org
908858d2-a6f5-5f5e-870b-0f82cd3fd8a9,subdivision,US,United States,CT,Connecticut,Connecticut Brewers Guild,https://www.connecticut.beer
dd12464e-d3b3-57c4-8e5a-31b04f1414f8,subdivision,US,United States,DC,District of Columbia,DC Brewers' Guild,http://www.dcbg.org
93a2b100-e677-5df7-8eed-5987b5c6085d,subdivision,US,United States,DE,Delaware,Delaware Brewers Guild,https://www.delawarebrewersguild.org
e318b545-06d9-55d9-a556-e085138b32f3,subdivision,US,United States,FL,Florida,Florida Brewers Guild,http://www.floridabrewersguild.org
8aa1f050-e5a6-5731-99ef-87907fa9b907,subdivision,US,United States,GA,Georgia,Georgia Craft Brewers Guild,https://www.georgiacraftbrewersguild.org
adc915ac-afad-569d-9641-a477ca281301,subdivision,US,United States,HI,Hawaii,Hawaii Brewers Guild,http://www.hawaiibeer.org
cf79a513-2041-57bb-ba72-52dceb84bfb6,subdivision,US,United States,IA,Iowa,Iowa Brewers Guild,https://www.iowabeer.org
9c618031-3412-5051-ab00-19897f314b4d,subdivision,US,United States,ID,Idaho,Idaho Brewers United,https://idahobrewers.org
e9bb0533-980c-50c6-89bc-0380b05a2527,subdivision,US,United States,IL,Illinois,Illinois Craft Brewers Guild,https://www.illinoisbeer.org
dd1b42e8-33b8-5356-bd4e-6de4b7db874e,subdivision,US,United States,IN,Indiana,Brewers of Indiana Guild,https://drinkin.beer
b23cafa3-c30b-5f40-9788-d1e33dc562eb,subdivision,US,United States,KS,Kansas,Kansas Craft Brewers Guild,
3890f0c3-ef93-5aaf-845b-9acb0c3591fa,subdivision,US,United States,KY,Kentucky,Kentucky Guild of Brewers,http://www.kygbrewers.org
6faa41ce-73fe-51f7-92fe-8b15c3dd5bf6,subdivision,US,United States,LA,Louisiana,Louisiana Craft Brewers Guild,https://www.labeer.org
66d9c879-cd16-519c-a9bf-4696c976f5d9,subdivision,US,United States,MA,Massachusetts,Massachusetts Brewers Guild,https://massbrewersguild.org
999bad10-50e4-58fd-b082-bfe44dd5f57f,subdivision,US,United States,MD,Maryland,Brewers Association of Maryland,https://marylandbeer.org
7d0dc5b5-2c15-5abf-8c5c-36bccd462ed8,subdivision,US,United States,ME,Maine,Maine Brewers' Guild,https://mainebrewersguild.org
ea9d44cc-bc49-5086-bafc-d5894ece7224,subdivision,US,United States,MI,Michigan,Michigan Brewers Guild,https://www.mibeer.com
585f6e98-6a9d-5830-9de0-10419fd93b78,subdivision,US,United States,MN,Minnesota,Minnesota Craft Brewers Guild,https://www.mncraftbrew.org
efdb16d0-d831-5069-a907-83a329084fea,subdivision,US,United States,MO,Missouri,Missouri Craft Brewers Guild,https://www.mocraftbeer.com
f5ca0291-eef8-5378-851e-dcabc0d8e018,subdivision,US,United States,MS,Mississippi,Mississippi Brewers Guild,https://www.msbrewersguild.org
f9729f6b-a234-551d-a9f2-f54163b84431,subdivision,US,United States,MT,Montana,Montana Brewers Association,https://montanabrewers.org
917f1524-020f-5c87-b85d-84c6dff70bfa,subdivision,US,United States,NC,North Carolina,North Carolina Craft Brewers Guild,https://www.ncbeer.org
3303ed75-985e-566c-96e9-c36025c6841a,subdivision,US,United States,ND,North Dakota,North Dakota Brewers Guild,https://www.ndbrewersguild.com
9995b81f-971f-56d6-a1aa-e3a7352d3581,subdivision,US,United States,NE,Nebraska,Nebraska Craft Brewers Guild,https://nebraska.beer
e78adea0-6709-5fa4-a1cd-afd924d24de3,subdivision,US,United States,NH,New Hampshire,New Hampshire Brewers Association,https://www.nhbeer.org
291ece92-e56d-5534-854d-5a80e1ca3ae4,subdivision,US,United States,NJ,New Jersey,New Jersey Brewers Association,https://njbeer.org
ee94a2f5-1397-5970-98e7-c035b0916255,subdivision,US,United States,NM,New Mexico,New Mexico Brewers Guild,https://nmbeer.org
485deedb-76ba-5c9f-b645-daeede40e5bb,subdivision,US,United States,NV,Nevada,Nevada Craft Brewers Association,http://nvbeer.com
e5a131ac-fbc7-5aef-add1-05bb5fca7b1d,subdivision,US,United States,NY,New York,New York State Brewers Association,https://newyorkcraftbeer.com
72ee6f5a-c462-54a5-a6a8-34fa15aa6e13,subdivision,US,United States,OH,Ohio,Ohio Craft Brewers Association,https://ohiocraftbeer.org
e2ed4e0e-6fec-54e1-9fda-7789db2bf7ab,subdivision,US,United States,OK,Oklahoma,Craft Brewers Association of Oklahoma,
19d8ba9f-683d-5646-8bb5-89665da6c00f,subdivision,US,United States,OR,Oregon,Oregon Brewers Guild,https://www.oregoncraftbeer.org
04efbedc-2c56-5b1e-811b-4a3907768369,subdivision,US,United States,PA,Pennsylvania,Brewers of Pennsylvania,https://www.brewersofpa.org
75816086-4162-5823-a69a-43b8b224c8ee,subdivision,US,United States,RI,Rhode Island,Rhode Island Brewers Guild,https://www.ribrewersguild.org
8ebdd570-36d3-5ae5-a03f-92e464ff903c,subdivision,US,United States,SC,South Carolina,South Carolina Brewers Association,http://www.scbeer.org
6d8fc039-a91a-5779-9247-d681976a4ef8,subdivision,US,United States,SD,South Dakota,South Dakota Craft Brewers Guild,
266e5846-522b-538b-8d9b-b1eb0b59ee0f,subdivision,US,United States,TN,Tennessee,Tennessee Craft Brewers Guild,https://www.tncraftbrewers.org
78f6fc38-ff73-5a6f-b9c2-3e90cad0a96b,subdivision,US,United States,TX,Texas,Texas Craft Brewers Guild,https://texascraftbrewersguild.org
bde860cb-e210-5502-a027-daff7600134c,subdivision,US,United States,UT,Utah,Utah Brewers Guild,https://utahbrewersguild.org
ec5e19a3-7a4c-521a-8bda-39b94b70ac0f,subdivision,US,United States,VA,Virginia,Virginia Craft Brewers Guild,https://www.virginiacraftbrewers.org
97712d5c-a4ed-53b7-a46c-5a451a36e112,subdivision,US,United States,VT,Vermont,Vermont Brewers Association,https://www.vermontbrewers.com
13c1c565-c350-5915-bab5-680b9317e01a,subdivision,US,United States,WA,Washington,Washington Beer Commission,https://www.washingtonbeer.com
447ac53f-c5ac-5f1a-852d-931e91376f9e,subdivision,US,United States,WA,Washington,Washington Brewers Guild,https://www.washingtonbrewersguild.org
920387c3-285d-5d3a-a5a0-717735f5d72b,subdivision,US,United States,WI,Wisconsin,Wisconsin Brewers Guild,https://wibrewersguild.com
